,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'ant', 'handkerchief', 'envelope']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'quill', 'African chameleon', 'parachute']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,honeycomb,"['honeycomb', 'mitten', 'swab', 'hair slide', 'parachute']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,hair slide,"['hair slide', 'parachute', 'doormat', 'honeycomb', 'nail']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'parachute', 'paper towel', 'quill']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'quill', 'parachute', 'puck']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,honeycomb,"['honeycomb', 'hair slide', 'doormat', 'ant', 'paper towel']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,hair slide,"['hair slide', 'quill', 'envelope', 'banded gecko', 'puck']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,hair slide,"['hair slide', 'screw', 'banded gecko', 'necklace', 'hook']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,honeycomb,"['honeycomb', 'hair slide', 'doormat', 'puck', 'envelope']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'ant', 'envelope', 'parachute']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,banded gecko,"['banded gecko', 'hair slide', 'honeycomb', 'puck', 'nematode']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,honeycomb,"['honeycomb', 'swab', 'mitten', 'hair slide', 'Christmas stocking']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,banded gecko,"['banded gecko', 'hair slide', 'ant', 'African chameleon', 'quill']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,hair slide,"['hair slide', 'envelope', 'parachute', 'quill', 'broom']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,hair slide,"['hair slide', 'parachute', 'banded gecko', 'vase', 'thimble']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'quill', 'parachute', 'puck', 'ear']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'envelope', 'ant', 'handkerchief']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'ant', 'nematode', 'quill']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,ant,"['ant', 'banded gecko', 'hair slide', 'parachute', 'quill']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,banded gecko,"['banded gecko', 'hair slide', 'corkscrew', 'nail', 'whistle']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,hair slide,"['hair slide', 'honeycomb', 'swab', 'envelope', 'safety pin']"
