,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,coral fungus,"['coral fungus', 'hen-of-the-woods', 'West Highland white terrier', 'kuvasz', 'coral reef']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'disk brake', 'hammer', 'chain']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,honeycomb,"['honeycomb', 'wing', 'cassette', 'hen-of-the-woods', 'stole']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'hen-of-the-woods', 'swimming trunks', 'water bottle', 'coho']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,shoe shop,"['shoe shop', 'poncho', 'bassoon', 'syringe', 'letter opener']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,trailer truck,"['trailer truck', 'rifle', 'Petri dish', 'hammer', 'water bottle']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,beer bottle,"['beer bottle', 'oil filter', 'lumbermill', 'rifle', 'chocolate sauce']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,coral fungus,"['coral fungus', ""jack-o'-lantern"", 'conch', 'hen-of-the-woods', 'mushroom']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,turnstile,"['turnstile', 'microwave', 'medicine chest', 'espresso maker', 'Polaroid camera']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'conch', 'coral fungus', 'swimming trunks']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jackfruit', 'wool', 'honeycomb', 'apiary']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,acoustic guitar,"['acoustic guitar', 'violin', 'thimble', 'clog', 'electric guitar']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,corn,"['corn', 'daisy', 'vase', 'trifle', 'coral reef']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'puffer', 'bee', 'wool']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'coral reef', 'head cabbage', 'cauliflower', 'guacamole']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,chiton,"['chiton', 'mask', 'coral reef', 'sea slug', 'bee']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,mushroom,"['mushroom', 'pot', 'bittern', 'armadillo', 'red fox']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'mask', 'conch', 'wool', 'coral reef']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'broccoli', 'artichoke', 'coral reef']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,cauliflower,"['cauliflower', 'head cabbage', 'Granny Smith', 'potpie', 'coral fungus']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,wool,"['wool', 'stinkhorn', 'whiptail', 'hen-of-the-woods', 'coho']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,plane,"['plane', 'hammer', 'screwdriver', 'laptop', 'pill bottle']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'swimming trunks', 'goldfish', 'bee', 'coral reef']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,beacon,"['beacon', 'honeycomb', 'stone wall', 'coho', 'wool']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stone wall', 'honeycomb', 'beacon', 'cliff']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,bulletproof vest,"['bulletproof vest', 'missile', 'shoe shop', 'swimming trunks', 'tank']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,umbrella,"['umbrella', 'wine bottle', 'chain', 'missile', 'shoe shop']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,Blenheim spaniel,"['Blenheim spaniel', 'hen-of-the-woods', 'hamster', 'English foxhound', 'Welsh springer spaniel']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'komondor', 'briard', 'Afghan hound']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,conch,"['conch', 'pizza', 'hen-of-the-woods', 'plastic bag', 'potpie']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,sewing machine,"['sewing machine', 'refrigerator', 'medicine chest', 'toilet seat', 'shower curtain']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'kuvasz', 'conch', 'coral reef', 'West Highland white terrier']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'red-backed sandpiper', 'honeycomb', 'coral fungus']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'tiger', 'honeycomb', 'grey fox', 'pill bottle']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,lumbermill,"['lumbermill', 'chain', 'mushroom', 'hammer', 'maze']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,buckeye,"['buckeye', 'apiary', 'head cabbage', 'ear', 'hen-of-the-woods']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,Shih-Tzu,"['Shih-Tzu', 'coral fungus', 'Pembroke', 'ice bear', 'sea slug']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'puffer', 'coral reef', 'wool']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,jackfruit,"['jackfruit', 'corn', 'Granny Smith', 'ear', 'bell pepper']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,stole,"['stole', 'honeycomb', 'velvet', 'cockroach', 'eel']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,bikini,"['bikini', 'cliff', 'perfume', 'tray', 'Petri dish']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,screw,"['screw', 'refrigerator', 'screwdriver', 'switch', 'oscilloscope']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,stone wall,"['stone wall', 'head cabbage', 'artichoke', 'broccoli', 'coral reef']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,photocopier,"['photocopier', 'medicine chest', 'desk', 'lab coat', 'Petri dish']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,tile roof,"['tile roof', 'lumbermill', 'maze', 'hammer', 'sandbar']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,hammerhead,"['hammerhead', 'rifle', 'chain', 'plow', 'cliff']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'apiary', 'bee', 'wool', 'ant']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,artichoke,"['artichoke', 'Granny Smith', 'pot', 'acorn', 'coral reef']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,coral reef,"['coral reef', 'sea anemone', 'pot', 'velvet', 'swimming trunks']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'honeycomb', 'buckeye', 'picket fence']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'ruffed grouse', 'wool', 'honeycomb', 'mushroom']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'boa constrictor', 'leatherback turtle', 'hognose snake']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,corkscrew,"['corkscrew', 'jigsaw puzzle', 'can opener', 'pill bottle', 'recreational vehicle']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,shoe shop,"['shoe shop', 'library', 'conch', 'military uniform', 'ice bear']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,coral fungus,"['coral fungus', 'coral reef', 'hen-of-the-woods', 'conch', 'chiton']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'mushroom', 'conch', 'English foxhound']"
