,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'face powder', 'doormat', 'mitten']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,honeycomb,"['honeycomb', 'sea cucumber', 'hair slide', 'broccoli', 'nail']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,sea cucumber,"['sea cucumber', 'screw', 'matchstick', 'hair slide', 'nail']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,hair slide,"['hair slide', 'nail', 'sea cucumber', 'screw', 'Christmas stocking']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,corkscrew,"['corkscrew', 'screw', 'banded gecko', 'nail', 'scorpion']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'Christmas stocking', 'broccoli', 'screw']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,honeycomb,"['honeycomb', 'nail', 'hair slide', 'broccoli', 'matchstick']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,sea cucumber,"['sea cucumber', 'hair slide', 'chiton', 'honeycomb', 'screw']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,honeycomb,"['honeycomb', 'matchstick', 'Christmas stocking', 'mitten', 'nail']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,screw,"['screw', 'sea cucumber', 'corkscrew', 'hair slide', 'banded gecko']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,honeycomb,"['honeycomb', 'broccoli', 'hair slide', 'sea cucumber', 'doormat']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,nail,"['nail', 'warplane', 'hair slide', 'cockroach', 'screw']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'scorpion', 'cockroach', 'ant', 'tick']"
