,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'honeycomb', 'hen-of-the-woods', 'mask', 'triceratops']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'head cabbage', 'custard apple', 'spaghetti squash', 'strawberry']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'holster', 'can opener', 'assault rifle', 'rifle']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,English foxhound,"['English foxhound', 'beagle', 'Boston bull', 'platypus', 'Siamese cat']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,hog,"['hog', 'albatross', 'custard apple', 'kuvasz', 'Sealyham terrier']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'wing', 'space shuttle', 'airship']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,beagle,"['beagle', 'English foxhound', 'Chihuahua', 'Italian greyhound', 'English springer']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,cocker spaniel,"['cocker spaniel', 'Sussex spaniel', 'Bouvier des Flandres', 'giant schnauzer', 'Newfoundland']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'tick', 'scorpion', 'garden spider', 'chain']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,albatross,"['albatross', 'black stork', 'black grouse', 'kite', 'oystercatcher']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'hair slide', 'tick', 'pick', 'stinkhorn']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'hen-of-the-woods', 'artichoke', 'cicada', 'African chameleon']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'head cabbage', 'French loaf', 'spaghetti squash', 'custard apple']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,platypus,"['platypus', 'banded gecko', 'barracouta', 'hummingbird', 'common newt']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Siamese cat,"['Siamese cat', 'Welsh springer spaniel', 'beagle', 'patas', 'Blenheim spaniel']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,chain,"['chain', 'banded gecko', 'knot', 'dial telephone', 'bow']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,muzzle,"['muzzle', 'sunglass', 'hair slide', 'whistle', 'buckle']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'hippopotamus', 'hog', 'Indian elephant', 'conch']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,chain saw,"['chain saw', 'stretcher', 'chocolate sauce', 'sleeping bag', 'hip']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'violin', 'pedestal']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'French loaf', 'sea slug', 'stinkhorn']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,cassette,"['cassette', 'photocopier', 'safe', 'tape player', 'cassette player']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'bloodhound', 'frilled lizard', 'oxygen mask']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,pretzel,"['pretzel', 'bagel', ""jack-o'-lantern"", 'trifle', 'ice cream']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ruddy turnstone,"['ruddy turnstone', 'ruffed grouse', 'kite', 'red-backed sandpiper', 'partridge']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,cowboy boot,"['cowboy boot', 'hair slide', 'Loafer', 'quill', 'muzzle']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,bell pepper,"['bell pepper', 'mortar', 'Granny Smith', 'diaper', 'cucumber']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'Kerry blue terrier', 'honeycomb', 'banded gecko', 'conch']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,meerkat,"['meerkat', 'beagle', 'Siberian husky', 'ice bear', 'Labrador retriever']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,Arabian camel,"['Arabian camel', 'ox', 'hog', 'ram', 'llama']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,Lakeland terrier,"['Lakeland terrier', 'hare', 'Airedale', 'hen-of-the-woods', 'otter']"
