,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'triceratops', 'cauliflower', 'head cabbage', 'African chameleon']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,Granny Smith,"['Granny Smith', 'cauliflower', 'head cabbage', 'tennis ball', 'custard apple']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'holster', 'chain saw', 'revolver', 'hand blower']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,triceratops,"['triceratops', 'hen-of-the-woods', 'earthstar', 'banded gecko', 'conch']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,basset,"['basset', 'Sealyham terrier', 'Cardigan', 'albatross', 'German short-haired pointer']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'wing', 'aircraft carrier', 'parachute']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Boston bull,"['Boston bull', 'Great Dane', 'Chihuahua', 'Italian greyhound', 'cuirass']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'curly-coated retriever', 'Scottish deerhound', 'Great Dane', 'hen-of-the-woods']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'isopod', 'garden spider', 'tick', 'scorpion']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'American coot', 'European gallinule', 'vulture', 'hen']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'candle', 'stinkhorn', 'lipstick', 'shower cap']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'barn spider', 'hen-of-the-woods', 'African chameleon', 'grasshopper']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'snail', 'hen-of-the-woods', 'chiton', 'chambered nautilus']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,coho,"['coho', 'barracouta', 'warplane', 'hair slide', 'platypus']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,wire-haired fox terrier,"['wire-haired fox terrier', 'proboscis monkey', 'Sealyham terrier', 'patas', 'standard schnauzer']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,nail,"['nail', 'nematode', 'sea snake', 'knot', 'matchstick']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,acoustic guitar,"['acoustic guitar', 'cello', 'violin', 'mousetrap', 'pencil sharpener']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'hippopotamus', 'hog', 'electric ray', 'warthog']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,parachute,"['parachute', 'warplane', 'ladybug', 'pencil sharpener', 'fiddler crab']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pick', 'nail']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'Indian cobra', 'sea slug', 'knot', 'stinkhorn']"
