,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'doormat', 'porcupine', 'face powder', 'sea urchin']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'chain mail', 'sea cucumber', 'leatherback turtle', 'Irish water spaniel']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,chain mail,"['chain mail', 'Kerry blue terrier', 'great grey owl', 'black grouse', 'leatherback turtle']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'strainer', 'buckle', 'chain saw', 'chain']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'sea snake', 'sidewinder', 'horned viper', 'king snake']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,chain mail,"['chain mail', 'Kerry blue terrier', 'whistle', 'leatherback turtle', 'screw']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'stole', 'wool', 'honeycomb', 'buckle']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'sea cucumber', 'Irish water spaniel', 'chain mail', 'porcupine']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,stole,"['stole', 'chain mail', 'honeycomb', 'prayer rug', 'jigsaw puzzle']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'chain', 'cheetah', 'banded gecko', 'chain mail']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'Kerry blue terrier', 'stole', 'porcupine']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,banded gecko,"['banded gecko', 'snowmobile', 'fire screen', 'black grouse', 'envelope']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,banded gecko,"['banded gecko', 'barn spider', 'fire screen', 'hair slide', 'jersey']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,banded gecko,"['banded gecko', 'leatherback turtle', 'envelope', 'American alligator', 'jersey']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,hair slide,"['hair slide', 'hen-of-the-woods', 'airship', 'stole', 'panpipe']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,pot,"['pot', 'earthstar', 'fire screen', 'hair slide', 'envelope']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,leatherback turtle,"['leatherback turtle', 'letter opener', 'screw', 'whistle', 'hatchet']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'aircraft carrier', 'warplane', 'black widow', 'wolf spider']"
