,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'African chameleon', 'custard apple']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,artichoke,"['artichoke', 'custard apple', 'head cabbage', 'acorn', 'cardoon']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,holster,"['holster', 'assault rifle', 'can opener', 'power drill', 'hatchet']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,platypus,"['platypus', 'hen-of-the-woods', 'triceratops', 'frilled lizard', 'barracouta']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,clumber,"['clumber', 'borzoi', 'kuvasz', 'Sealyham terrier', 'whippet']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'snowmobile', 'ski', 'bobsled', 'wing']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,breastplate,"['breastplate', 'cuirass', 'chain mail', 'mask', 'overskirt']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,standard schnauzer,"['standard schnauzer', 'triceratops', 'cocker spaniel', 'gorilla', 'Great Dane']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'spider web', 'tarantula', 'king crab']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,magpie,"['magpie', 'black grouse', 'American coot', 'albatross', 'oystercatcher']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'meat loaf', 'plastic bag', 'pomegranate', 'trifle']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'hen-of-the-woods', 'tree frog', 'African chameleon', 'bullfrog']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'potpie', 'hen-of-the-woods', 'French loaf', 'gyromitra']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,barracouta,"['barracouta', 'coho', 'gar', 'banded gecko', 'sturgeon']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,proboscis monkey,"['proboscis monkey', 'patas', 'wire-haired fox terrier', 'Sealyham terrier', 'langur']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'nematode', 'banded gecko', 'night snake', 'bow']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,buckle,"['buckle', 'hair slide', 'electric guitar', 'muzzle', 'acoustic guitar']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'triceratops', 'Indian elephant', 'Mexican hairless', 'electric ray']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,muzzle,"['muzzle', 'cockroach', 'ox', 'banded gecko', 'violin']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'banjo', 'acoustic guitar', 'violin', 'pedestal']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,isopod,"['isopod', 'ear', 'corn', 'knot', 'chiton']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,recreational vehicle,"['recreational vehicle', 'mobile home', 'photocopier', 'microwave', 'stretcher']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,Rhodesian ridgeback,"['Rhodesian ridgeback', 'Saluki', 'impala', 'Great Dane', 'Ibizan hound']"
