,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,quilt,"['quilt', 'studio couch', 'sleeping bag', 'barrel', 'komondor']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,pizza,"['pizza', 'pot', 'daisy', 'head cabbage', 'hen-of-the-woods']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,dogsled,"['dogsled', 'alp', 'ice bear', 'Great Pyrenees', 'Dandie Dinmont']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,snow leopard,"['snow leopard', 'leopard', 'jaguar', 'Egyptian cat', 'cheetah']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,cliff,"['cliff', 'alp', 'promontory', 'seashore', 'cliff dwelling']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,coral reef,"['coral reef', 'seashore', 'coho', 'promontory', 'hammerhead']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,necklace,"['necklace', 'spider web', 'bikini', 'chain mail', 'oxygen mask']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,Granny Smith,"['Granny Smith', 'orange', 'spaghetti squash', 'lemon', 'drum']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,alp,"['alp', 'volcano', 'cliff', 'shovel', 'seashore']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,planetarium,"['planetarium', 'bubble', 'dome', 'balloon', 'water tower']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,sidewinder,"['sidewinder', 'prairie chicken', 'Indian cobra', 'horned viper', 'coil']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,assault rifle,"['assault rifle', 'moving van', 'slide rule', 'revolver', 'rifle']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,earthstar,"['earthstar', 'acorn', 'dough', 'conch', 'mortar']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,garter snake,"['garter snake', 'Indian cobra', 'spaghetti squash', 'alligator lizard', 'hognose snake']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,hen-of-the-woods,"['hen-of-the-woods', 'running shoe', 'pot', 'head cabbage', 'spaghetti squash']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,park bench,"['park bench', 'worm fence', 'slide rule', 'bannister', 'folding chair']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,alp,"['alp', 'valley', 'promontory', 'cliff', 'volcano']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,stopwatch,"['stopwatch', 'analog clock', 'barometer', 'wall clock', 'scale']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,envelope,"['envelope', 'dishwasher', 'comic book', 'banjo', 'plate rack']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,pot,"['pot', 'picket fence', 'greenhouse', 'daisy', 'broccoli']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,head cabbage,"['head cabbage', 'pot', 'daisy', 'handkerchief', 'hen-of-the-woods']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,vault,"['vault', 'drum', 'radio telescope', 'banjo', 'aircraft carrier']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,Loafer,"['Loafer', 'sandal', 'nematode', 'pretzel', 'clog']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,tabby,"['tabby', 'Egyptian cat', 'tiger cat', 'syringe', 'Siberian husky']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,assault rifle,"['assault rifle', 'nail', 'cassette', 'crate', 'matchstick']"
