,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,komondor,"['komondor', 'chiton', 'shower cap', 'wool', 'ear']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,panpipe,"['panpipe', 'ear', 'container ship', 'corn', 'komondor']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,container ship,"['container ship', 'panpipe', 'ear', 'komondor', 'hair slide']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,panpipe,"['panpipe', 'komondor', 'chiton', 'prayer rug', 'solar dish']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,panpipe,"['panpipe', 'parachute', 'bow', 'whistle', 'knot']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,solar dish,"['solar dish', 'bib', 'jigsaw puzzle', 'prayer rug', 'panpipe']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,ear,"['ear', 'panpipe', 'chiton', 'komondor', 'corn']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,container ship,"['container ship', 'bow', 'Kerry blue terrier', 'parachute', 'panpipe']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,pedestal,"['pedestal', 'prayer rug', 'handkerchief', 'bib', 'binder']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,panpipe,"['panpipe', 'oscilloscope', 'throne', 'binoculars', 'wig']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,corn,"['corn', 'jigsaw puzzle', 'hen-of-the-woods', 'wool', 'wall clock']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,ski,"['ski', 'aircraft carrier', 'obelisk', 'rifle', 'oboe']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,panpipe,"['panpipe', 'plate rack', 'quill', 'oboe', 'container ship']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,panpipe,"['panpipe', 'corn', 'solar dish', 'container ship', 'quill']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,corn,"['corn', 'wall clock', 'solar dish', 'hen-of-the-woods', 'handkerchief']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,panpipe,"['panpipe', 'bald eagle', 'syringe', 'corn', 'plate rack']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,panpipe,"['panpipe', 'ear', 'chain saw', 'container ship', 'parachute']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,tick,"['tick', 'oboe', 'hair slide', 'container ship', 'king crab']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,pedestal,"['pedestal', 'panpipe', 'table lamp', 'solar dish', 'quill']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,solar dish,"['solar dish', 'corn', 'handkerchief', 'wall clock', 'harp']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,oboe,"['oboe', 'bassoon', 'pedestal', 'pole', 'scabbard']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,ski,"['ski', 'panpipe', 'obelisk', 'ear', 'corn']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,prayer rug,"['prayer rug', 'pedestal', 'handkerchief', 'corn', 'solar dish']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,panpipe,"['panpipe', 'corn', 'ear', 'komondor', 'parachute']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,hair slide,"['hair slide', 'panpipe', 'nematode', 'Kerry blue terrier', 'ear']"
