,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,chainlink fence,"['chainlink fence', 'swimming trunks', 'buckle', 'pillow', 'prayer rug']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,safety pin,"['safety pin', 'hammer', 'chainlink fence', 'swimming trunks', 'doormat']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,pug,"['pug', 'clumber', 'dalmatian', 'book jacket', 'bloodhound']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,American alligator,"['American alligator', 'African crocodile', 'terrapin', 'leatherback turtle', 'night snake']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,radiator,"['radiator', 'chiton', 'volcano', 'swab', 'head cabbage']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,doormat,"['doormat', 'chain mail', 'honeycomb', 'chainlink fence', 'chain']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,nematode,"['nematode', 'rubber eraser', 'vase', 'binoculars', 'quill']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'comic book', 'quill', 'nematode', 'book jacket']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,nematode,"['nematode', 'envelope', 'perfume', 'quill', 'rubber eraser']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,drumstick,"['drumstick', 'vase', 'lampshade', 'coffeepot', 'teapot']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,cockroach,"['cockroach', 'scuba diver', 'quill', 'rock crab', 'book jacket']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,ear,"['ear', 'cockroach', 'abacus', 'buckle', 'prayer rug']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,head cabbage,"['head cabbage', 'book jacket', 'comic book', 'nematode', 'perfume']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,chain,"['chain', 'buckle', 'handkerchief', 'envelope', 'coil']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,buckle,"['buckle', 'handkerchief', 'doormat', 'envelope', 'pillow']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,nail,"['nail', 'safety pin', 'padlock', 'buckle', 'hook']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,comic book,"['comic book', 'envelope', 'book jacket', 'guillotine', 'lighter']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,barometer,"['barometer', 'envelope', 'jigsaw puzzle', 'stopwatch', 'hammer']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,envelope,"['envelope', 'binder', 'comic book', 'pillow', 'handkerchief']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,chainlink fence,"['chainlink fence', 'doormat', 'nematode', 'envelope', 'hammer']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,sea urchin,"['sea urchin', 'buckle', 'doormat', 'shower curtain', 'handkerchief']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,nematode,"['nematode', 'quill', 'rubber eraser', 'comic book', 'paintbrush']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,spider web,"['spider web', 'plastic bag', 'chain saw', 'proboscis monkey', 'chainlink fence']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,ant,"['ant', 'head cabbage', 'hen-of-the-woods', 'skunk', 'chainlink fence']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,prayer rug,"['prayer rug', 'nail', 'buckle', 'doormat', 'chainlink fence']"
25,LinFil_snail_ILSVRC2012_val_00023958_lf.jpg,buckle,"['buckle', 'book jacket', 'quill', 'handkerchief', 'envelope']"
26,LinFil_chair_ILSVRC2012_val_00041720_lf.jpg,maze,"['maze', 'cornet', 'buckle', 'trombone', 'padlock']"
27,LinFil_corn_ILSVRC2012_val_00030375_lf.jpg,ear,"['ear', 'corn', 'cockroach', 'cleaver', 'cucumber']"
28,LinFil_fish_ILSVRC2012_val_00021994_lf.jpg,rubber eraser,"['rubber eraser', 'nematode', 'paintbrush', 'hook', 'comic book']"
29,LinFil_spider_ILSVRC2012_val_00039661_lf.jpg,chainlink fence,"['chainlink fence', 'doormat', 'nail', 'screw', 'maze']"
30,LinFil_squirrel_ILSVRC2012_val_00048792_lf.jpg,envelope,"['envelope', 'handkerchief', 'kimono', 'lighter', 'ant']"
31,LinFil_strawberry_ILSVRC2012_val_00035170_lf.jpg,binoculars,"['binoculars', 'hook', 'pole', 'spotlight', 'wall clock']"
32,LinFil_swine_ILSVRC2012_val_00031491_lf.jpg,black grouse,"['black grouse', 'ruffed grouse', 'alp', 'nematode', 'ski']"
33,LinFil_lemon_ILSVRC2012_val_00038325_lf.jpg,nematode,"['nematode', 'indri', 'proboscis monkey', 'vase', 'binoculars']"
34,LinFil_swine_ILSVRC2012_val_00016806_lf.jpg,cougar,"['cougar', 'comic book', 'ant', 'clumber', 'shower curtain']"
35,LinFil_crocodilian_ILSVRC2012_val_00010826_lf.jpg,screw,"['screw', 'ant', 'cliff', 'whistle', 'doormat']"
36,LinFil_bird_ILSVRC2012_val_00007153_lf.jpg,porcupine,"['porcupine', 'book jacket', 'chainlink fence', 'black grouse', 'monarch']"
37,LinFil_swine_ILSVRC2012_val_00014171_lf.jpg,toucan,"['toucan', 'indri', 'nematode', 'proboscis monkey', 'bald eagle']"
38,LinFil_fish_ILSVRC2012_val_00021343_lf.jpg,nematode,"['nematode', 'alp', 'chainlink fence', 'ant', 'book jacket']"
39,LinFil_monkey_ILSVRC2012_val_00025615_lf.jpg,head cabbage,"['head cabbage', 'chainlink fence', 'terrapin', 'hognose snake', 'ant']"
40,LinFil_cat_ILSVRC2012_val_00001341_lf.jpg,buckle,"['buckle', 'envelope', 'kimono', 'handkerchief', 'pillow']"
41,LinFil_mug_ILSVRC2012_val_00025893_lf.jpg,comic book,"['comic book', 'rubber eraser', 'quill', 'pillow', 'envelope']"
42,LinFil_snake_ILSVRC2012_val_00024301_lf.jpg,buckle,"['buckle', 'strainer', 'prayer rug', 'maze', 'safety pin']"
43,LinFil_mug_ILSVRC2012_val_00043571_lf.jpg,bottlecap,"['bottlecap', 'vase', 'envelope', 'comic book', 'rubber eraser']"
44,LinFil_lobster_ILSVRC2012_val_00047059_lf.jpg,buckle,"['buckle', 'doormat', 'maze', 'envelope', 'padlock']"
45,LinFil_rabbit_ILSVRC2012_val_00021667_lf.jpg,envelope,"['envelope', 'book jacket', 'buckle', 'doormat', 'quill']"
46,LinFil_helmet_ILSVRC2012_val_00016289_lf.jpg,buckle,"['buckle', 'safety pin', 'rubber eraser', 'binder', 'quill']"
47,LinFil_bee_ILSVRC2012_val_00002566_lf.jpg,buckle,"['buckle', 'nematode', 'envelope', 'saltshaker', 'cleaver']"
48,LinFil_monkey_ILSVRC2012_val_00027323_lf.jpg,buckle,"['buckle', 'handkerchief', 'head cabbage', 'cloak', 'screw']"
49,LinFil_crocodilian_ILSVRC2012_val_00037166_lf.jpg,chain,"['chain', 'volcano', 'chainlink fence', 'alp', 'cloak']"
50,LinFil_bee_ILSVRC2012_val_00045227_lf.jpg,chainlink fence,"['chainlink fence', 'buckle', 'bannister', 'screw', 'coil']"
51,LinFil_frog_ILSVRC2012_val_00010287_lf.jpg,pillow,"['pillow', 'envelope', 'buckle', 'handkerchief', 'shower curtain']"
52,LinFil_tiger_ILSVRC2012_val_00038124_lf.jpg,handkerchief,"['handkerchief', 'pillow', 'kimono', 'chainlink fence', 'buckle']"
53,LinFil_strawberry_ILSVRC2012_val_00023739_lf.jpg,envelope,"['envelope', 'face powder', 'buckle', 'handkerchief', 'wallet']"
54,LinFil_crab_ILSVRC2012_val_00004462_lf.jpg,maze,"['maze', 'screw', 'buckle', 'nail', 'envelope']"
55,LinFil_pineapple_ILSVRC2012_val_00012582_lf.jpg,chainlink fence,"['chainlink fence', 'prison', 'padlock', 'chain', 'window screen']"
56,LinFil_elephant_ILSVRC2012_val_00011247_lf.jpg,nematode,"['nematode', 'envelope', 'proboscis monkey', 'plastic bag', 'book jacket']"
57,LinFil_butterfly_ILSVRC2012_val_00035074_lf.jpg,head cabbage,"['head cabbage', 'book jacket', 'maraca', 'buckle', 'French horn']"
58,LinFil_guitar_ILSVRC2012_val_00033765_lf.jpg,buckle,"['buckle', 'maze', 'safety pin', 'envelope', 'handkerchief']"
59,LinFil_lemon_ILSVRC2012_val_00048264_lf.jpg,toucan,"['toucan', 'spider web', 'binoculars', 'chain', 'parachute']"
60,LinFil_swine_ILSVRC2012_val_00011892_lf.jpg,envelope,"['envelope', 'kimono', 'book jacket', 'comic book', 'chainlink fence']"
61,LinFil_car_ILSVRC2012_val_00037492_lf.jpg,cornet,"['cornet', 'trombone', 'comic book', 'buckle', 'safety pin']"
62,LinFil_airplane_ILSVRC2012_val_00049097_lf.jpg,prayer rug,"['prayer rug', 'maze', 'nail', 'buckle', 'mousetrap']"
63,LinFil_cabbage_ILSVRC2012_val_00007752_lf.jpg,buckle,"['buckle', 'head cabbage', 'handkerchief', 'envelope', 'frying pan']"
64,LinFil_corn_ILSVRC2012_val_00011594_lf.jpg,prayer rug,"['prayer rug', 'quilt', 'handkerchief', 'ear', 'quill']"
65,LinFil_horse_ILSVRC2012_val_00011600_lf.jpg,chainlink fence,"['chainlink fence', 'shower curtain', 'chain', 'nail', 'padlock']"
66,LinFil_shoe_ILSVRC2012_val_00048970_lf.jpg,buckle,"['buckle', 'padlock', 'envelope', 'handkerchief', 'saltshaker']"
67,LinFil_bird_ILSVRC2012_val_00004344_lf.jpg,handkerchief,"['handkerchief', 'buckle', 'rubber eraser', 'maze', 'book jacket']"
68,LinFil_dog_ILSVRC2012_val_00028881_lf.jpg,alp,"['alp', 'volcano', 'bikini', 'cloak', 'chainlink fence']"
69,LinFil_broccoli_ILSVRC2012_val_00004207_lf.jpg,nematode,"['nematode', 'proboscis monkey', 'indri', 'toucan', 'spider monkey']"
70,LinFil_dryer_ILSVRC2012_val_00046673_lf.jpg,comic book,"['comic book', 'book jacket', 'pillow', 'handkerchief', 'padlock']"
71,LinFil_airplane_ILSVRC2012_val_00011168_lf.jpg,handkerchief,"['handkerchief', 'binder', 'cornet', 'envelope', 'buckle']"
72,LinFil_guitar_ILSVRC2012_val_00036762_lf.jpg,buckle,"['buckle', 'handkerchief', 'padlock', 'shower curtain', 'maze']"
73,LinFil_bear_ILSVRC2012_val_00031906_lf.jpg,chainlink fence,"['chainlink fence', 'head cabbage', 'radiator', 'terrapin', 'leatherback turtle']"
74,LinFil_flower_ILSVRC2012_val_00022139_lf.jpg,pillow,"['pillow', 'kimono', 'buckle', 'umbrella', 'doormat']"
75,LinFil_swine_ILSVRC2012_val_00007278_lf.jpg,nematode,"['nematode', 'binoculars', 'proboscis monkey', 'indri', 'spotlight']"
76,LinFil_flower_ILSVRC2012_val_00019320_lf.jpg,quill,"['quill', 'spider web', 'sea anemone', 'vase', 'parachute']"
77,LinFil_cabbage_ILSVRC2012_val_00019287_lf.jpg,toucan,"['toucan', 'parachute', 'honeycomb', 'spider web', 'hornbill']"
78,LinFil_hammer_ILSVRC2012_val_00015583_lf.jpg,buckle,"['buckle', 'padlock', 'maze', 'chainlink fence', 'safety pin']"
79,LinFil_bellpepper_ILSVRC2012_val_00000423_lf.jpg,binoculars,"['binoculars', 'nematode', 'hook', 'toucan', 'vase']"
80,LinFil_snail_ILSVRC2012_val_00018951_lf.jpg,coil,"['coil', 'sombrero', 'bannister', 'water bottle', 'lemon']"
81,LinFil_camel_ILSVRC2012_val_00013553_lf.jpg,ant,"['ant', 'padlock', 'nematode', 'chainlink fence', 'book jacket']"
82,LinFil_clock_ILSVRC2012_val_00035392_lf.jpg,envelope,"['envelope', 'stopwatch', 'jigsaw puzzle', 'comic book', 'analog clock']"
83,LinFil_lemon_ILSVRC2012_val_00028823_lf.jpg,buckle,"['buckle', 'manhole cover', 'handkerchief', 'toilet seat', 'frying pan']"
