,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,quill,"['quill', 'chain saw', 'gasmask', 'nematode', 'hair slide']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,pedestal,"['pedestal', 'nail', 'cuirass', 'bulletproof vest', 'analog clock']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'jersey', 'ski mask', 'bulletproof vest', 'wool']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'ibex', 'Arabian camel', 'ostrich', 'curly-coated retriever']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,abaya,"['abaya', 'Christmas stocking', 'stole', 'knee pad', 'sock']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,ski mask,"['ski mask', 'Kerry blue terrier', 'Irish water spaniel', 'Bouvier des Flandres', 'stole']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,brassiere,"['brassiere', 'stole', 'mitten', 'wool', 'jersey']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,bulletproof vest,"['bulletproof vest', 'jersey', 'knee pad', 'sweatshirt', 'gasmask']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,curly-coated retriever,"['curly-coated retriever', 'Arabian camel', 'Irish water spaniel', 'ibex', 'standard poodle']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,ski mask,"['ski mask', 'hair slide', 'jersey', 'nematode', 'Arabian camel']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'black widow', 'garden spider', 'wolf spider', 'black and gold garden spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'toilet seat', 'frying pan', 'puck', 'knee pad']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,Arabian camel,"['Arabian camel', 'assault rifle', 'nail', 'curly-coated retriever', 'ski mask']"
