,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'broccoli', 'dishrag', 'sea urchin', 'matchstick']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'screw', 'chain mail', 'chain', 'stole']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,screw,"['screw', 'American alligator', 'flatworm', 'sea cucumber', 'hair slide']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,coffee mug,"['coffee mug', 'purse', 'cup', 'chain', 'pitcher']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,sea snake,"['sea snake', 'nematode', 'water snake', 'king snake', 'night snake']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,hair slide,"['hair slide', 'necklace', 'chain mail', 'stole', 'sidewinder']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,hair slide,"['hair slide', 'chain mail', 'stole', 'honeycomb', 'screw']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'screw', 'sea cucumber', 'parachute', 'airship']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,stole,"['stole', 'dishrag', 'chain mail', 'purse', 'wool']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,chain,"['chain', 'handkerchief', 'jersey', 'hair slide', 'parachute']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,stole,"['stole', 'hair slide', 'dishrag', 'chain mail', 'hen-of-the-woods']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,warplane,"['warplane', 'banded gecko', 'American alligator', 'screw', 'spotted salamander']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'wolf spider', 'scorpion']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,hair slide,"['hair slide', 'American alligator', 'jersey', 'screw', 'parachute']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,hair slide,"['hair slide', 'screw', 'matchstick', 'necklace', 'chain mail']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,warplane,"['warplane', 'hair slide', 'aircraft carrier', 'parachute', 'handkerchief']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,chain,"['chain', 'necklace', 'hair slide', 'screw', 'hook']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'garden spider', 'weevil', 'tick', 'long-horned beetle']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,hair slide,"['hair slide', 'screw', 'nail', 'table lamp', 'parachute']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,rapeseed,"['rapeseed', 'hair slide', 'airship', 'aircraft carrier', 'space shuttle']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'nail', 'hair slide', 'electric guitar', 'acoustic guitar']"
