,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,box turtle,"['box turtle', 'comic book', 'sidewinder', 'American alligator', 'gyromitra']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'Arabian camel', 'bison', 'llama', 'wild boar']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,jay,"['jay', 'honeycomb', 'tiger beetle', 'reel', 'assault rifle']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,moped,"['moped', 'hand blower', 'spiny lobster', 'crayfish', 'centipede']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,three-toed sloth,"['three-toed sloth', 'Airedale', 'brown bear', 'Norwich terrier', 'Arabian camel']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,parking meter,"['parking meter', 'face powder', 'scale', 'projectile', 'water bottle']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,hen-of-the-woods,"['hen-of-the-woods', 'apiary', 'honeycomb', 'hognose snake', 'coral reef']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Arabian camel,"['Arabian camel', 'Indian elephant', 'baboon', 'llama', 'meerkat']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'fiddler crab', 'bee', 'weevil', 'leaf beetle']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,Weimaraner,"['Weimaraner', 'Mexican hairless', 'bloodhound', 'Great Dane', 'bull mastiff']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,ibex,"['ibex', 'Lakeland terrier', 'Bedlington terrier', 'ox', 'Arabian camel']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'European fire salamander', 'coho', 'ladybug', 'robin']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,wood rabbit,"['wood rabbit', 'fox squirrel', 'grey fox', 'hare', 'ringlet']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,nematode,"['nematode', 'vault', 'triumphal arch', 'syringe', 'night snake']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'wolf spider', 'acorn', 'garden spider', 'fig']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,projectile,"['projectile', 'missile', 'aircraft carrier', 'warplane', 'tank']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,broccoli,"['broccoli', 'artichoke', 'cauliflower', 'cardoon', 'head cabbage']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,lawn mower,"['lawn mower', 'crash helmet', 'knee pad', 'backpack', 'soccer ball']"
18,Fil_clock_ILSVRC2012_val_00041461_f.jpg,odometer,"['odometer', 'analog clock', 'magnetic compass', 'digital watch', 'stopwatch']"
19,Fil_rabbit_ILSVRC2012_val_00013125_f.jpg,wallaby,"['wallaby', 'ibex', 'kit fox', 'red fox', 'Leonberg']"
20,Fil_mushroom_ILSVRC2012_val_00038421_f.jpg,four-poster,"['four-poster', 'studio couch', 'kuvasz', 'sulphur-crested cockatoo', 'oxcart']"
21,Fil_elephant_ILSVRC2012_val_00035479_f.jpg,Indian elephant,"['Indian elephant', 'water buffalo', 'African elephant', 'tusker', 'sea lion']"
22,Fil_swine_ILSVRC2012_val_00007278_f.jpg,hog,"['hog', 'Mexican hairless', 'wombat', 'Bedlington terrier', 'warthog']"
23,Fil_dog_ILSVRC2012_val_00030058_f.jpg,kuvasz,"['kuvasz', 'teddy', 'Samoyed', 'ice bear', 'golden retriever']"
24,Fil_bear_ILSVRC2012_val_00031906_f.jpg,brown bear,"['brown bear', 'hyena', 'Arabian camel', 'baboon', 'Tibetan mastiff']"
25,Fil_camel_ILSVRC2012_val_00015872_f.jpg,Arabian camel,"['Arabian camel', 'ram', 'llama', 'bighorn', 'Indian elephant']"
26,Fil_crocodilian_ILSVRC2012_val_00010826_f.jpg,stone wall,"['stone wall', 'Komodo dragon', 'knot', 'coil', 'Indian elephant']"
27,Fil_apple_ILSVRC2012_val_00012232_f.jpg,Granny Smith,"['Granny Smith', 'fig', 'acorn', 'bell pepper', 'artichoke']"
28,Fil_dog_ILSVRC2012_val_00012566_f.jpg,Labrador retriever,"['Labrador retriever', 'golden retriever', 'basset', 'kuvasz', 'ice bear']"
29,Fil_spider_ILSVRC2012_val_00008805_f.jpg,diamondback,"['diamondback', 'echidna', 'nail', 'screw', 'hognose snake']"
30,Fil_corn_ILSVRC2012_val_00010495_f.jpg,stupa,"['stupa', 'velvet', 'ear', 'bakery', 'stole']"
31,Fil_lobster_ILSVRC2012_val_00002502_f.jpg,apiary,"['apiary', 'hen-of-the-woods', 'robin', 'slug', 'American lobster']"
32,Fil_shoe_ILSVRC2012_val_00033141_f.jpg,soccer ball,"['soccer ball', 'cassette player', 'running shoe', 'snorkel', 'electric fan']"
33,Fil_helmet_ILSVRC2012_val_00032342_f.jpg,electric fan,"['electric fan', 'coffeepot', 'bucket', 'shower curtain', 'candle']"
34,Fil_frog_ILSVRC2012_val_00022660_f.jpg,tree frog,"['tree frog', 'artichoke', 'green mamba', 'bullfrog', 'acorn']"
35,Fil_car_ILSVRC2012_val_00005456_f.jpg,moped,"['moped', 'motor scooter', 'grille', 'convertible', 'racer']"
36,Fil_squirrel_ILSVRC2012_val_00024584_f.jpg,fox squirrel,"['fox squirrel', 'wallaby', 'titi', 'mongoose', 'tarantula']"
37,Fil_gun_ILSVRC2012_val_00012180_f.jpg,revolver,"['revolver', 'rifle', 'assault rifle', 'harvester', 'tank']"
38,Fil_horse_ILSVRC2012_val_00011600_f.jpg,butcher shop,"['butcher shop', 'Arabian camel', 'sorrel', 'triceratops', 'panpipe']"
39,Fil_chair_ILSVRC2012_val_00004120_f.jpg,dragonfly,"['dragonfly', 'radio telescope', 'spider web', 'sarong', 'centipede']"
40,Fil_helmet_ILSVRC2012_val_00047186_f.jpg,baseball,"['baseball', 'snowmobile', 'apron', 'puck', 'shoe shop']"
41,Fil_clock_ILSVRC2012_val_00035392_f.jpg,analog clock,"['analog clock', 'wall clock', 'street sign', 'odometer', 'scale']"
42,Fil_airplane_ILSVRC2012_val_00049097_f.jpg,hammer,"['hammer', 'forklift', 'school bus', 'coho', 'safety pin']"
43,Fil_bee_ILSVRC2012_val_00042015_f.jpg,fountain,"['fountain', 'stinkhorn', 'valley', 'black swan', 'hen-of-the-woods']"
