,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,airship,"['airship', 'kite', 'bald eagle', 'ibex', 'vulture']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,mosque,"['mosque', 'dome', 'airship', 'bell cote', 'water tower']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,albatross,"['albatross', 'kite', 'ibex', 'cloak', 'bald eagle']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,kite,"['kite', 'quail', 'ibex', 'water tower', 'magpie']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,airship,"['airship', 'table lamp', 'volcano', 'bald eagle', 'cloak']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,missile,"['missile', 'bald eagle', 'kite', 'ibex', 'barn spider']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,kite,"['kite', 'bald eagle', 'airship', 'albatross', 'vulture']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,pedestal,"['pedestal', 'albatross', 'American egret', 'chime', 'bell cote']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,kite,"['kite', 'ibex', 'albatross', 'Gordon setter', 'missile']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,airship,"['airship', 'jersey', 'mortarboard', 'flat-coated retriever', 'kite']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,ibex,"['ibex', 'siamang', 'swing', 'chime', 'bald eagle']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,airship,"['airship', 'table lamp', 'radio telescope', 'volcano', 'cloak']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,kite,"['kite', 'ibex', 'albatross', 'airship', 'American egret']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,albatross,"['albatross', 'ibex', 'bald eagle', 'kite', 'American egret']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,albatross,"['albatross', 'airship', 'kite', 'bald eagle', 'letter opener']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,bald eagle,"['bald eagle', 'kite', 'ibex', 'volcano', 'cloak']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,airship,"['airship', 'kite', 'ibex', 'cloak', 'bald eagle']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,airship,"['airship', 'ibex', 'table lamp', 'bald eagle', 'cloak']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,kite,"['kite', 'albatross', 'bald eagle', 'airship', 'Gordon setter']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,kite,"['kite', 'bald eagle', 'siamang', 'ibex', 'hornbill']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,kite,"['kite', 'airship', 'bald eagle', 'ibex', 'cloak']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,cloak,"['cloak', 'bald eagle', 'jersey', 'vulture', 'airship']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,bald eagle,"['bald eagle', 'kite', 'airship', 'hummingbird', 'vulture']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,megalith,"['megalith', 'pedestal', 'guillotine', 'cannon', 'bell cote']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,bald eagle,"['bald eagle', 'ibex', 'kite', 'tusker', 'albatross']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,airship,"['airship', 'table lamp', 'cloak', 'radio telescope', 'lampshade']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,jersey,"['jersey', 'sweatshirt', 'digital watch', 'mortarboard', 'cloak']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,albatross,"['albatross', 'kite', 'letter opener', 'jersey', 'airship']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,bald eagle,"['bald eagle', 'kite', 'ibex', 'vulture', 'albatross']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,mortarboard,"['mortarboard', 'airship', 'loupe', 'printer', 'Polaroid camera']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,bald eagle,"['bald eagle', 'kite', 'ibex', 'black grouse', 'vulture']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,bald eagle,"['bald eagle', 'kite', 'flat-coated retriever', 'ibex', 'Gordon setter']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,bald eagle,"['bald eagle', 'airship', 'kite', 'vulture', 'ibex']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,kite,"['kite', 'bald eagle', 'ibex', 'black grouse', 'vulture']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,bald eagle,"['bald eagle', 'missile', 'kite', 'mosque', 'airship']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,bald eagle,"['bald eagle', 'kite', 'ibex', 'airship', 'albatross']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,kite,"['kite', 'airship', 'flat-coated retriever', 'bald eagle', 'Gordon setter']"
