,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,sea cucumber,"['sea cucumber', 'chiton', 'electric ray', 'isopod', 'flatworm']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,bloodhound,"['bloodhound', 'Sussex spaniel', 'cocker spaniel', 'Newfoundland', 'Norfolk terrier']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'Newfoundland', 'chain mail', 'bulletproof vest', 'schipperke']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'black grouse', 'hen', 'cock', 'American coot']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,sleeping bag,"['sleeping bag', 'hoopskirt', 'abaya', 'Cardigan', 'overskirt']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,giant schnauzer,"['giant schnauzer', 'standard poodle', 'flat-coated retriever', 'standard schnauzer', 'curly-coated retriever']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,Cardigan,"['Cardigan', 'curly-coated retriever', 'flat-coated retriever', 'Newfoundland', 'Labrador retriever']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,bulletproof vest,"['bulletproof vest', 'pitcher', 'coffeepot', 'water jug', 'cuirass']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Great Dane,"['Great Dane', 'Staffordshire bullterrier', 'giant schnauzer', 'kelpie', 'Scottish deerhound']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,Newfoundland,"['Newfoundland', 'Cardigan', 'nipple', 'French bulldog', 'Sussex spaniel']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'wolf spider', 'spider web']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'puck', 'electric ray', 'chambered nautilus', 'loupe']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,electric ray,"['electric ray', 'brassiere', 'strainer', 'ladle', 'loupe']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,tailed frog,"['tailed frog', 'scorpion', 'tree frog', 'chimpanzee', 'banded gecko']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,Labrador retriever,"['Labrador retriever', 'Newfoundland', 'curly-coated retriever', 'German shepherd', 'schipperke']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,Newfoundland,"['Newfoundland', 'bloodhound', 'Sussex spaniel', 'Gordon setter', 'pug']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,electric ray,"['electric ray', 'loupe', 'pick', 'spotlight', 'shovel']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,cleaver,"['cleaver', 'spatula', 'doormat', 'envelope', 'guillotine']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,platypus,"['platypus', 'slug', 'sea cucumber', 'mink', 'nematode']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'wolf spider', 'king crab']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,Newfoundland,"['Newfoundland', 'giant schnauzer', 'bloodhound', 'French bulldog', 'American black bear']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'daisy', 'gyromitra', 'wool']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,vulture,"['vulture', 'black stork', 'limpkin', 'bald eagle', 'quill']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hatchet,"['hatchet', 'shovel', 'hook', 'crutch', 'nail']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Newfoundland,"['Newfoundland', 'flat-coated retriever', 'Labrador retriever', 'Tibetan mastiff', 'Gordon setter']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,pick,"['pick', 'electric ray', 'puck', 'chambered nautilus', 'shovel']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,nematode,"['nematode', 'pretzel', 'neck brace', 'chain', 'ringneck snake']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hammerhead,"['hammerhead', 'hatchet', 'hook', 'hammer', 'scabbard']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'llama', 'ostrich', 'Indian elephant', 'electric ray']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,assault rifle,"['assault rifle', 'revolver', 'binoculars', 'rifle', 'can opener']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,curly-coated retriever,"['curly-coated retriever', 'Labrador retriever', 'Newfoundland', 'flat-coated retriever', 'schipperke']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,warplane,"['warplane', 'hammerhead', 'airliner', 'wing', 'tiger shark']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,Irish water spaniel,"['Irish water spaniel', 'Sussex spaniel', 'bloodhound', 'Gordon setter', 'cocker spaniel']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,curly-coated retriever,"['curly-coated retriever', 'Labrador retriever', 'Newfoundland', 'flat-coated retriever', 'Staffordshire bullterrier']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,Sussex spaniel,"['Sussex spaniel', 'bloodhound', 'clumber', 'Newfoundland', 'Irish water spaniel']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,Newfoundland,"['Newfoundland', 'Sussex spaniel', 'Labrador retriever', 'bloodhound', 'electric ray']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,electric ray,"['electric ray', 'sea cucumber', 'promontory', 'Cardigan', 'platypus']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,quill,"['quill', 'airship', 'cleaver', 'scabbard', 'envelope']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,pick,"['pick', 'electric ray', 'abaya', 'wool', 'shovel']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,tick,"['tick', 'barn spider', 'scorpion', 'rock crab', 'wolf spider']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,abaya,"['abaya', 'electric ray', 'wool', 'shovel', 'bearskin']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,nematode,"['nematode', 'hook', 'sea snake', 'Indian cobra', 'eel']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,bulletproof vest,"['bulletproof vest', 'microphone', 'Norfolk terrier', 'Cardigan', 'solar dish']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,scorpion,"['scorpion', 'crayfish', 'mantis', 'fiddler crab', 'cricket']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,ringlet,"['ringlet', 'lycaenid', 'tick', 'admiral', 'isopod']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,cougar,"['cougar', 'Newfoundland', 'Labrador retriever', 'lion', 'bloodhound']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,abaya,"['abaya', 'velvet', 'bulletproof vest', 'Cardigan', 'Newfoundland']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,gong,"['gong', 'caldron', 'nail', 'microphone', 'chime']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,abaya,"['abaya', 'cockroach', 'ant', 'bulletproof vest', 'jersey']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,lycaenid,"['lycaenid', 'ringlet', 'electric ray', 'isopod', 'ground beetle']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,electric ray,"['electric ray', 'pick', 'chambered nautilus', 'abaya', 'shovel']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,shovel,"['shovel', 'bearskin', 'wool', 'abaya', 'cleaver']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,warplane,"['warplane', 'airliner', 'hammerhead', 'wing', 'projectile']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,submarine,"['submarine', 'airship', 'amphibian', 'wreck', 'assault rifle']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,abaya,"['abaya', 'sleeping bag', 'mask', 'Gordon setter', 'ski mask']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,Newfoundland,"['Newfoundland', 'Labrador retriever', 'curly-coated retriever', 'Sussex spaniel', 'flat-coated retriever']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,electric ray,"['electric ray', 'pick', 'shovel', 'loupe', 'nematode']"
57,Sil_chair_ILSVRC2012_val_00041720_s.jpg,guillotine,"['guillotine', 'grand piano', 'hook', 'spotlight', 'cradle']"
58,Sil_acorn_ILSVRC2012_val_00012754_s.jpg,electric ray,"['electric ray', 'trilobite', 'isopod', 'Newfoundland', 'chambered nautilus']"
59,Sil_broccoli_ILSVRC2012_val_00013519_s.jpg,French bulldog,"['French bulldog', 'can opener', 'neck brace', 'bulletproof vest', 'joystick']"
60,Sil_pineapple_ILSVRC2012_val_00024461_s.jpg,Gordon setter,"['Gordon setter', 'Irish water spaniel', 'bloodhound', 'cocker spaniel', 'swab']"
61,Sil_hammer_ILSVRC2012_val_00032002_s.jpg,hatchet,"['hatchet', 'hammer', 'nail', 'ladle', 'scabbard']"
62,Sil_shoe_ILSVRC2012_val_00034558_s.jpg,sunglass,"['sunglass', 'whistle', 'loupe', 'sunglasses', 'space shuttle']"
63,Sil_helmet_ILSVRC2012_val_00047186_s.jpg,pick,"['pick', 'bloodhound', 'Labrador retriever', 'electric ray', 'Newfoundland']"
64,Sil_strawberry_ILSVRC2012_val_00031440_s.jpg,pick,"['pick', 'electric ray', 'shovel', 'rock beauty', 'chambered nautilus']"
65,Sil_dog_ILSVRC2012_val_00010378_s.jpg,Newfoundland,"['Newfoundland', 'Irish water spaniel', 'cocker spaniel', 'Bouvier des Flandres', 'Sussex spaniel']"
66,Sil_bellpepper_ILSVRC2012_val_00003536_s.jpg,electric ray,"['electric ray', 'wool', 'abaya', 'shovel', 'bloodhound']"
67,Sil_snail_ILSVRC2012_val_00018951_s.jpg,bloodhound,"['bloodhound', 'ringlet', 'electric ray', 'tick', 'lycaenid']"
68,Sil_airplane_ILSVRC2012_val_00033920_s.jpg,airliner,"['airliner', 'warplane', 'space shuttle', 'wing', 'hammerhead']"
69,Sil_tiger_ILSVRC2012_val_00015897_s.jpg,Irish water spaniel,"['Irish water spaniel', 'curly-coated retriever', 'bloodhound', 'Chesapeake Bay retriever', 'Labrador retriever']"
70,Sil_mushroom_ILSVRC2012_val_00021713_s.jpg,giant schnauzer,"['giant schnauzer', 'Newfoundland', 'bloodhound', 'cocker spaniel', 'Gordon setter']"
71,Sil_chair_ILSVRC2012_val_00001953_s.jpg,rocking chair,"['rocking chair', 'folding chair', 'throne', 'dining table', 'barber chair']"
72,Sil_cabbage_ILSVRC2012_val_00027632_s.jpg,bulletproof vest,"['bulletproof vest', 'bloodhound', 'abaya', 'binoculars', 'bell cote']"
73,Sil_cat_ILSVRC2012_val_00001341_s.jpg,Scotch terrier,"['Scotch terrier', 'Norwich terrier', 'Cardigan', 'Norfolk terrier', 'Newfoundland']"
74,Sil_camel_ILSVRC2012_val_00011354_s.jpg,Newfoundland,"['Newfoundland', 'Sussex spaniel', 'Labrador retriever', 'pug', 'flat-coated retriever']"
75,Sil_elephant_ILSVRC2012_val_00011247_s.jpg,bloodhound,"['bloodhound', 'Newfoundland', 'tusker', 'Labrador retriever', 'American black bear']"
76,Sil_cat_ILSVRC2012_val_00013550_s.jpg,Newfoundland,"['Newfoundland', 'flat-coated retriever', 'giant schnauzer', 'Irish water spaniel', 'Bouvier des Flandres']"
77,Sil_mushroom_ILSVRC2012_val_00040625_s.jpg,shovel,"['shovel', 'hatchet', 'rifle', 'flat-coated retriever', 'assault rifle']"
78,Sil_guitar_ILSVRC2012_val_00019484_s.jpg,electric ray,"['electric ray', 'shovel', 'plunger', 'bloodhound', 'stingray']"
79,Sil_snake_ILSVRC2012_val_00027631_s.jpg,nematode,"['nematode', 'hook', 'loupe', 'nail', 'whistle']"
80,Sil_lobster_ILSVRC2012_val_00028657_s.jpg,ground beetle,"['ground beetle', 'bloodhound', 'assault rifle', 'scuba diver', 'corkscrew']"
81,Sil_flower_ILSVRC2012_val_00019320_s.jpg,tick,"['tick', 'earthstar', 'tarantula', 'daisy', 'wolf spider']"
82,Sil_guitar_ILSVRC2012_val_00036762_s.jpg,microphone,"['microphone', 'plunger', 'shovel', 'hatchet', 'rifle']"
83,Sil_camel_ILSVRC2012_val_00015872_s.jpg,Arabian camel,"['Arabian camel', 'kelpie', 'Chesapeake Bay retriever', 'bloodhound', 'Labrador retriever']"
84,Sil_car_ILSVRC2012_val_00010455_s.jpg,electric ray,"['electric ray', 'curly-coated retriever', 'Labrador retriever', 'flat-coated retriever', 'platypus']"
85,Sil_dryer_ILSVRC2012_val_00046673_s.jpg,assault rifle,"['assault rifle', 'rifle', 'Kerry blue terrier', 'giant schnauzer', 'binoculars']"
86,Sil_fish_ILSVRC2012_val_00032417_s.jpg,Cardigan,"['Cardigan', 'submarine', 'airship', 'sleeping bag', 'promontory']"
87,Sil_lemon_ILSVRC2012_val_00045149_s.jpg,pick,"['pick', 'abaya', 'shovel', 'wool', 'electric ray']"
88,Sil_squirrel_ILSVRC2012_val_00023383_s.jpg,cocker spaniel,"['cocker spaniel', 'Scotch terrier', 'Newfoundland', 'Sussex spaniel', 'bloodhound']"
89,Sil_hammer_ILSVRC2012_val_00015583_s.jpg,nail,"['nail', 'hammer', 'plunger', 'screw', 'hatchet']"
90,Sil_crocodilian_ILSVRC2012_val_00038287_s.jpg,bow,"['bow', 'assault rifle', 'black stork', 'parachute', 'quill']"
91,Sil_crab_ILSVRC2012_val_00008705_s.jpg,rock crab,"['rock crab', 'isopod', 'tick', 'scorpion', 'Dungeness crab']"
92,Sil_hippopotamus_ILSVRC2012_val_00003302_s.jpg,bloodhound,"['bloodhound', 'Newfoundland', 'electric ray', 'abaya', 'Sussex spaniel']"
