,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,book jacket,"['book jacket', 'pineapple', 'fire screen', 'cloak', 'shield']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'plastic bag', 'gyromitra', 'parachute', 'rubber eraser']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,nematode,"['nematode', 'quill', 'ladle', 'cup', 'airship']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'king crab', 'Dungeness crab', 'tick']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,chiton,"['chiton', 'custard apple', 'head cabbage', 'lemon', 'breastplate']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,American alligator,"['American alligator', 'volcano', 'African crocodile', 'sleeping bag', 'alp']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'chambered nautilus', 'sombrero', 'pedestal', 'conch']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,comic book,"['comic book', 'cloak', 'bloodhound', 'book jacket', 'shield']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'assault rifle', 'rifle', 'binoculars', 'spotlight']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,African crocodile,"['African crocodile', 'sleeping bag', 'American alligator', 'cowboy boot', 'volcano']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,hare,"['hare', 'African elephant', 'tusker', 'Indian elephant', 'fox squirrel']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'teapot', 'water jug']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'nematode', 'sea cucumber', 'crayfish', 'American lobster']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,leatherback turtle,"['leatherback turtle', 'terrapin', 'box turtle', 'loggerhead', 'mud turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,lemon,"['lemon', 'gong', 'chime', 'orange', 'shield']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,rifle,"['rifle', 'assault rifle', 'hook', 'crutch', 'corkscrew']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,bolete,"['bolete', 'mushroom', 'agaric', 'sombrero', 'hen-of-the-woods']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,sweatshirt,"['sweatshirt', 'mask', 'diaper', 'gyromitra', 'bassinet']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'ladle', 'strainer', 'letter opener', 'tray']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,wallet,"['wallet', 'mousetrap', 'slide rule', 'binder', 'fire screen']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,kuvasz,"['kuvasz', 'sleeping bag', 'briard', 'Sussex spaniel', 'cocker spaniel']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,microwave,"['microwave', 'wallet', 'binder', 'purse', 'desktop computer']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,rocking chair,"['rocking chair', 'barber chair', 'sewing machine', 'fire screen', 'iron']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,lemon,"['lemon', 'ladle', 'shield', 'strainer', 'Petri dish']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'scorpion', 'crayfish', 'spiny lobster', 'plow']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Chesapeake Bay retriever,"['Chesapeake Bay retriever', 'Labrador retriever', 'curly-coated retriever', 'Rottweiler', 'vizsla']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,gong,"['gong', 'chime', 'pick', 'electric ray', 'lampshade']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,curly-coated retriever,"['curly-coated retriever', 'Egyptian cat', 'bloodhound', 'cougar', 'Scottish deerhound']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,knot,"['knot', 'nematode', 'hook', 'letter opener', 'ladle']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,toilet tissue,"['toilet tissue', 'bonnet', 'buckle', 'purse', 'brain coral']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,bloodhound,"['bloodhound', 'shield', 'wall clock', 'gyromitra', 'sweatshirt']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,head cabbage,"['head cabbage', 'bathing cap', 'sleeping bag', 'bonnet', 'lemon']"
32,Lin_crocodilian_ILSVRC2012_val_00010826_l.jpg,American alligator,"['American alligator', 'promontory', 'alp', 'African crocodile', 'seashore']"
33,Lin_gun_ILSVRC2012_val_00002840_l.jpg,assault rifle,"['assault rifle', 'rifle', 'revolver', 'holster', 'cleaver']"
34,Lin_helmet_ILSVRC2012_val_00013302_l.jpg,bathing cap,"['bathing cap', 'pick', 'fire screen', 'nematode', 'crash helmet']"
35,Lin_gun_ILSVRC2012_val_00018910_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'bulletproof vest']"
36,Lin_corn_ILSVRC2012_val_00010495_l.jpg,American alligator,"['American alligator', 'African crocodile', 'sleeping bag', 'flatworm', 'ear']"
37,Lin_mug_ILSVRC2012_val_00027194_l.jpg,coffee mug,"['coffee mug', 'pitcher', 'cup', 'water jug', 'coffeepot']"
38,Lin_banana_ILSVRC2012_val_00038819_l.jpg,nematode,"['nematode', 'nipple', 'chambered nautilus', 'knee pad', ""potter's wheel""]"
39,Lin_mushroom_ILSVRC2012_val_00009394_l.jpg,lampshade,"['lampshade', 'chambered nautilus', 'jellyfish', 'hoopskirt', 'electric ray']"
40,Lin_rabbit_ILSVRC2012_val_00044412_l.jpg,hare,"['hare', 'wood rabbit', 'mink', 'Egyptian cat', 'tub']"
41,Lin_snail_ILSVRC2012_val_00001959_l.jpg,snail,"['snail', 'leatherback turtle', 'megalith', 'slug', 'triceratops']"
42,Lin_banana_ILSVRC2012_val_00021860_l.jpg,paddle,"['paddle', 'nematode', 'sleeping bag', 'quill', 'Windsor tie']"
43,Lin_frog_ILSVRC2012_val_00010287_l.jpg,gyromitra,"['gyromitra', 'tailed frog', 'sleeping bag', 'teddy', 'tick']"
44,Lin_monkey_ILSVRC2012_val_00030191_l.jpg,Newfoundland,"['Newfoundland', 'bassinet', 'white wolf', 'kuvasz', 'cloak']"
45,Lin_hippopotamus_ILSVRC2012_val_00032449_l.jpg,triceratops,"['triceratops', 'sleeping bag', 'Indian elephant', 'clumber', 'dugong']"
46,Lin_turtle_ILSVRC2012_val_00024666_l.jpg,box turtle,"['box turtle', 'leatherback turtle', 'terrapin', 'mud turtle', 'loggerhead']"
47,Lin_swine_ILSVRC2012_val_00011892_l.jpg,Indian elephant,"['Indian elephant', 'African elephant', 'cowboy boot', 'mask', 'tusker']"
