,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,tailed frog,"['tailed frog', 'box turtle', 'mud turtle', 'terrapin', 'whiptail']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'American black bear', 'dingo', 'ice bear', 'dhole']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,pineapple,"['pineapple', 'cardoon', 'artichoke', 'custard apple', 'acorn']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,crayfish,"['crayfish', 'American lobster', 'spiny lobster', 'isopod', 'cockroach']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,brown bear,"['brown bear', 'ice bear', 'baboon', 'Irish wolfhound', 'macaque']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,coffee mug,"['coffee mug', 'cup', 'water jug', 'pitcher', 'teapot']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,honeycomb,"['honeycomb', 'bee', 'isopod', 'hen-of-the-woods', 'apiary']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Arabian camel,"['Arabian camel', 'Indian elephant', 'hog', 'meerkat', 'lion']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'pineapple', 'orange', 'zucchini', 'butternut squash']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,hippopotamus,"['hippopotamus', 'hog', 'Mexican hairless', 'Weimaraner', 'baboon']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,hog,"['hog', 'butcher shop', 'Weimaraner', 'hippopotamus', 'lumbermill']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'earthstar', 'hen-of-the-woods', 'monarch', 'stinkhorn']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,grey fox,"['grey fox', 'kit fox', 'wood rabbit', 'coyote', 'red fox']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,doormat,"['doormat', 'velvet', 'chain mail', 'radiator', 'fire screen']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'fig', 'banana', 'bell pepper', 'lemon']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,aircraft carrier,"['aircraft carrier', 'warplane', 'hammerhead', 'great white shark', 'tiger shark']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,broccoli,"['broccoli', 'cardoon', 'artichoke', 'cauliflower', 'head cabbage']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,hand blower,"['hand blower', 'spotlight', 'space heater', 'microphone', 'power drill']"
18,Fil_clock_ILSVRC2012_val_00041461_f.jpg,odometer,"['odometer', 'analog clock', 'stopwatch', 'wall clock', 'digital watch']"
19,Fil_rabbit_ILSVRC2012_val_00013125_f.jpg,hare,"['hare', 'wood rabbit', 'coyote', 'wallaby', 'kit fox']"
20,Fil_mushroom_ILSVRC2012_val_00038421_f.jpg,mushroom,"['mushroom', 'hen-of-the-woods', 'agaric', 'rocking chair', 'earthstar']"
21,Fil_elephant_ILSVRC2012_val_00035479_f.jpg,Indian elephant,"['Indian elephant', 'tusker', 'African elephant', 'Great Dane', 'ox']"
