,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,stole,"['stole', 'wool', 'poncho', 'chain mail', 'shower cap']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,stole,"['stole', 'wool', 'space shuttle', 'snowmobile', 'poncho']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,aircraft carrier,"['aircraft carrier', 'drilling platform', 'hair slide', 'stole', 'whistle']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'stole', 'wool', 'safety pin', 'poncho']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'sidewinder', 'oboe', 'sea snake', 'flute']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,space shuttle,"['space shuttle', 'stole', 'wool', 'hair slide', 'Petri dish']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,stole,"['stole', 'chain mail', 'wool', 'drilling platform', 'poncho']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,stole,"['stole', 'wool', 'poncho', 'hair slide', 'abaya']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,stole,"['stole', 'wool', 'chain mail', 'drilling platform', 'aircraft carrier']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,space shuttle,"['space shuttle', 'jersey', 'wool', 'whistle', 'stole']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,stole,"['stole', 'wool', 'poncho', 'chain mail', 'window screen']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,aircraft carrier,"['aircraft carrier', 'space shuttle', 'warplane', 'airship', 'drilling platform']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,aircraft carrier,"['aircraft carrier', 'warplane', 'space shuttle', 'oboe', 'screw']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,whistle,"['whistle', 'space shuttle', 'aircraft carrier', 'warplane', 'hair slide']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,stole,"['stole', 'wool', 'drilling platform', 'aircraft carrier', 'space shuttle']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,warplane,"['warplane', 'whistle', 'space shuttle', 'aircraft carrier', 'oboe']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,whistle,"['whistle', 'screw', 'oboe', 'hair slide', 'panpipe']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,space shuttle,"['space shuttle', 'aircraft carrier', 'drilling platform', 'oboe', 'warplane']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,stole,"['stole', 'drilling platform', 'chain mail', 'oboe', 'hair slide']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,aircraft carrier,"['aircraft carrier', 'drilling platform', 'airship', 'lakeside', 'space shuttle']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,oboe,"['oboe', 'drilling platform', 'abaya', 'screw', 'chain mail']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,space shuttle,"['space shuttle', 'airship', 'drilling platform', 'aircraft carrier', 'snowmobile']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,stole,"['stole', 'wool', 'poncho', 'chain mail', 'drilling platform']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,stole,"['stole', 'space shuttle', 'snowmobile', 'aircraft carrier', 'warplane']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,stole,"['stole', 'starfish', 'Kerry blue terrier', 'banded gecko', 'ski mask']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,stole,"['stole', 'space shuttle', 'aircraft carrier', 'drilling platform', 'warplane']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,chain mail,"['chain mail', 'stole', 'hair slide', 'whistle', 'airship']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,space shuttle,"['space shuttle', 'aircraft carrier', 'airship', 'warplane', 'drilling platform']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,stole,"['stole', 'wool', 'poncho', 'chain mail', 'abaya']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,space shuttle,"['space shuttle', 'aircraft carrier', 'drilling platform', 'airship', 'stole']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,stole,"['stole', 'airship', 'aircraft carrier', 'window screen', 'drilling platform']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,whistle,"['whistle', 'abaya', 'hair slide', 'envelope', 'stole']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,aircraft carrier,"['aircraft carrier', 'space shuttle', 'whistle', 'hair slide', 'warplane']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,stole,"['stole', 'space shuttle', 'drilling platform', 'aircraft carrier', 'snowmobile']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,space shuttle,"['space shuttle', 'warplane', 'airship', 'snowmobile', 'parachute']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,drilling platform,"['drilling platform', 'aircraft carrier', 'space shuttle', 'airship', 'warplane']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,stole,"['stole', 'chain mail', 'wool', 'poncho', 'fur coat']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,hair slide,"['hair slide', 'hook', 'whistle', 'nematode', 'chain']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,hair slide,"['hair slide', 'stole', 'porcupine', 'sea urchin', 'wool']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,stole,"['stole', 'aircraft carrier', 'drilling platform', 'space shuttle', 'wool']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nematode,"['nematode', 'abaya', 'chain', 'cleaver', 'chain saw']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,stole,"['stole', 'wool', 'space shuttle', 'aircraft carrier', 'drilling platform']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,aircraft carrier,"['aircraft carrier', 'space shuttle', 'snowmobile', 'warplane', 'airship']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,stole,"['stole', 'wool', 'abaya', 'poncho', 'chain mail']"
44,Cro_v07_dog_ILSVRC2012_val_00030058_cd.jpg,stole,"['stole', 'wool', 'poncho', 'chain mail', 'drilling platform']"
45,Cro_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,stole,"['stole', 'wool', 'chain mail', 'hair slide', 'poncho']"
46,Cro_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,stole,"['stole', 'aircraft carrier', 'drilling platform', 'chain mail', 'parachute']"
47,Cro_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,stole,"['stole', 'space shuttle', 'wool', 'drilling platform', 'aircraft carrier']"
48,Cro_v07_horse_ILSVRC2012_val_00011600_cd.jpg,aircraft carrier,"['aircraft carrier', 'stole', 'space shuttle', 'drilling platform', 'warplane']"
49,Cro_v07_frog_ILSVRC2012_val_00010287_cd.jpg,stole,"['stole', 'aircraft carrier', 'wool', 'space shuttle', 'drilling platform']"
50,Cro_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,stole,"['stole', 'chain mail', 'wool', 'poncho', 'hair slide']"
51,Cro_v07_banana_ILSVRC2012_val_00049606_cd.jpg,hook,"['hook', 'stole', 'chain mail', 'hair slide', 'chain']"
52,Cro_v07_mug_ILSVRC2012_val_00027194_cd.jpg,stole,"['stole', 'chain mail', 'wool', 'poncho', 'window screen']"
53,Cro_v07_flower_ILSVRC2012_val_00013936_cd.jpg,stole,"['stole', 'wool', 'space shuttle', 'aircraft carrier', 'drilling platform']"
54,Cro_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,aircraft carrier,"['aircraft carrier', 'oboe', 'drilling platform', 'warplane', 'space shuttle']"
55,Cro_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,hair slide,"['hair slide', 'screw', 'oboe', 'abaya', 'stole']"
56,Cro_v07_crab_ILSVRC2012_val_00008705_cd.jpg,whistle,"['whistle', 'aircraft carrier', 'space shuttle', 'envelope', 'screw']"
57,Cro_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,stole,"['stole', 'wool', 'aircraft carrier', 'drilling platform', 'poncho']"
58,Cro_v07_chair_ILSVRC2012_val_00001953_cd.jpg,aircraft carrier,"['aircraft carrier', 'drilling platform', 'warplane', 'space shuttle', 'airship']"
59,Cro_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,space shuttle,"['space shuttle', 'snowmobile', 'aircraft carrier', 'airship', 'drilling platform']"
60,Cro_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,stole,"['stole', 'drilling platform', 'wool', 'poncho', 'radio telescope']"
61,Cro_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,aircraft carrier,"['aircraft carrier', 'warplane', 'space shuttle', 'airship', 'drilling platform']"
62,Cro_v07_camel_ILSVRC2012_val_00013553_cd.jpg,stole,"['stole', 'wool', 'chain mail', 'poncho', 'abaya']"
63,Cro_v07_lobster_ILSVRC2012_val_00002502_cd.jpg,aircraft carrier,"['aircraft carrier', 'warplane', 'drilling platform', 'wreck', 'airship']"
64,Cro_v07_gun_ILSVRC2012_val_00016796_cd.jpg,space shuttle,"['space shuttle', 'snowmobile', 'stole', 'warplane', 'snowplow']"
65,Cro_v07_snail_ILSVRC2012_val_00046248_cd.jpg,aircraft carrier,"['aircraft carrier', 'space shuttle', 'drilling platform', 'envelope', 'whistle']"
