,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,tiger,"['tiger', 'tiger cat', 'maze', 'hen-of-the-woods', 'brain coral']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,monarch,"['monarch', 'coho', 'admiral', 'cockroach', 'ant']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,Labrador retriever,"['Labrador retriever', 'golden retriever', 'kuvasz', 'curly-coated retriever', 'Chesapeake Bay retriever']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,terrapin,"['terrapin', 'box turtle', 'mud turtle', 'Gila monster', 'comic book']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,wood rabbit,"['wood rabbit', 'hare', 'fox squirrel', 'ram', 'beaver']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain mail', 'prayer rug', 'doormat', 'maze']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,stone wall,"['stone wall', 'cliff', 'megalith', 'hen-of-the-woods', 'custard apple']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,orange,"['orange', 'Granny Smith', 'comic book', 'banana', 'pomegranate']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,Persian cat,"['Persian cat', 'Sealyham terrier', 'Old English sheepdog', 'Lhasa', 'West Highland white terrier']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,pomegranate,"['pomegranate', 'isopod', 'spaghetti squash', 'feather boa', 'conch']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,brain coral,"['brain coral', 'coral reef', 'puffer', 'rock beauty', 'anemone fish']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,stone wall,"['stone wall', 'corn', 'ear', 'hook', 'nail']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,pineapple,"['pineapple', 'earthstar', 'acorn', 'custard apple', 'buckeye']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,maze,"['maze', 'coral fungus', 'hen-of-the-woods', 'chainlink fence', 'volcano']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,doormat,"['doormat', 'pillow', 'tray', 'velvet', 'pineapple']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,stone wall,"['stone wall', 'tile roof', 'megalith', 'thatch', 'maze']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,komondor,"['komondor', 'clumber', 'ice bear', 'Sussex spaniel', 'ox']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,stopwatch,"['stopwatch', 'analog clock', 'wall clock', 'barometer', 'scale']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,toilet seat,"['toilet seat', 'paper towel', 'toilet tissue', 'hand blower', 'plunger']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,envelope,"['envelope', 'tray', 'doormat', 'cassette', 'laptop']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,pineapple,"['pineapple', 'cardoon', 'banana', 'washbasin', 'envelope']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,cabbage butterfly,"['cabbage butterfly', 'sulphur butterfly', 'pencil sharpener', 'earthstar', 'hen-of-the-woods']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,banana,"['banana', 'nematode', 'hen-of-the-woods', 'slug', 'zucchini']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,broccoli,"['broccoli', 'cauliflower', 'hen-of-the-woods', 'stone wall', 'acorn']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,shopping cart,"['shopping cart', 'wreck', 'folding chair', 'tile roof', 'maze']"
