,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,matchstick,"['matchstick', 'ant', 'envelope', 'hatchet', 'letter opener']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,nematode,"['nematode', 'matchstick', 'envelope', 'ant', 'wall clock']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,cloak,"['cloak', 'thimble', 'chain mail', 'envelope', 'ant']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,porcupine,"['porcupine', 'envelope', 'spatula', 'nail', 'hook']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,nematode,"['nematode', 'letter opener', 'envelope', 'hatchet', 'banded gecko']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,ant,"['ant', 'porcupine', 'quill', 'matchstick', 'nematode']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,envelope,"['envelope', 'wall clock', 'rule', 'chain mail', 'letter opener']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,nematode,"['nematode', 'matchstick', 'quill', 'envelope', 'hatchet']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'ant', 'sea cucumber', 'Petri dish', 'matchstick']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,chain mail,"['chain mail', 'envelope', 'wall clock', 'cloak', 'analog clock']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,envelope,"['envelope', 'analog clock', 'comic book', 'wall clock', 'safety pin']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,chain mail,"['chain mail', 'tusker', 'African elephant', 'Indian elephant', 'bolo tie']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,cup,"['cup', 'coffeepot', 'teapot', 'coffee mug', 'strainer']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,envelope,"['envelope', 'nematode', 'comic book', 'cheetah', 'triceratops']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,envelope,"['envelope', 'chain mail', 'hook', 'safety pin', 'quill']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Arabian camel,"['Arabian camel', 'toilet tissue', 'wall clock', 'abaya', 'analog clock']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nematode,"['nematode', 'quill', 'hatchet', 'envelope', 'spatula']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'ant', 'nematode', 'barn spider', 'oboe']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,Kerry blue terrier,"['Kerry blue terrier', 'envelope', 'Bouvier des Flandres', 'giant schnauzer', 'affenpinscher']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,envelope,"['envelope', 'nematode', 'quill', 'matchstick', 'wall clock']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,quill,"['quill', 'wall clock', 'envelope', 'cleaver', 'black stork']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,revolver,"['revolver', 'envelope', 'nematode', 'ski mask', 'hatchet']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,hatchet,"['hatchet', 'envelope', 'cleaver', 'wall clock', 'cassette']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,nematode,"['nematode', 'Petri dish', 'envelope', 'hatchet', 'ant']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'matchstick', 'safety pin', 'face powder', 'oboe']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,hare,"['hare', 'paper towel', 'toilet tissue', 'wood rabbit', 'envelope']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,volcano,"['volcano', 'quill', 'nematode', 'black stork', 'airship']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,hare,"['hare', 'wood rabbit', 'Angora', 'hook', 'fox squirrel']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,envelope,"['envelope', 'hatchet', 'wall clock', 'sunglass', 'spatula']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,envelope,"['envelope', 'wallaby', 'wall clock', 'rule', 'wombat']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,porcupine,"['porcupine', 'nail', 'nematode', 'echidna', 'quill']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,airship,"['airship', 'bannister', 'tripod', 'umbrella', 'obelisk']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,wall clock,"['wall clock', 'hammer', 'envelope', 'airship', 'analog clock']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,chain mail,"['chain mail', 'hatchet', 'honeycomb', 'paper towel', 'pick']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,envelope,"['envelope', 'chain mail', 'ant', 'spatula', 'letter opener']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,nematode,"['nematode', 'nail', 'chain mail', 'porcupine', 'face powder']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,envelope,"['envelope', 'cassette', 'wall clock', 'quill', 'mountain tent']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,nematode,"['nematode', 'envelope', 'face powder', 'ballpoint', 'letter opener']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,envelope,"['envelope', 'quill', 'nematode', 'matchstick', 'drumstick']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,matchstick,"['matchstick', 'nematode', 'sunglass', 'lipstick', 'quill']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,nematode,"['nematode', 'envelope', 'mailbag', 'chain mail', 'hatchet']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,hatchet,"['hatchet', 'cleaver', 'wall clock', 'envelope', 'nematode']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,nematode,"['nematode', 'envelope', 'airship', 'Petri dish', 'quill']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,Irish water spaniel,"['Irish water spaniel', 'komondor', 'Kerry blue terrier', 'chain mail', 'affenpinscher']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,envelope,"['envelope', 'nematode', 'quill', 'paper towel', 'toilet tissue']"
45,Cro5dva_v05_chair_ILSVRC2012_val_00044181_cs.jpg,toaster,"['toaster', 'parachute', 'waffle iron', 'ski', 'safety pin']"
46,Cro5dva_v05_horse_ILSVRC2012_val_00032126_cs.jpg,nematode,"['nematode', 'wall clock', 'envelope', 'sunglass', 'matchstick']"
47,Cro5dva_v05_car_ILSVRC2012_val_00037492_cs.jpg,envelope,"['envelope', 'nematode', 'letter opener', 'hatchet', 'rule']"
48,Cro5dva_v05_bee_ILSVRC2012_val_00042015_cs.jpg,wall clock,"['wall clock', 'sunglass', 'tripod', 'analog clock', 'umbrella']"
49,Cro5dva_v05_horse_ILSVRC2012_val_00008317_cs.jpg,zebra,"['zebra', 'analog clock', 'wall clock', 'envelope', 'revolver']"
50,Cro5dva_v05_swine_ILSVRC2012_val_00031491_cs.jpg,nematode,"['nematode', 'Petri dish', 'face powder', 'hatchet', 'matchstick']"
51,Cro5dva_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,corkscrew,"['corkscrew', 'quill', 'grey whale', 'nematode', 'envelope']"
52,Cro5dva_v05_snail_ILSVRC2012_val_00001959_cs.jpg,matchstick,"['matchstick', 'nematode', 'Petri dish', 'quill', 'safety pin']"
53,Cro5dva_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,ski mask,"['ski mask', 'nematode', 'face powder', 'quill', 'ballpoint']"
54,Cro5dva_v05_bird_ILSVRC2012_val_00028363_cs.jpg,envelope,"['envelope', 'nematode', 'matchstick', 'quill', 'rule']"
55,Cro5dva_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,tusker,"['tusker', 'triceratops', 'envelope', 'comic book', 'Indian elephant']"
56,Cro5dva_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,nematode,"['nematode', 'envelope', 'matchstick', 'wall clock', 'lipstick']"
57,Cro5dva_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,nematode,"['nematode', 'envelope', 'drumstick', 'airship', 'sunglass']"
58,Cro5dva_v05_spider_ILSVRC2012_val_00029156_cs.jpg,wall clock,"['wall clock', 'tripod', 'envelope', 'shoji', 'analog clock']"
59,Cro5dva_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,nematode,"['nematode', 'wall clock', 'matchstick', 'hammer', 'hatchet']"
60,Cro5dva_v05_chair_ILSVRC2012_val_00004120_cs.jpg,folding chair,"['folding chair', 'toaster', 'guillotine', 'cup', 'safety pin']"
61,Cro5dva_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,chain mail,"['chain mail', 'nematode', 'envelope', 'hatchet', 'nail']"
62,Cro5dva_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,corkscrew,"['corkscrew', 'hammer', 'nail', 'hatchet', 'hook']"
63,Cro5dva_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,corkscrew,"['corkscrew', 'hammer', 'hatchet', 'mushroom', 'envelope']"
64,Cro5dva_v05_bear_ILSVRC2012_val_00038263_cs.jpg,chain mail,"['chain mail', 'hatchet', 'spatula', 'drumstick', 'mortar']"
65,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,matchstick,"['matchstick', 'lighter', 'quill', 'syringe', 'safety pin']"
66,Cro5dva_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,envelope,"['envelope', 'spatula', 'matchstick', 'chain mail', 'hatchet']"
67,Cro5dva_v05_chair_ILSVRC2012_val_00012771_cs.jpg,matchstick,"['matchstick', 'drumstick', 'tripod', 'wall clock', 'nematode']"
68,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00038747_cs.jpg,nematode,"['nematode', 'envelope', 'Petri dish', 'spatula', 'letter opener']"
69,Cro5dva_v05_flower_ILSVRC2012_val_00039137_cs.jpg,envelope,"['envelope', 'chain mail', 'ant', 'Petri dish', 'wall clock']"
70,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00006991_cs.jpg,nematode,"['nematode', 'hatchet', 'envelope', 'ant', 'wall clock']"
71,Cro5dva_v05_pineapple_ILSVRC2012_val_00024461_cs.jpg,pineapple,"['pineapple', 'envelope', 'wall clock', 'paper towel', 'panpipe']"
72,Cro5dva_v05_squirrel_ILSVRC2012_val_00042981_cs.jpg,hatchet,"['hatchet', 'picket fence', 'airship', 'envelope', 'mountain tent']"
73,Cro5dva_v05_mug_ILSVRC2012_val_00025893_cs.jpg,cup,"['cup', 'coffee mug', 'coffeepot', 'teapot', 'pitcher']"
74,Cro5dva_v05_car_ILSVRC2012_val_00010455_cs.jpg,hatchet,"['hatchet', 'envelope', 'wall clock', 'spatula', 'cleaver']"
75,Cro5dva_v05_frog_ILSVRC2012_val_00010287_cs.jpg,wall clock,"['wall clock', 'envelope', 'hatchet', 'cleaver', 'cassette']"
76,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00032449_cs.jpg,envelope,"['envelope', 'hatchet', 'chain mail', 'spatula', 'cleaver']"
77,Cro5dva_v05_spider_ILSVRC2012_val_00026030_cs.jpg,barn spider,"['barn spider', 'spider web', 'tick', 'black widow', 'wolf spider']"
78,Cro5dva_v05_frog_ILSVRC2012_val_00022660_cs.jpg,nematode,"['nematode', 'spatula', 'quill', 'matchstick', 'envelope']"
79,Cro5dva_v05_bird_ILSVRC2012_val_00007153_cs.jpg,wall clock,"['wall clock', 'envelope', 'analog clock', 'nematode', 'quill']"
80,Cro5dva_v05_crab_ILSVRC2012_val_00008705_cs.jpg,ant,"['ant', 'tick', 'barn spider', 'cockroach', 'isopod']"
81,Cro5dva_v05_crab_ILSVRC2012_val_00011922_cs.jpg,matchstick,"['matchstick', 'quill', 'hammer', 'nematode', 'lipstick']"
82,Cro5dva_v05_mushroom_ILSVRC2012_val_00021713_cs.jpg,nail,"['nail', 'hammer', 'parachute', 'hatchet', 'quill']"
83,Cro5dva_v05_lobster_ILSVRC2012_val_00017039_cs.jpg,lipstick,"['lipstick', 'face powder', 'nematode', 'envelope', 'sunglass']"
84,Cro5dva_v05_crocodilian_ILSVRC2012_val_00010826_cs.jpg,hatchet,"['hatchet', 'envelope', 'ant', 'nematode', 'hook']"
85,Cro5dva_v05_snake_ILSVRC2012_val_00006751_cs.jpg,ant,"['ant', 'matchstick', 'tick', 'cockroach', 'crane bird']"
86,Cro5dva_v05_bird_ILSVRC2012_val_00017028_cs.jpg,envelope,"['envelope', 'quill', 'comic book', 'wall clock', 'corkscrew']"
87,Cro5dva_v05_mug_ILSVRC2012_val_00020276_cs.jpg,cup,"['cup', 'coffee mug', 'coffeepot', 'teapot', 'espresso']"
88,Cro5dva_v05_spider_ILSVRC2012_val_00008805_cs.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'black widow', 'wolf spider']"
89,Cro5dva_v05_acorn_ILSVRC2012_val_00028557_cs.jpg,pineapple,"['pineapple', 'envelope', 'wall clock', 'hatchet', 'ski mask']"
90,Cro5dva_v05_monkey_ILSVRC2012_val_00003631_cs.jpg,ant,"['ant', 'chain mail', 'envelope', 'matchstick', 'chain']"
91,Cro5dva_v05_bird_ILSVRC2012_val_00030545_cs.jpg,nematode,"['nematode', 'envelope', 'hatchet', 'matchstick', 'ant']"
92,Cro5dva_v05_spider_ILSVRC2012_val_00029756_cs.jpg,barn spider,"['barn spider', 'wall clock', 'spider web', 'wolf spider', 'black widow']"
93,Cro5dva_v05_airplane_ILSVRC2012_val_00033920_cs.jpg,quill,"['quill', 'envelope', 'wall clock', 'black stork', 'airship']"
94,Cro5dva_v05_airplane_ILSVRC2012_val_00023781_cs.jpg,airship,"['airship', 'park bench', 'boathouse', 'barn', 'water tower']"
95,Cro5dva_v05_apple_ILSVRC2012_val_00045087_cs.jpg,Petri dish,"['Petri dish', 'analog clock', 'nematode', 'acorn', 'safety pin']"
96,Cro5dva_v05_hammer_ILSVRC2012_val_00003387_cs.jpg,nematode,"['nematode', 'matchstick', 'quill', 'envelope', 'tick']"
97,Cro5dva_v05_elephant_ILSVRC2012_val_00018263_cs.jpg,envelope,"['envelope', 'mailbag', 'hatchet', 'tripod', 'wall clock']"
