,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'window screen', 'brain coral', 'safety pin']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,ice bear,"['ice bear', 'chain saw', 'badger', 'skunk', 'armadillo']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,whistle,"['whistle', 'chain', 'quill', 'red-backed sandpiper', 'black grouse']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,cup,"['cup', 'coffee mug', 'teapot', 'coffeepot', 'espresso']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,chain,"['chain', 'whistle', 'stopwatch', 'safety pin', 'nematode']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,chain,"['chain', 'nail', 'safety pin', 'Petri dish', 'nematode']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,honeycomb,"['honeycomb', 'nail', 'safety pin', 'window screen', 'fire screen']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,nematode,"['nematode', 'strainer', 'frying pan', 'syringe', 'chain']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window screen,"['window screen', 'safety pin', 'nail', 'fire screen', 'maze']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,triceratops,"['triceratops', 'capuchin', 'African chameleon', 'frilled lizard', 'indri']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,Eskimo dog,"['Eskimo dog', 'schipperke', 'acorn', 'timber wolf', 'white wolf']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,banded gecko,"['banded gecko', 'submarine', 'killer whale', 'warplane', 'space shuttle']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'spider web', 'black and gold garden spider']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,nematode,"['nematode', 'indri', 'skunk', 'pot', 'safety pin']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'fire screen', 'nail', 'honeycomb', 'maze']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,safety pin,"['safety pin', 'chain saw', 'nematode', 'nail', 'maze']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,oboe,"['oboe', 'coil', 'matchstick', 'nail', 'bassoon']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,analog clock,"['analog clock', 'magnetic compass', 'barn spider', 'warplane', 'space shuttle']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'parachute', 'hammer', 'matchstick', 'mushroom']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,window screen,"['window screen', 'fire screen', 'safety pin', 'pot', 'maze']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,nail,"['nail', 'pole', 'oboe', 'hammer', 'matchstick']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,banded gecko,"['banded gecko', 'nail', 'whistle', 'oboe', 'nematode']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,fire screen,"['fire screen', 'window screen', 'honeycomb', 'nail', 'table lamp']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,chain mail,"['chain mail', 'Petri dish', 'chain', 'safety pin', 'nail']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,corkscrew,"['corkscrew', 'nail', 'matchstick', 'chain', 'nematode']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'soft-coated wheaten terrier', 'Kerry blue terrier', 'briard', 'giant schnauzer']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,hare,"['hare', 'wood rabbit', 'safety pin', 'doormat', 'Angora']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,analog clock,"['analog clock', 'chain saw', 'chain', 'oboe', 'magnetic compass']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,nematode,"['nematode', 'cleaver', 'wall clock', 'ear', 'missile']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,coil,"['coil', 'matchstick', 'nail', 'knot', 'safety pin']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,rule,"['rule', 'crossword puzzle', 'safety pin', 'balloon', 'cup']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,matchstick,"['matchstick', 'nematode', 'scorpion', 'mink', 'polecat']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,folding chair,"['folding chair', 'rocking chair', 'crutch', 'analog clock', 'quill']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,platypus,"['platypus', 'bison', 'mink', 'ostrich', 'isopod']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,acorn,"['acorn', 'quill', 'tick', 'nematode', 'corkscrew']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,oboe,"['oboe', 'bassoon', 'wall clock', 'analog clock', 'matchstick']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,acorn,"['acorn', 'honeycomb', 'hen-of-the-woods', 'fire screen', 'chain']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,chain,"['chain', 'oboe', 'whistle', 'sax', 'nematode']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,frying pan,"['frying pan', 'spatula', 'acorn', 'tick', 'cleaver']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,shopping cart,"['shopping cart', 'shopping basket', 'folding chair', 'rocking chair', 'plate rack']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,chain,"['chain', 'nail', 'nematode', 'whistle', 'oboe']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,chain,"['chain', 'nail', 'matchstick', 'chain mail', 'hammer']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,nail,"['nail', 'matchstick', 'safety pin', 'chain', 'tripod']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,oboe,"['oboe', 'Arabian camel', 'safety pin', 'microphone', 'panpipe']"
44,Cro_v07_dog_ILSVRC2012_val_00030058_cd.jpg,cloak,"['cloak', 'fire screen', 'table lamp', 'book jacket', 'window screen']"
45,Cro_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,acorn,"['acorn', 'spaghetti squash', 'hen-of-the-woods', 'custard apple', 'nematode']"
46,Cro_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,chime,"['chime', 'gong', 'rule', 'analog clock', 'cup']"
47,Cro_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,piggy bank,"['piggy bank', 'isopod', 'airship', 'armadillo', 'acorn']"
48,Cro_v07_horse_ILSVRC2012_val_00011600_cd.jpg,analog clock,"['analog clock', 'chime', 'tripod', 'hook', 'table lamp']"
49,Cro_v07_frog_ILSVRC2012_val_00010287_cd.jpg,safety pin,"['safety pin', 'window screen', 'wall clock', 'analog clock', 'guillotine']"
50,Cro_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,acorn,"['acorn', 'buckeye', 'gong', 'custard apple', 'chime']"
51,Cro_v07_banana_ILSVRC2012_val_00049606_cd.jpg,nematode,"['nematode', 'Petri dish', 'flatworm', 'sea cucumber', 'nail']"
52,Cro_v07_mug_ILSVRC2012_val_00027194_cd.jpg,cup,"['cup', 'coffee mug', 'coffeepot', 'teapot', 'pitcher']"
53,Cro_v07_flower_ILSVRC2012_val_00013936_cd.jpg,window screen,"['window screen', 'honeycomb', 'fire screen', 'nail', 'safety pin']"
54,Cro_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,oboe,"['oboe', 'microphone', 'analog clock', 'plunger', 'matchstick']"
55,Cro_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,matchstick,"['matchstick', 'cassette', 'nail', 'cup', 'whistle']"
56,Cro_v07_crab_ILSVRC2012_val_00008705_cd.jpg,armadillo,"['armadillo', 'polecat', 'triceratops', 'bucket', 'isopod']"
57,Cro_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,acorn,"['acorn', 'mousetrap', 'schipperke', 'Bouvier des Flandres', 'Eskimo dog']"
58,Cro_v07_chair_ILSVRC2012_val_00001953_cd.jpg,nail,"['nail', 'analog clock', 'nematode', 'bassoon', 'safety pin']"
59,Cro_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,cassette,"['cassette', 'nematode', 'chain saw', 'safety pin', 'Petri dish']"
60,Cro_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,parachute,"['parachute', 'airship', 'nail', 'chime', 'mushroom']"
61,Cro_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,warplane,"['warplane', 'wing', 'analog clock', 'space shuttle', 'projectile']"
62,Cro_v07_camel_ILSVRC2012_val_00013553_cd.jpg,chain mail,"['chain mail', 'chain', 'safety pin', 'nail', 'strainer']"
