,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'banana', 'strawberry', 'artichoke', 'custard apple']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,scorpion,"['scorpion', 'plastic bag', 'sleeping bag', 'parachute', 'rock crab']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,cloak,"['cloak', 'grey whale', 'scabbard', 'studio couch', 'American lobster']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'tick', 'barn spider', 'isopod']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,drum,"['drum', 'pick', 'gong', 'bearskin', 'chime']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,leatherback turtle,"['leatherback turtle', 'American alligator', 'slug', 'platypus', 'triceratops']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'slug', 'conch', 'coil', 'hermit crab']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,book jacket,"['book jacket', 'velvet', 'comic book', 'doormat', 'sorrel']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'power drill', 'hammer', 'microphone', 'spotlight']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,slug,"['slug', 'leatherback turtle', 'American alligator', 'snail', 'African crocodile']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,fox squirrel,"['fox squirrel', 'acorn', 'marmot', 'beaver', 'mink']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'cup', 'whiskey jug', 'pitcher', 'water jug']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,mitten,"['mitten', 'dugong', 'American lobster', 'binoculars', 'crayfish']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'mud turtle', 'box turtle', 'leatherback turtle', 'loggerhead']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,gong,"['gong', 'chime', 'tick', 'Granny Smith', 'nail']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hammer,"['hammer', 'hand blower', 'nail', 'crutch', 'hatchet']"
