,image_path,top1_class,top5_class
0,Ori_mug_ILSVRC2012_val_00025893_o.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'measuring cup', 'whiskey jug']"
1,Ori_clock_ILSVRC2012_val_00017693_o.jpg,wall clock,"['wall clock', 'analog clock', 'barometer', 'stopwatch', 'digital clock']"
2,Ori_hippopotamus_ILSVRC2012_val_00045847_o.jpg,hippopotamus,"['hippopotamus', 'water buffalo', 'dugong', 'warthog', 'ice bear']"
3,Ori_bear_ILSVRC2012_val_00020441_o.jpg,ice bear,"['ice bear', 'brown bear', 'badger', 'American black bear', 'sloth bear']"
4,Ori_flower_ILSVRC2012_val_00022139_o.jpg,daisy,"['daisy', 'screw', 'nail', 'vase', 'bow tie']"
5,Ori_mushroom_ILSVRC2012_val_00009394_o.jpg,agaric,"['agaric', 'mushroom', 'stinkhorn', 'bolete', 'earthstar']"
6,Ori_horse_ILSVRC2012_val_00008317_o.jpg,sorrel,"['sorrel', 'horse cart', 'barrel', 'worm fence', 'muzzle']"
7,Ori_mushroom_ILSVRC2012_val_00040625_o.jpg,mushroom,"['mushroom', 'agaric', 'bolete', 'stinkhorn', 'hen-of-the-woods']"
8,Ori_chair_ILSVRC2012_val_00044181_o.jpg,folding chair,"['folding chair', 'platypus', 'beaver', 'rocking chair', 'bassinet']"
9,Ori_lobster_ILSVRC2012_val_00002502_o.jpg,American lobster,"['American lobster', 'spiny lobster', 'crayfish', 'king crab', 'fire engine']"
10,Ori_bee_ILSVRC2012_val_00045227_o.jpg,bee,"['bee', 'fly', 'honeycomb', 'apiary', 'cicada']"
11,Ori_butterfly_ILSVRC2012_val_00025307_o.jpg,ringlet,"['ringlet', 'lycaenid', 'cabbage butterfly', 'admiral', 'lacewing']"
12,Ori_bee_ILSVRC2012_val_00002566_o.jpg,bee,"['bee', 'fly', 'apiary', 'honeycomb', 'cicada']"
13,Ori_chair_ILSVRC2012_val_00041720_o.jpg,throne,"['throne', 'pedestal', 'barber chair', 'rocking chair', 'studio couch']"
14,Ori_lemon_ILSVRC2012_val_00028823_o.jpg,lemon,"['lemon', 'orange', 'Arabian camel', 'jackfruit', 'bucket']"
15,Ori_hammer_ILSVRC2012_val_00001110_o.jpg,hammer,"['hammer', 'shovel', 'hatchet', 'croquet ball', 'nail']"
16,Ori_clock_ILSVRC2012_val_00035392_o.jpg,wall clock,"['wall clock', 'analog clock', 'barometer', 'stopwatch', 'digital clock']"
17,Ori_corn_ILSVRC2012_val_00007467_o.jpg,ear,"['ear', 'corn', ""jack-o'-lantern"", 'acorn squash', 'butternut squash']"
18,Ori_microwave_ILSVRC2012_val_00047421_o.jpg,microwave,"['microwave', 'space heater', 'crate', 'oscilloscope', 'modem']"
19,Ori_crab_ILSVRC2012_val_00011922_o.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'Dungeness crab', 'king crab', 'crayfish']"
20,Ori_snail_ILSVRC2012_val_00045031_o.jpg,snail,"['snail', 'slug', 'conch', 'chambered nautilus', 'hermit crab']"
21,Ori_strawberry_ILSVRC2012_val_00023739_o.jpg,strawberry,"['strawberry', 'banana', 'orange', 'trifle', 'tray']"
22,Ori_camel_ILSVRC2012_val_00015872_o.jpg,Arabian camel,"['Arabian camel', 'llama', 'panpipe', 'lemon', 'muzzle']"
23,Ori_car_ILSVRC2012_val_00010455_o.jpg,sports car,"['sports car', 'car wheel', 'convertible', 'beach wagon', 'grille']"
24,Ori_spider_ILSVRC2012_val_00029756_o.jpg,barn spider,"['barn spider', 'garden spider', 'spider web', 'wolf spider', 'black and gold garden spider']"
25,Ori_turtle_ILSVRC2012_val_00009376_o.jpg,box turtle,"['box turtle', 'mud turtle', 'terrapin', 'leatherback turtle', 'loggerhead']"
26,Ori_lobster_ILSVRC2012_val_00017039_o.jpg,American lobster,"['American lobster', 'rock crab', 'king crab', 'Dungeness crab', 'spiny lobster']"
27,Ori_shoe_ILSVRC2012_val_00048970_o.jpg,sandal,"['sandal', 'clog', 'buckle', 'Loafer', 'shoe shop']"
28,Ori_bird_ILSVRC2012_val_00017028_o.jpg,water ouzel,"['water ouzel', 'American coot', 'hummingbird', 'redshank', 'dowitcher']"
29,Ori_microwave_ILSVRC2012_val_00027917_o.jpg,microwave,"['microwave', 'rotisserie', 'oscilloscope', 'safe', 'space heater']"
30,Ori_turtle_ILSVRC2012_val_00049782_o.jpg,box turtle,"['box turtle', 'mud turtle', 'terrapin', 'monarch', 'leatherback turtle']"
31,Ori_mushroom_ILSVRC2012_val_00039698_o.jpg,mushroom,"['mushroom', 'agaric', 'bolete', 'earthstar', 'stinkhorn']"
32,Ori_mug_ILSVRC2012_val_00020276_o.jpg,coffee mug,"['coffee mug', 'pitcher', 'cup', 'water jug', 'whiskey jug']"
33,Ori_broccoli_ILSVRC2012_val_00019851_o.jpg,broccoli,"['broccoli', 'combination lock', 'ballplayer', 'cauliflower', 'baseball']"
34,Ori_airplane_ILSVRC2012_val_00049097_o.jpg,warplane,"['warplane', 'wing', 'airliner', 'projectile', 'missile']"
35,Ori_horse_ILSVRC2012_val_00011600_o.jpg,sorrel,"['sorrel', 'horse cart', 'barrel', 'muzzle', 'worm fence']"
36,Ori_crab_ILSVRC2012_val_00004462_o.jpg,king crab,"['king crab', 'rock crab', 'Dungeness crab', 'American lobster', 'fiddler crab']"
37,Ori_crocodilian_ILSVRC2012_val_00010826_o.jpg,American alligator,"['American alligator', 'African crocodile', 'alligator lizard', 'banded gecko', 'sturgeon']"
38,Ori_lobster_ILSVRC2012_val_00047059_o.jpg,American lobster,"['American lobster', 'spiny lobster', 'fire engine', 'crayfish', 'fireboat']"
39,Ori_crocodilian_ILSVRC2012_val_00018666_o.jpg,American alligator,"['American alligator', 'African crocodile', 'leatherback turtle', 'terrapin', 'mud turtle']"
40,Ori_guitar_ILSVRC2012_val_00029538_o.jpg,acoustic guitar,"['acoustic guitar', 'electric guitar', 'pick', 'banjo', 'microphone']"
41,Ori_lobster_ILSVRC2012_val_00028657_o.jpg,American lobster,"['American lobster', 'spiny lobster', 'crayfish', 'fire engine', 'fireboat']"
42,Ori_helmet_ILSVRC2012_val_00032342_o.jpg,football helmet,"['football helmet', 'cliff dwelling', 'crash helmet', 'coral fungus', 'rocking chair']"
