,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'combination lock', 'cauliflower', 'ballplayer', 'baseball']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,custard apple,"['custard apple', 'tennis ball', 'Granny Smith', 'head cabbage', 'acorn']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'hand blower', 'spotlight', 'hammer', 'radio telescope']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,triceratops,"['triceratops', 'African hunting dog', 'African chameleon', 'Boston bull', 'ox']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,whippet,"['whippet', 'albatross', 'paper towel', 'Siamese cat', 'Bedlington terrier']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'wing', 'projectile', 'missile', 'airliner']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Boston bull,"['Boston bull', 'toy terrier', 'Chihuahua', 'Italian greyhound', 'miniature pinscher']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'Scottish deerhound', 'Newfoundland', 'Kerry blue terrier', 'Great Dane']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'spider web', 'wolf spider', 'black and gold garden spider']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'magpie', 'water ouzel', 'American coot', 'goose']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'trifle', 'tray', 'banana', 'orange']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'buckeye', 'custard apple', 'tailed frog']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'chambered nautilus', 'snail', 'hermit crab', 'hen-of-the-woods']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,boa constrictor,"['boa constrictor', 'platypus', 'rock python', 'rifle', 'sturgeon']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,wire-haired fox terrier,"['wire-haired fox terrier', 'English foxhound', 'proboscis monkey', 'Saint Bernard', 'Siamese cat']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'nematode', 'water snake', 'ringneck snake', 'sidewinder']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pick', 'violin']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'triceratops', 'Indian elephant', 'warthog', 'dugong']"
