,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,conch,"['conch', 'plastic bag', 'Maltese dog', 'Angora', 'West Highland white terrier']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'window screen', 'crossword puzzle', 'fountain']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,corn,"['corn', 'honeycomb', 'ear', 'hen-of-the-woods', 'jackfruit']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,brambling,"['brambling', 'red-backed sandpiper', 'lakeside', 'American egret', 'ruddy turnstone']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,honeycomb,"['honeycomb', 'velvet', 'neck brace', 'chain mail', 'stole']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'holster', 'honeycomb', ""carpenter's kit"", 'window screen']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,padlock,"['padlock', 'combination lock', 'chocolate sauce', 'shoe shop', 'honeycomb']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,coral fungus,"['coral fungus', 'hen-of-the-woods', 'gyromitra', 'stinkhorn', 'coral reef']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,window screen,"['window screen', 'honeycomb', 'window shade', 'shower curtain', 'maze']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,rock beauty,"['rock beauty', 'king penguin', 'honeycomb', 'flatworm', 'anemone fish']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,goldfish,"['goldfish', 'conch', 'coral reef', 'rock beauty', 'electric ray']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'safety pin', 'fountain', 'book jacket']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'candle', 'strawberry', 'vase', 'hen-of-the-woods']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'gyromitra', 'coral fungus', 'apiary']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'custard apple', 'guacamole']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,breastplate,"['breastplate', 'chain mail', 'cuirass', 'honeycomb', 'shield']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'lycaenid', 'gyromitra', 'worm fence', 'black stork']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,conch,"['conch', 'red-backed sandpiper', 'hornbill', 'robin', 'junco']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,coral reef,"['coral reef', 'head cabbage', 'broccoli', 'brain coral', 'cauliflower']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'broccoli', 'cauliflower', 'zucchini', 'pineapple']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,goldfish,"['goldfish', 'coho', 'Dungeness crab', 'fiddler crab', 'king crab']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain mail', 'book jacket', 'window screen', 'screw']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,coral reef,"['coral reef', 'coho', 'rock beauty', 'goldfish', 'velvet']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,stone wall,"['stone wall', 'megalith', 'cliff', 'cliff dwelling', 'valley']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'red-backed sandpiper', 'dowitcher', 'ruddy turnstone', 'fiddler crab']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,maze,"['maze', 'waffle iron', 'screw', 'space bar', 'computer keyboard']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,warplane,"['warplane', 'wing', 'padlock', 'tile roof', 'airliner']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,conch,"['conch', 'goldfish', 'plastic bag', 'cardoon', 'hen-of-the-woods']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Angora', 'three-toed sloth', 'komondor', 'otterhound']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'gyromitra', 'coral reef', 'cauliflower']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'binder', 'wallet', 'book jacket']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,conch,"['conch', 'goose', 'albatross', 'sulphur-crested cockatoo', 'American egret']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tiger', 'tiger cat', 'fur coat', 'velvet']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'tiger cat', 'zebra', 'lynx', 'fur coat']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,matchstick,"['matchstick', 'maze', 'jigsaw puzzle', 'doormat', 'honeycomb']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,head cabbage,"['head cabbage', 'broccoli', 'cauliflower', 'hen-of-the-woods', 'grocery store']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,fur coat,"['fur coat', 'Angora', 'coral fungus', 'wool', 'hen-of-the-woods']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'coral fungus', 'mushroom', 'earthstar']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,Granny Smith,"['Granny Smith', 'bell pepper', 'cucumber', 'custard apple', 'lemon']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'goldfish', 'velvet', 'flatworm', 'sarong']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'tile roof', 'throne', 'prayer rug', 'tray']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,crossword puzzle,"['crossword puzzle', 'maze', 'computer keyboard', 'shower curtain', 'rule']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'cucumber', 'broccoli', 'grocery store']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,refrigerator,"['refrigerator', 'photocopier', 'medicine chest', 'desk', 'screen']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,sandbar,"['sandbar', 'red-backed sandpiper', 'seashore', 'maze', 'chain mail']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'hen-of-the-woods', 'tile roof', 'Arabian camel']"
