,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,quill,"['quill', 'spatula', 'tennis ball', 'airship', 'stopwatch']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,space heater,"['space heater', 'stopwatch', 'neck brace', 'joystick', 'switch']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'ski mask', 'abaya', 'sleeping bag', 'mitten']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'stopwatch', 'electric ray', 'cradle', 'space heater']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,quill,"['quill', 'sleeping bag', 'cleaver', 'strainer', 'mitten']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,American black bear,"['American black bear', 'standard poodle', 'giant schnauzer', 'affenpinscher', 'flat-coated retriever']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,quill,"['quill', 'American black bear', 'tennis ball', 'skunk', 'ibex']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,space heater,"['space heater', 'coffee mug', 'paper towel', 'mailbag', 'whiskey jug']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,standard poodle,"['standard poodle', 'giant schnauzer', 'curly-coated retriever', 'Scottish deerhound', 'black-and-tan coonhound']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,American black bear,"['American black bear', 'Afghan hound', 'ant', 'neck brace', 'binoculars']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'black and gold garden spider', 'ground beetle']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'space heater', 'caldron', 'tennis ball', 'puck']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,frying pan,"['frying pan', 'nail', 'spatula', 'strainer', 'maraca']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,ibex,"['ibex', 'American black bear', 'capuchin', 'chimpanzee', 'indri']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,nail,"['nail', 'muzzle', 'ibex', 'hook', 'broom']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,abaya,"['abaya', 'cradle', 'American black bear', 'binoculars', 'sweatshirt']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,caldron,"['caldron', 'electric ray', 'strainer', 'quill', 'space heater']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,quill,"['quill', 'sleeping bag', 'bloodhound', 'wallet', 'cleaver']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,quill,"['quill', 'kite', 'nail', 'Persian cat', 'spatula']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'tick', 'ground beetle', 'isopod', 'garden spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,American black bear,"['American black bear', 'cloak', 'abaya', 'chow', 'brown bear']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,electric ray,"['electric ray', 'greenhouse', 'panpipe', 'caldron', 'digital clock']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,quill,"['quill', 'white stork', 'envelope', 'feather boa', 'assault rifle']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,nail,"['nail', 'hatchet', 'hammer', 'guillotine', 'pole']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,flat-coated retriever,"['flat-coated retriever', 'American black bear', 'mink', 'schipperke', 'space heater']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,space heater,"['space heater', 'caldron', 'pick', 'strainer', 'electric ray']"
