,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'hen-of-the-woods', 'gyromitra', 'cauliflower', 'coral fungus']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'vase', 'paper towel', 'spaghetti squash', 'strawberry']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'can opener', 'revolver', 'switch', 'holster']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'German shepherd', 'Siamese cat', 'Boston bull', 'English foxhound']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,weasel,"['weasel', 'ice bear', 'Siamese cat', 'ptarmigan', 'wire-haired fox terrier']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'projectile', 'missile', 'airliner', 'ski']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Chihuahua,"['Chihuahua', 'parachute', 'pedestal', 'English foxhound', 'Ibizan hound']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'wool', 'paper towel', 'Dandie Dinmont']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'isopod', 'tick', 'garden spider', 'spider web']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,albatross,"['albatross', 'oystercatcher', 'black grouse', 'goose', 'kite']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'French loaf', 'pretzel', 'lipstick', 'chocolate sauce']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'broccoli', 'head cabbage', 'barn spider', 'cauliflower']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'custard apple', 'hen-of-the-woods', 'isopod', 'ear']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,platypus,"['platypus', 'cleaver', 'electric ray', 'coho', 'barracouta']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,miniature schnauzer,"['miniature schnauzer', 'wire-haired fox terrier', 'Welsh springer spaniel', 'Saint Bernard', 'Siamese cat']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,night snake,"['night snake', 'sea snake', 'rock python', 'water snake', 'banded gecko']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,muzzle,"['muzzle', 'hair slide', 'electric guitar', 'violin', 'cello']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'hog', 'hippopotamus', 'electric ray', 'conch']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,parachute,"['parachute', 'warplane', 'ocarina', 'crash helmet', 'stretcher']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'violin', 'cello']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'stinkhorn', 'Indian cobra', 'corn', 'starfish']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'printer', 'cash machine', 'power drill', 'mobile home']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Ibizan hound', 'triceratops', 'redbone', 'golden retriever']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,bagel,"['bagel', 'potpie', 'trifle', 'spaghetti squash', 'candle']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,prairie chicken,"['prairie chicken', 'ruffed grouse', 'ptarmigan', 'black grouse', 'ruddy turnstone']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,whistle,"['whistle', 'hair slide', 'plane', 'muzzle', 'knee pad']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,mailbag,"['mailbag', 'hair slide', 'tennis ball', 'studio couch', 'hen-of-the-woods']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'hen-of-the-woods', 'conch', 'honeycomb']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,meerkat,"['meerkat', 'Siberian husky', 'Siamese cat', 'hog', 'ice bear']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,wire-haired fox terrier,"['wire-haired fox terrier', 'hog', 'triceratops', 'Irish terrier', 'Lakeland terrier']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,Sussex spaniel,"['Sussex spaniel', 'hare', 'hen-of-the-woods', 'barn spider', 'otter']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,paper towel,"['paper towel', 'oxygen mask', 'breastplate', 'gasmask', 'neck brace']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,ski,"['ski', 'revolver', 'hair slide', 'chain saw', 'African chameleon']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,grey fox,"['grey fox', 'tabby', 'Egyptian cat', 'plastic bag', 'fox squirrel']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,steel drum,"['steel drum', 'shower cap', 'head cabbage', 'trifle', 'strawberry']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,medicine chest,"['medicine chest', 'desk', 'face powder', 'photocopier', 'solar dish']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'candle', 'coral fungus', 'cauliflower', 'paper towel']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,hog,"['hog', 'Weimaraner', 'Chihuahua', 'electric ray', 'golden retriever']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,triceratops,"['triceratops', 'bloodhound', 'Chesapeake Bay retriever', 'Arabian camel', 'Labrador retriever']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,Airedale,"['Airedale', 'hen-of-the-woods', 'Norwich terrier', 'triceratops', 'German shepherd']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,American alligator,"['American alligator', 'hair slide', 'knot', 'otter', 'warplane']"
