,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Angora', 'coral reef', 'cauliflower', 'dough']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'violin', 'window screen', 'corkscrew', 'nail']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'ear', 'bee', 'chainlink fence', 'chain mail']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'red-backed sandpiper', 'sea lion', 'doormat']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,screw,"['screw', 'nail', 'honeycomb', 'bee', 'isopod']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,monitor,"['monitor', 'dumbbell', 'maze', 'screen', 'sea lion']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,cowboy hat,"['cowboy hat', 'shoe shop', 'sunglasses', 'laptop', 'cinema']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,candle,"['candle', 'bell pepper', 'coral fungus', ""jack-o'-lantern"", 'spaghetti squash']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,turnstile,"['turnstile', 'strainer', 'monitor', 'espresso maker', 'ladle']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'shoe shop', 'red-backed sandpiper', 'goldfish']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'gyromitra', 'mushroom', 'conch']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,buckle,"['buckle', 'pick', 'pop bottle', 'corkscrew', 'honeycomb']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,trifle,"['trifle', 'paper towel', 'ringlet', 'goldfish', 'puffer']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'wool', 'stole', 'komondor']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,Dutch oven,"['Dutch oven', 'broccoli', 'coral reef', 'potpie', 'pizza']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,isopod,"['isopod', 'hen-of-the-woods', 'goldfish', 'honeycomb', 'coral reef']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,squirrel monkey,"['squirrel monkey', 'howler monkey', 'proboscis monkey', 'limpkin', 'three-toed sloth']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,mask,"['mask', 'plastic bag', 'wool', 'hen-of-the-woods', 'shower curtain']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'plastic bag', 'coral reef', 'conch']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'gyromitra', 'cauliflower', 'earthstar']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'water snake', 'porcupine', 'whiptail', 'echidna']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,tile roof,"['tile roof', 'dumbbell', 'plane', 'rifle', 'cowboy hat']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,coral reef,"['coral reef', 'honeycomb', 'puffer', 'house finch', 'hen-of-the-woods']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,ibex,"['ibex', 'coho', 'bighorn', 'valley', 'beacon']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'doormat', 'grey fox', 'stone wall', 'bighorn']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,dumbbell,"['dumbbell', 'projectile', 'maze', 'shoe shop', 'monitor']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,aircraft carrier,"['aircraft carrier', 'umbrella', 'shoe shop', 'warplane', 'cowboy hat']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,wool,"['wool', 'coral reef', 'hen-of-the-woods', 'bee', 'cardoon']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,komondor,"['komondor', 'hen-of-the-woods', 'wool', 'Tibetan terrier', 'soft-coated wheaten terrier']"
