,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,stole,"['stole', 'window screen', 'loupe', 'necklace', 'swab']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,stole,"['stole', 'swab', 'screw', 'honeycomb', 'wall clock']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,screw,"['screw', 'stole', 'swab', 'necklace', 'ear']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,necklace,"['necklace', 'stole', 'window screen', 'loupe', 'jigsaw puzzle']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,bow,"['bow', 'chain', 'necklace', 'sea snake', 'water snake']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'necklace', 'stole', 'swab', 'analog clock']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,window screen,"['window screen', 'necklace', 'stole', 'swab', 'coral fungus']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,stole,"['stole', 'swab', 'necklace', 'knot', 'sleeping bag']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window screen,"['window screen', 'stole', 'honeycomb', 'necklace', 'jigsaw puzzle']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,ant,"['ant', 'stole', 'swab', 'isopod', 'honeycomb']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,stole,"['stole', 'window screen', 'necklace', 'poncho', 'doormat']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,ski,"['ski', 'aircraft carrier', 'snowmobile', 'screw', 'warplane']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,ant,"['ant', 'spider web', 'isopod', 'cockroach', 'necklace']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,ant,"['ant', 'chain saw', 'stole', 'cowboy hat', 'analog clock']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,stole,"['stole', 'window screen', 'necklace', 'jigsaw puzzle', 'coral fungus']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,ant,"['ant', 'bald eagle', 'isopod', 'chain saw', 'honeycomb']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,swab,"['swab', 'screw', 'coil', 'analog clock', 'web site']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,ant,"['ant', 'aircraft carrier', 'warplane', 'drilling platform', 'barn spider']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,isopod,"['isopod', 'screw', 'table lamp', 'necklace', 'ear']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,window screen,"['window screen', 'stole', 'jigsaw puzzle', 'wall clock', 'coral fungus']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,drilling platform,"['drilling platform', 'screw', 'aircraft carrier', 'crane', 'pole']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,snowmobile,"['snowmobile', 'stole', 'ant', 'airship', 'screw']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,stole,"['stole', 'window screen', 'jigsaw puzzle', 'necklace', 'coral fungus']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,stole,"['stole', 'jigsaw puzzle', 'window screen', 'honeycomb', 'wall clock']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,coil,"['coil', 'screw', 'stole', 'hair slide', 'web site']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,stole,"['stole', 'web site', 'jigsaw puzzle', 'ant', 'window screen']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,honeycomb,"['honeycomb', 'stole', 'window screen', 'aircraft carrier', 'coral fungus']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,screw,"['screw', 'ant', 'ski', 'aircraft carrier', 'window screen']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,stole,"['stole', 'necklace', 'ear', 'swab', 'screw']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,stole,"['stole', 'honeycomb', 'window screen', 'analog clock', 'jigsaw puzzle']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,stole,"['stole', 'window screen', 'envelope', 'jigsaw puzzle', 'strainer']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,isopod,"['isopod', 'necklace', 'hair slide', 'screw', 'strainer']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,ant,"['ant', 'maypole', 'necklace', 'analog clock', 'honeycomb']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,swab,"['swab', 'stole', 'necklace', 'jigsaw puzzle', 'screw']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,honeycomb,"['honeycomb', 'stole', 'isopod', 'swab', 'screw']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,aircraft carrier,"['aircraft carrier', 'drilling platform', 'screw', 'crane', 'pole']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,window screen,"['window screen', 'stole', 'coral fungus', 'shower curtain', 'jigsaw puzzle']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,necklace,"['necklace', 'swab', 'chain saw', 'screw', 'stole']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,swab,"['swab', 'necklace', 'stole', 'strainer', 'hair slide']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,window screen,"['window screen', 'stole', 'jigsaw puzzle', 'analog clock', 'screw']"
