,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,hair slide,"['hair slide', 'warplane', 'kite', 'American alligator', 'menu']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,sea cucumber,"['sea cucumber', 'hair slide', 'nail', 'lakeside', 'parachute']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,sea cucumber,"['sea cucumber', 'komondor', 'lakeside', 'chain mail', 'Sussex spaniel']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,nail,"['nail', 'face powder', 'sea urchin', 'buckle', 'chain mail']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'envelope', 'sea cucumber', 'parachute', 'starfish']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,parachute,"['parachute', 'warplane', 'hair slide', 'American alligator', 'umbrella']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,menu,"['menu', 'hair slide', 'warplane', 'parachute', 'lakeside']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,American alligator,"['American alligator', 'menu', 'black stork', 'kite', 'warplane']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,sea cucumber,"['sea cucumber', 'nematode', 'hook', 'sidewinder', 'maypole']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,warplane,"['warplane', 'parachute', 'hair slide', 'lumbermill', 'cleaver']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,menu,"['menu', 'warplane', 'parachute', 'lakeside', 'hair slide']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,lakeside,"['lakeside', 'American alligator', 'lumbermill', 'hair slide', 'warplane']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,mitten,"['mitten', 'parachute', 'hair slide', 'doormat', 'lumbermill']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,warplane,"['warplane', 'hair slide', 'menu', 'envelope', 'ant']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,hair slide,"['hair slide', 'sea cucumber', 'warplane', 'envelope', 'screw']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,lakeside,"['lakeside', 'black stork', 'sea cucumber', 'cheetah', 'hair slide']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'warplane', 'sea cucumber', 'screw', 'parachute']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,warplane,"['warplane', 'screw', 'kite', 'black stork', 'nail']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,warplane,"['warplane', 'American alligator', 'hair slide', 'kite', 'parachute']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,warplane,"['warplane', 'American alligator', 'ant', 'parachute', 'nail']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,warplane,"['warplane', 'American alligator', 'screw', 'kite', 'black stork']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,envelope,"['envelope', 'hair slide', 'lumbermill', 'nail', 'crossword puzzle']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,hair slide,"['hair slide', 'warplane', 'parachute', 'American alligator', 'banded gecko']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,sea cucumber,"['sea cucumber', 'flatworm', 'parachute', 'mitten', 'coil']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'sidewinder', 'horned viper', 'oboe', 'banded gecko']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,nail,"['nail', 'parachute', 'hook', 'hair slide', 'screw']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,American alligator,"['American alligator', 'warplane', 'kite', 'menu', 'envelope']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,nail,"['nail', 'hair slide', 'sidewinder', 'lumbermill', 'horned viper']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,parachute,"['parachute', 'sea cucumber', 'hair slide', 'warplane', 'balloon']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,parachute,"['parachute', 'warplane', 'space shuttle', 'lakeside', 'sea cucumber']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,nail,"['nail', 'sea urchin', 'lumbermill', 'parachute', 'chain mail']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,ant,"['ant', 'warplane', 'kite', 'menu', 'barn spider']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,warplane,"['warplane', 'cheetah', 'American alligator', 'screw', 'menu']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,nail,"['nail', 'lumbermill', 'parachute', 'sea urchin', 'cleaver']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,hair slide,"['hair slide', 'parachute', 'sea cucumber', 'nail', 'safety pin']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,nail,"['nail', 'sea urchin', 'shower cap', 'face powder', 'flatworm']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,parachute,"['parachute', 'hair slide', 'warplane', 'lakeside', 'envelope']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,nail,"['nail', 'sea cucumber', 'envelope', 'parachute', 'lumbermill']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,oboe,"['oboe', 'screw', 'warplane', 'nail', 'black stork']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,hair slide,"['hair slide', 'flatworm', 'sea cucumber', 'quill', 'warplane']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,sea cucumber,"['sea cucumber', 'parachute', 'American alligator', 'flatworm', 'quill']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,kite,"['kite', 'warplane', 'lakeside', 'black stork', 'hair slide']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,envelope,"['envelope', 'hair slide', 'warplane', 'screw', 'menu']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,lakeside,"['lakeside', 'sea cucumber', 'lumbermill', 'cleaver', 'parachute']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,hair slide,"['hair slide', 'sea cucumber', 'parachute', 'warplane', 'nail']"
