,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chiton,"['chiton', 'maze', 'brain coral', 'honeycomb', 'sea urchin']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,maze,"['maze', 'coral fungus', 'honeycomb', 'Gila monster', 'window screen']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,conch,"['conch', 'maraca', 'nematode', 'maze', 'sea cucumber']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,strainer,"['strainer', 'teapot', 'chain mail', 'cup', 'chain']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'necklace', 'chain', 'sea snake', 'corkscrew']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,knot,"['knot', 'maze', 'nematode', 'broccoli', 'coil']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,maze,"['maze', 'sea cucumber', 'chiton', 'digital clock', 'ant']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,maraca,"['maraca', 'sea cucumber', 'banded gecko', 'starfish', 'nematode']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,pot,"['pot', 'broccoli', 'window screen', 'coral fungus', 'maze']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,tripod,"['tripod', 'starfish', 'barn spider', 'knot', 'assault rifle']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,broccoli,"['broccoli', 'maze', 'hen-of-the-woods', 'coral fungus', 'window screen']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,aircraft carrier,"['aircraft carrier', 'screw', 'airship', 'warplane', 'ant']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,starfish,"['starfish', 'barn spider', 'maze', 'knot', 'necklace']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,banded gecko,"['banded gecko', 'ant', 'maze', 'starfish', 'Gila monster']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,broccoli,"['broccoli', 'pot', 'hen-of-the-woods', 'coral fungus', 'maze']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,screw,"['screw', 'starfish', 'ant', 'digital clock', 'maze']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,oboe,"['oboe', 'screw', 'nail', 'knot', 'bassoon']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,aircraft carrier,"['aircraft carrier', 'starfish', 'warplane', 'assault rifle', 'barn spider']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,table lamp,"['table lamp', 'goblet', 'starfish', 'oboe', 'fountain']"
