,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'hen-of-the-woods', 'wok']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,banded gecko,"['banded gecko', 'Granny Smith', 'cauliflower', 'tailed frog', 'chambered nautilus']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,holster,"['holster', 'bow', 'scabbard', 'hook', 'power drill']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,triceratops,"['triceratops', 'hen-of-the-woods', 'banded gecko', 'conch', 'frilled lizard']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,hog,"['hog', 'Sealyham terrier', 'clumber', 'kuvasz', 'Weimaraner']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'wing', 'projectile', 'missile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,breastplate,"['breastplate', 'cuirass', 'Italian greyhound', 'triceratops', 'shield']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,flat-coated retriever,"['flat-coated retriever', 'cocker spaniel', 'triceratops', 'standard schnauzer', 'Sussex spaniel']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'tick', 'spider web']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'American coot', 'albatross', 'goose', 'partridge']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'tray', 'candle', 'hair slide', 'trifle']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'bullfrog', 'tree frog', 'African chameleon', 'hen-of-the-woods']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'rotisserie', 'puffer', 'electric ray', 'chiton']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,sturgeon,"['sturgeon', 'projectile', 'coho', 'missile', 'gar']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,proboscis monkey,"['proboscis monkey', 'patas', 'guenon', 'wire-haired fox terrier', 'titi']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'water snake', 'night snake', 'vine snake', 'nematode']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,acoustic guitar,"['acoustic guitar', 'electric guitar', 'cello', 'banjo', 'hair slide']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'triceratops', 'hog', 'Indian elephant', 'Mexican hairless']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,racer,"['racer', 'sports car', 'car wheel', 'snowmobile', 'cab']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pick', 'violin']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'French loaf', 'honeycomb', 'stinkhorn']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,safe,"['safe', 'photocopier', 'microwave', 'printer', 'cash machine']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,sorrel,"['sorrel', 'Rhodesian ridgeback', 'redbone', 'bloodhound', 'red wolf']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,honeycomb,"['honeycomb', 'lemon', 'jigsaw puzzle', 'sea slug', 'chiton']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ruddy turnstone,"['ruddy turnstone', 'ptarmigan', 'red-backed sandpiper', 'dowitcher', 'black grouse']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,hair slide,"['hair slide', 'bow tie', 'whistle', 'Windsor tie', 'plane']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,artichoke,"['artichoke', 'jigsaw puzzle', 'hair slide', 'can opener', 'mask']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'wok', 'zucchini']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,Eskimo dog,"['Eskimo dog', 'Saint Bernard', 'Japanese spaniel', 'Siamese cat', 'Siberian husky']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'hog', 'three-toed sloth', 'warthog', 'triceratops']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,triceratops,"['triceratops', 'hen-of-the-woods', 'grey fox', 'mask', 'pot']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,crash helmet,"['crash helmet', 'soccer ball', 'mask', 'gasmask', 'knee pad']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,holster,"['holster', 'knee pad', 'scabbard', 'muzzle', 'whistle']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,grey fox,"['grey fox', 'fox squirrel', 'triceratops', 'lynx', 'Egyptian cat']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,honeycomb,"['honeycomb', 'chambered nautilus', 'brain coral', 'jellyfish', 'lemon']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,microwave,"['microwave', 'restaurant', 'desk', 'recreational vehicle', 'refrigerator']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'Windsor tie', 'electric ray', 'candle', 'sea slug']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,hog,"['hog', 'triceratops', 'mask', 'wild boar', 'Indian elephant']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,Arabian camel,"['Arabian camel', 'triceratops', 'African hunting dog', 'muzzle', 'Border terrier']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,Australian terrier,"['Australian terrier', 'Norwich terrier', 'Yorkshire terrier', 'grey fox', 'Airedale']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,chain,"['chain', 'knot', 'stone wall', 'nail', 'bow']"
41,SilTex_turtle_ILSVRC2012_val_00024666_st.jpg,terrapin,"['terrapin', 'box turtle', 'mud turtle', 'triceratops', 'loggerhead']"
42,SilTex_cabbage_ILSVRC2012_val_00007752_st.jpg,head cabbage,"['head cabbage', 'custard apple', 'ocarina', 'Granny Smith', 'cauliflower']"
43,SilTex_elephant_ILSVRC2012_val_00011247_st.jpg,triceratops,"['triceratops', 'bloodhound', 'tabby', 'platypus', 'Sussex spaniel']"
44,SilTex_rabbit_ILSVRC2012_val_00006108_st.jpg,frilled lizard,"['frilled lizard', 'table lamp', 'gyromitra', 'triceratops', 'hen-of-the-woods']"
45,SilTex_squirrel_ILSVRC2012_val_00035501_st.jpg,electric ray,"['electric ray', 'African chameleon', 'triceratops', 'stingray', 'marmoset']"
46,SilTex_shoe_ILSVRC2012_val_00020303_st.jpg,holster,"['holster', 'stretcher', 'assault rifle', 'warplane', 'bulletproof vest']"
47,SilTex_lobster_ILSVRC2012_val_00002502_st.jpg,American lobster,"['American lobster', 'spiny lobster', 'crayfish', 'centipede', 'isopod']"
48,SilTex_frog_ILSVRC2012_val_00022660_st.jpg,tree frog,"['tree frog', 'tailed frog', 'artichoke', 'hen-of-the-woods', 'African chameleon']"
49,SilTex_flower_ILSVRC2012_val_00019320_st.jpg,daisy,"['daisy', 'hair slide', 'paper towel', 'diaper', 'lab coat']"
50,SilTex_swine_ILSVRC2012_val_00016806_st.jpg,hog,"['hog', 'wild boar', 'triceratops', 'hippopotamus', 'warthog']"
51,SilTex_spider_ILSVRC2012_val_00008805_st.jpg,black and gold garden spider,"['black and gold garden spider', 'barn spider', 'garden spider', 'spider web', 'black widow']"
52,SilTex_fish_ILSVRC2012_val_00032417_st.jpg,sturgeon,"['sturgeon', 'great white shark', 'tiger shark', 'barracouta', 'hammerhead']"
53,SilTex_chair_ILSVRC2012_val_00041720_st.jpg,rocking chair,"['rocking chair', 'throne', 'barber chair', 'folding chair', 'dining table']"
54,SilTex_cabbage_ILSVRC2012_val_00005749_st.jpg,head cabbage,"['head cabbage', 'cauliflower', 'custard apple', 'broccoli', 'brain coral']"
55,SilTex_gun_ILSVRC2012_val_00012180_st.jpg,revolver,"['revolver', 'holster', 'rifle', 'assault rifle', 'bulletproof vest']"
56,SilTex_lemon_ILSVRC2012_val_00034286_st.jpg,lemon,"['lemon', 'ocarina', 'piggy bank', 'rock beauty', 'sea slug']"
57,SilTex_mug_ILSVRC2012_val_00025893_st.jpg,nipple,"['nipple', 'buckle', 'hair slide', 'jigsaw puzzle', 'water bottle']"
58,SilTex_horse_ILSVRC2012_val_00029082_st.jpg,ox,"['ox', 'triceratops', 'sorrel', 'muzzle', 'oxcart']"
59,SilTex_bellpepper_ILSVRC2012_val_00009973_st.jpg,Granny Smith,"['Granny Smith', 'bell pepper', 'custard apple', 'fig', 'head cabbage']"
60,SilTex_horse_ILSVRC2012_val_00011600_st.jpg,sorrel,"['sorrel', 'Ibizan hound', 'muzzle', 'boxer', 'Mexican hairless']"
61,SilTex_cat_ILSVRC2012_val_00000796_st.jpg,tabby,"['tabby', 'Egyptian cat', 'tiger cat', 'hen-of-the-woods', 'standard schnauzer']"
62,SilTex_gun_ILSVRC2012_val_00003457_st.jpg,revolver,"['revolver', 'rifle', 'assault rifle', 'holster', 'bow']"
63,SilTex_broccoli_ILSVRC2012_val_00019851_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'zucchini', 'hen-of-the-woods']"
64,SilTex_bear_ILSVRC2012_val_00011967_st.jpg,triceratops,"['triceratops', 'Sussex spaniel', 'hyena', 'bloodhound', 'ox']"
65,SilTex_elephant_ILSVRC2012_val_00035479_st.jpg,Indian elephant,"['Indian elephant', 'triceratops', 'African elephant', 'tusker', 'breastplate']"
66,SilTex_snail_ILSVRC2012_val_00001959_st.jpg,electric ray,"['electric ray', 'ladle', 'snail', 'bow tie', 'bow']"
67,SilTex_car_ILSVRC2012_val_00037492_st.jpg,sports car,"['sports car', 'amphibian', 'racer', 'snowmobile', 'convertible']"
68,SilTex_pineapple_ILSVRC2012_val_00012582_st.jpg,pineapple,"['pineapple', 'pot', 'vase', 'shopping basket', 'hamper']"
69,SilTex_banana_ILSVRC2012_val_00021860_st.jpg,banana,"['banana', 'spaghetti squash', 'pineapple', 'swab', 'ear']"
70,SilTex_lemon_ILSVRC2012_val_00048264_st.jpg,custard apple,"['custard apple', 'Granny Smith', 'lemon', 'pineapple', 'sea slug']"
71,SilTex_butterfly_ILSVRC2012_val_00015608_st.jpg,admiral,"['admiral', 'ringlet', 'sulphur butterfly', 'lycaenid', 'cabbage butterfly']"
72,SilTex_snake_ILSVRC2012_val_00024301_st.jpg,sea snake,"['sea snake', 'Indian cobra', 'water snake', 'night snake', 'thunder snake']"
73,SilTex_bear_ILSVRC2012_val_00041813_st.jpg,triceratops,"['triceratops', 'sloth bear', 'siamang', 'giant schnauzer', 'Newfoundland']"
74,SilTex_car_ILSVRC2012_val_00005456_st.jpg,go-kart,"['go-kart', 'comic book', 'breastplate', 'parachute', 'jigsaw puzzle']"
75,SilTex_guitar_ILSVRC2012_val_00036762_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'cello', 'violin']"
76,SilTex_hippopotamus_ILSVRC2012_val_00045847_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'triceratops', 'clumber', 'cuirass', 'Welsh springer spaniel']"
77,SilTex_hammer_ILSVRC2012_val_00032002_st.jpg,scabbard,"['scabbard', 'ski', 'bow', 'reel', 'pole']"
78,SilTex_hippopotamus_ILSVRC2012_val_00006991_st.jpg,triceratops,"['triceratops', 'conch', 'hippopotamus', 'chiton', 'sea slug']"
79,SilTex_butterfly_ILSVRC2012_val_00025307_st.jpg,lycaenid,"['lycaenid', 'ringlet', 'admiral', 'hen-of-the-woods', 'hair slide']"
80,SilTex_monkey_ILSVRC2012_val_00030191_st.jpg,Saint Bernard,"['Saint Bernard', 'borzoi', 'Blenheim spaniel', 'Brittany spaniel', 'Japanese spaniel']"
81,SilTex_helmet_ILSVRC2012_val_00047186_st.jpg,plastic bag,"['plastic bag', 'mask', 'shower cap', 'ski mask', 'paper towel']"
82,SilTex_gun_ILSVRC2012_val_00002840_st.jpg,revolver,"['revolver', 'assault rifle', 'holster', 'rifle', 'bulletproof vest']"
83,SilTex_snake_ILSVRC2012_val_00013400_st.jpg,sidewinder,"['sidewinder', 'horned viper', 'hognose snake', 'diamondback', 'night snake']"
84,SilTex_pineapple_ILSVRC2012_val_00009015_st.jpg,pineapple,"['pineapple', 'hen-of-the-woods', 'bulletproof vest', 'pot', 'cardoon']"
85,SilTex_mushroom_ILSVRC2012_val_00009394_st.jpg,agaric,"['agaric', 'mushroom', 'hen-of-the-woods', 'coral fungus', 'bolete']"
86,SilTex_mushroom_ILSVRC2012_val_00039698_st.jpg,mushroom,"['mushroom', 'hen-of-the-woods', 'earthstar', 'agaric', 'bolete']"
87,SilTex_microwave_ILSVRC2012_val_00038763_st.jpg,soap dispenser,"['soap dispenser', 'espresso maker', 'binoculars', 'loudspeaker', 'washbasin']"
88,SilTex_airplane_ILSVRC2012_val_00011168_st.jpg,warplane,"['warplane', 'missile', 'projectile', 'airship', 'airliner']"
89,SilTex_crocodilian_ILSVRC2012_val_00038287_st.jpg,parachute,"['parachute', 'banded gecko', 'ski', 'triceratops', 'bluetick']"
90,SilTex_mug_ILSVRC2012_val_00043571_st.jpg,coffee mug,"['coffee mug', 'cup', 'swimming trunks', 'mask', 'shower cap']"
91,SilTex_hammer_ILSVRC2012_val_00028069_st.jpg,hatchet,"['hatchet', 'hammer', 'flute', 'rifle', 'scabbard']"
