,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,Petri dish,"['Petri dish', 'window screen', 'chain mail', 'maze', 'spider web']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,chain mail,"['chain mail', 'window screen', 'jigsaw puzzle', 'lakeside', 'envelope']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,screw,"['screw', 'nail', 'envelope', 'spider web', 'menu']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,spider web,"['spider web', 'window screen', 'oscilloscope', 'maze', 'envelope']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,screw,"['screw', 'envelope', 'nematode', 'nail', 'safety pin']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,Petri dish,"['Petri dish', 'spider web', 'menu', 'window screen', 'oscilloscope']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,oscilloscope,"['oscilloscope', 'maze', 'Petri dish', 'menu', 'slide rule']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,oscilloscope,"['oscilloscope', 'envelope', 'Petri dish', 'maze', 'binder']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,menu,"['menu', 'prayer rug', 'binder', 'window screen', 'brass']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,spider web,"['spider web', 'lakeside', 'envelope', 'barn spider', 'seashore']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,window screen,"['window screen', 'oscilloscope', 'spider web', 'maze', 'honeycomb']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'lakeside', 'envelope', 'binder', 'isopod']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,spider web,"['spider web', 'binder', 'barn spider', 'seashore', 'screw']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,lakeside,"['lakeside', 'screw', 'seashore', 'envelope', 'web site']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'binder', 'menu', 'lakeside', 'seashore']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,lakeside,"['lakeside', 'dowitcher', 'seashore', 'menu', 'isopod']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,envelope,"['envelope', 'screw', 'oscilloscope', 'quill', 'Petri dish']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,isopod,"['isopod', 'ant', 'screw', 'kite', 'barn spider']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'envelope', 'nail', 'binder', 'web site']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,lakeside,"['lakeside', 'binder', 'seashore', 'screw', 'book jacket']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'oboe', 'drilling platform', 'binder', 'sax']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,lakeside,"['lakeside', 'screw', 'envelope', 'menu', 'web site']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,binder,"['binder', 'window screen', 'lakeside', 'menu', 'book jacket']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,envelope,"['envelope', 'seashore', 'maze', 'window screen', 'lakeside']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,envelope,"['envelope', 'lakeside', 'web site', 'jigsaw puzzle', 'seashore']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,screw,"['screw', 'binder', 'jigsaw puzzle', 'safety pin', 'menu']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,chain mail,"['chain mail', 'envelope', 'stole', 'honeycomb', 'binder']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,lakeside,"['lakeside', 'screw', 'dowitcher', 'seashore', 'nail']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,screw,"['screw', 'slide rule', 'oscilloscope', 'envelope', 'lakeside']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,envelope,"['envelope', 'menu', 'window screen', 'screw', 'binder']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,envelope,"['envelope', 'spider web', 'menu', 'handkerchief', 'window screen']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,envelope,"['envelope', 'lakeside', 'menu', 'oscilloscope', 'spider web']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,screw,"['screw', 'spider web', 'barn spider', 'oboe', 'nail']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,lakeside,"['lakeside', 'seashore', 'envelope', 'web site', 'window screen']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,envelope,"['envelope', 'spider web', 'chain mail', 'safety pin', 'handkerchief']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,screw,"['screw', 'safety pin', 'hair slide', 'oboe', 'binder']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,menu,"['menu', 'prayer rug', 'window screen', 'binder', 'honeycomb']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,screw,"['screw', 'jigsaw puzzle', 'spider web', 'envelope', 'safety pin']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,envelope,"['envelope', 'seashore', 'maze', 'window screen', 'lakeside']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,menu,"['menu', 'binder', 'book jacket', 'slide rule', 'screw']"
