,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,box turtle,"['box turtle', 'mud turtle', 'terrapin', 'Gila monster', 'loggerhead']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'American black bear', 'sloth bear', 'dingo', 'dhole']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,pineapple,"['pineapple', 'artichoke', 'cardoon', 'custard apple', 'banana']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,isopod,"['isopod', 'centipede', 'sea anemone', 'crayfish', 'tick']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,brown bear,"['brown bear', 'Sussex spaniel', 'Irish wolfhound', 'otterhound', 'three-toed sloth']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,coffee mug,"['coffee mug', 'cup', 'teapot', 'milk can', 'caldron']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,honeycomb,"['honeycomb', 'apiary', 'isopod', 'bee', 'hen-of-the-woods']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Arabian camel,"['Arabian camel', 'lion', 'cougar', 'ibex', 'hyena']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'school bus', 'sulphur butterfly', 'pineapple', 'daisy']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,hippopotamus,"['hippopotamus', 'Weimaraner', 'hog', 'Mexican hairless', 'vizsla']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,hog,"['hog', 'ox', 'warthog', 'hippopotamus', 'Arabian camel']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'lycaenid', 'ringlet', 'monarch', 'king snake']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,wood rabbit,"['wood rabbit', 'hare', 'grey fox', 'fox squirrel', 'kit fox']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,doormat,"['doormat', 'manhole cover', 'running shoe', 'shield', 'brass']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'bell pepper', 'cucumber', 'tick', 'ant']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,aircraft carrier,"['aircraft carrier', 'hammerhead', 'warplane', 'projectile', 'missile']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,broccoli,"['broccoli', 'cauliflower', 'cardoon', 'head cabbage', 'artichoke']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,reflex camera,"['reflex camera', 'gasmask', 'knee pad', 'binoculars', 'spotlight']"
18,Fil_clock_ILSVRC2012_val_00041461_f.jpg,odometer,"['odometer', 'analog clock', 'stopwatch', 'digital watch', 'magnetic compass']"
19,Fil_rabbit_ILSVRC2012_val_00013125_f.jpg,wallaby,"['wallaby', 'coyote', 'wood rabbit', 'hare', 'red wolf']"
20,Fil_mushroom_ILSVRC2012_val_00038421_f.jpg,mushroom,"['mushroom', 'hen-of-the-woods', 'four-poster', 'agaric', 'quilt']"
21,Fil_elephant_ILSVRC2012_val_00035479_f.jpg,Indian elephant,"['Indian elephant', 'tusker', 'African elephant', 'Arabian camel', 'Weimaraner']"
22,Fil_swine_ILSVRC2012_val_00007278_f.jpg,hog,"['hog', 'wild boar', 'Mexican hairless', 'wombat', 'kelpie']"
23,Fil_dog_ILSVRC2012_val_00030058_f.jpg,kuvasz,"['kuvasz', 'Samoyed', 'Great Pyrenees', 'golden retriever', 'Eskimo dog']"
24,Fil_bear_ILSVRC2012_val_00031906_f.jpg,brown bear,"['brown bear', 'ice bear', 'Arabian camel', 'ibex', 'Leonberg']"
25,Fil_camel_ILSVRC2012_val_00015872_f.jpg,Arabian camel,"['Arabian camel', 'bighorn', 'cougar', 'lion', 'ram']"
26,Fil_crocodilian_ILSVRC2012_val_00010826_f.jpg,African crocodile,"['African crocodile', 'American alligator', 'knot', 'coil', 'rock python']"
27,Fil_apple_ILSVRC2012_val_00012232_f.jpg,Granny Smith,"['Granny Smith', 'fig', 'acorn', 'bell pepper', 'cucumber']"
28,Fil_dog_ILSVRC2012_val_00012566_f.jpg,Labrador retriever,"['Labrador retriever', 'golden retriever', 'Chesapeake Bay retriever', 'Great Pyrenees', 'Saint Bernard']"
29,Fil_spider_ILSVRC2012_val_00008805_f.jpg,black and gold garden spider,"['black and gold garden spider', 'king snake', 'garden spider', 'honeycomb', 'barn spider']"
30,Fil_corn_ILSVRC2012_val_00010495_f.jpg,ear,"['ear', 'corn', 'honeycomb', 'jackfruit', 'African chameleon']"
31,Fil_lobster_ILSVRC2012_val_00002502_f.jpg,pineapple,"['pineapple', 'robin', 'hen-of-the-woods', 'stinkhorn', 'crayfish']"
32,Fil_shoe_ILSVRC2012_val_00033141_f.jpg,coffee mug,"['coffee mug', 'milk can', 'saltshaker', 'totem pole', 'thimble']"
33,Fil_helmet_ILSVRC2012_val_00032342_f.jpg,football helmet,"['football helmet', 'crash helmet', 'bucket', 'airship', 'toilet seat']"
34,Fil_frog_ILSVRC2012_val_00022660_f.jpg,tree frog,"['tree frog', 'tailed frog', 'bullfrog', 'grasshopper', 'cricket']"
35,Fil_car_ILSVRC2012_val_00005456_f.jpg,motor scooter,"['motor scooter', 'moped', 'sports car', 'convertible', 'pickup']"
36,Fil_squirrel_ILSVRC2012_val_00024584_f.jpg,fox squirrel,"['fox squirrel', 'titi', 'squirrel monkey', 'grey fox', 'marmoset']"
37,Fil_gun_ILSVRC2012_val_00012180_f.jpg,assault rifle,"['assault rifle', 'rifle', 'revolver', 'holster', 'bulletproof vest']"
38,Fil_horse_ILSVRC2012_val_00011600_f.jpg,English foxhound,"['English foxhound', 'oxcart', 'ox', 'bighorn', 'whippet']"
39,Fil_chair_ILSVRC2012_val_00004120_f.jpg,bulletproof vest,"['bulletproof vest', 'brassiere', 'soccer ball', 'electric fan', 'wallet']"
40,Fil_helmet_ILSVRC2012_val_00047186_f.jpg,bobsled,"['bobsled', 'crash helmet', 'knee pad', 'racer', 'oil filter']"
41,Fil_clock_ILSVRC2012_val_00035392_f.jpg,analog clock,"['analog clock', 'wall clock', 'stopwatch', 'barometer', 'digital watch']"
42,Fil_airplane_ILSVRC2012_val_00049097_f.jpg,cassette,"['cassette', 'bookshop', 'bookcase', 'comic book', 'file']"
43,Fil_bee_ILSVRC2012_val_00042015_f.jpg,fly,"['fly', 'bee', 'honeycomb', 'stinkhorn', 'ruddy turnstone']"
44,Fil_car_ILSVRC2012_val_00037128_f.jpg,tank,"['tank', 'half track', 'jeep', 'amphibian', 'bulletproof vest']"
