,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Angora', 'coral fungus', 'honeycomb', 'Maltese dog']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'packet', 'honeycomb', 'tray']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,doormat,"['doormat', 'poncho', 'sunglass', 'velvet', 'wool']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,doormat,"['doormat', 'jigsaw puzzle', 'honeycomb', 'shower curtain', 'dishrag']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,Windsor tie,"['Windsor tie', 'stole', 'honeycomb', 'velvet', 'electric guitar']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,Windsor tie,"['Windsor tie', 'honeycomb', 'stole', 'doormat', 'prayer rug']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'jigsaw puzzle', 'sandal', 'Windsor tie', 'honeycomb']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'grocery store', 'cucumber', 'candle', 'honeycomb']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,shower curtain,"['shower curtain', 'hair slide', 'perfume', 'chime', 'maze']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'Windsor tie', 'jigsaw puzzle', 'doormat']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jackfruit', 'honeycomb', 'pineapple', 'wool']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'shield', 'chain mail', 'cuirass']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'trifle', 'bee', 'confectionery', 'bakery']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral fungus', 'king crab', 'conch']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'head cabbage', 'plate', 'cauliflower', 'carbonara']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'breastplate', 'chain mail', 'mask', 'brassiere']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'jigsaw puzzle', 'coral reef', 'coral fungus']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,partridge,"['partridge', 'hen-of-the-woods', 'wool', 'ptarmigan', 'hen']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'brain coral', 'hen-of-the-woods', 'coral reef']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,pineapple,"['pineapple', 'cauliflower', 'custard apple', 'jackfruit', 'hen-of-the-woods']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,pineapple,"['pineapple', 'conch', 'king crab', 'Dungeness crab', 'hen-of-the-woods']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,revolver,"['revolver', 'jigsaw puzzle', 'honeycomb', 'whistle', 'chain']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,honeycomb,"['honeycomb', 'candle', 'confectionery', 'velvet', 'shower cap']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'American alligator', 'stole', 'African crocodile']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral fungus', 'earthstar', 'coral reef']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,aircraft carrier,"['aircraft carrier', 'tank', 'half track', 'jigsaw puzzle', 'photocopier']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,warplane,"['warplane', 'airliner', 'Windsor tie', 'doormat', 'carton']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'gyromitra', 'proboscis monkey', 'wire-haired fox terrier']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,wool,"['wool', 'komondor', 'stole', 'Sussex spaniel', 'doormat']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'ear', 'brain coral', 'jackfruit']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'shower curtain', 'sewing machine', 'maze', 'refrigerator']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'honeycomb', 'coral reef', 'wool']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'shower curtain', 'fur coat', 'sarong']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,shower curtain,"['shower curtain', 'velvet', 'swimming trunks', 'sarong', 'Windsor tie']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,doormat,"['doormat', 'hamper', 'thatch', 'honeycomb', 'stole']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'bee', 'cardoon', 'pineapple']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'coral fungus', 'pretzel', 'wool']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'honeycomb', 'tray', 'earthstar']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,bell pepper,"['bell pepper', 'Granny Smith', 'hen-of-the-woods', 'acorn', 'tree frog']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,velvet,"['velvet', 'hen-of-the-woods', 'honeycomb', 'tiger', 'wool']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,throne,"['throne', 'restaurant', 'jigsaw puzzle', 'hamper', 'cinema']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,honeycomb,"['honeycomb', 'carton', 'tray', 'shower curtain', 'maze']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'honeycomb', 'cauliflower', 'plastic bag', 'hen-of-the-woods']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,monitor,"['monitor', 'screen', 'safe', 'sewing machine', 'cash machine']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'nail', 'chain mail', 'doormat']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'shower curtain', 'bulletproof vest', 'honeycomb', 'prayer rug']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'bee', 'apiary', 'chain mail']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,sea slug,"['sea slug', 'custard apple', 'puffer', 'Granny Smith', 'coral reef']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,custard apple,"['custard apple', 'pajama', 'Granny Smith', 'honeycomb', 'head cabbage']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'wool', 'bee', 'plastic bag']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'feather boa', 'honeycomb', 'gyromitra']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'wool', 'doormat', 'tray']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'hook', 'wall clock', 'abacus']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,shower curtain,"['shower curtain', 'bulletproof vest', 'honeycomb', 'jigsaw puzzle', 'barracouta']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,partridge,"['partridge', 'hen', 'hen-of-the-woods', 'ruffed grouse', 'goose']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'honeycomb', 'gyromitra', 'coral reef']"
56,Tex_shoe_ILSVRC2012_val_00019717_t.jpg,doormat,"['doormat', 'holster', 'chain mail', 'honeycomb', 'chain']"
57,Tex_camel_ILSVRC2012_val_00003409_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'gyromitra', 'brain coral', 'coral fungus']"
58,Tex_apple_ILSVRC2012_val_00012232_t.jpg,coral reef,"['coral reef', 'hen-of-the-woods', 'brain coral', 'coral fungus', 'custard apple']"
59,Tex_car_ILSVRC2012_val_00010455_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crash helmet', 'grille', 'chain', 'packet']"
60,Tex_snail_ILSVRC2012_val_00018951_t.jpg,chain mail,"['chain mail', 'sea anemone', 'puffer', 'chiton', 'hen-of-the-woods']"
61,Tex_hammer_ILSVRC2012_val_00015583_t.jpg,Windsor tie,"['Windsor tie', 'honeycomb', 'prayer rug', 'velvet', 'stole']"
62,Tex_crocodilian_ILSVRC2012_val_00018666_t.jpg,partridge,"['partridge', 'ptarmigan', 'redshank', 'coyote', 'Arctic fox']"
63,Tex_turtle_ILSVRC2012_val_00047941_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'wool', 'conch', 'handkerchief']"
64,Tex_mushroom_ILSVRC2012_val_00038421_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'earthstar', 'mushroom', 'honeycomb']"
65,Tex_elephant_ILSVRC2012_val_00040375_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'wool', 'partridge', 'ear']"
66,Tex_banana_ILSVRC2012_val_00003412_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'coral reef', 'conch', 'brain coral']"
67,Tex_spider_ILSVRC2012_val_00029156_t.jpg,doormat,"['doormat', 'honeycomb', 'hen-of-the-woods', 'wool', 'thatch']"
68,Tex_banana_ILSVRC2012_val_00046575_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'honeycomb', 'carton', 'velvet']"
69,Tex_frog_ILSVRC2012_val_00033769_t.jpg,coral reef,"['coral reef', 'wool', 'hen-of-the-woods', 'stole', 'honeycomb']"
70,Tex_cabbage_ILSVRC2012_val_00007752_t.jpg,head cabbage,"['head cabbage', 'hen-of-the-woods', 'broccoli', 'cauliflower', 'ear']"
71,Tex_airplane_ILSVRC2012_val_00030531_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'warplane', 'carton', 'doormat', 'quilt']"
72,Tex_rabbit_ILSVRC2012_val_00021667_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'wool', 'doormat', 'stole']"
73,Tex_microwave_ILSVRC2012_val_00027917_t.jpg,honeycomb,"['honeycomb', 'chain', 'waffle iron', 'jigsaw puzzle', 'plate rack']"
74,Tex_car_ILSVRC2012_val_00034824_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'sports car', 'honeycomb', 'racer', 'crash helmet']"
75,Tex_pineapple_ILSVRC2012_val_00029522_t.jpg,doormat,"['doormat', 'honeycomb', 'bee', 'wool', 'poncho']"
76,Tex_camel_ILSVRC2012_val_00013553_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'coral reef', 'honeycomb', 'gyromitra']"
77,Tex_snake_ILSVRC2012_val_00027631_t.jpg,velvet,"['velvet', 'doormat', 'Windsor tie', 'wool', 'hen-of-the-woods']"
78,Tex_dryer_ILSVRC2012_val_00027635_t.jpg,grille,"['grille', 'tray', 'hair slide', 'screw', 'hen-of-the-woods']"
79,Tex_squirrel_ILSVRC2012_val_00035501_t.jpg,coral reef,"['coral reef', 'stole', 'wool', 'coral fungus', 'honeycomb']"
80,Tex_elephant_ILSVRC2012_val_00011247_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'honeycomb', 'coral fungus', 'plastic bag']"
81,Tex_mushroom_ILSVRC2012_val_00009394_t.jpg,agaric,"['agaric', 'mushroom', 'hen-of-the-woods', 'coral fungus', 'stinkhorn']"
82,Tex_butterfly_ILSVRC2012_val_00013795_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'shower cap', 'hen-of-the-woods', 'plastic bag']"
