,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'artichoke', 'coral reef']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,tailed frog,"['tailed frog', 'common newt', 'Granny Smith', 'weevil', 'bullfrog']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'holster', 'hand blower', 'neck brace', 'knee pad']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'isopod', 'fiddler crab', 'cuirass', 'triceratops']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,Siamese cat,"['Siamese cat', 'Boston bull', 'Cardigan', 'hog', 'English foxhound']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'wing', 'projectile', 'parachute']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Chihuahua,"['Chihuahua', 'triceratops', 'Boston bull', 'boxer', 'Italian greyhound']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,Kerry blue terrier,"['Kerry blue terrier', 'giant schnauzer', 'affenpinscher', 'Sealyham terrier', 'Bouvier des Flandres']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'spider web', 'harvestman']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,American coot,"['American coot', 'goose', 'albatross', 'black swan', 'black grouse']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'candle', 'Band Aid', 'velvet', 'trifle']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tailed frog', 'bullfrog', 'tree frog', 'gyromitra']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'chiton', 'hen-of-the-woods', 'snail', 'ear']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,barracouta,"['barracouta', 'coho', 'sturgeon', 'gar', 'electric ray']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Saint Bernard,"['Saint Bernard', 'English foxhound', 'Cardigan', 'bloodhound', 'golden retriever']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'vine snake', 'sidewinder', 'night snake', 'nematode']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,acoustic guitar,"['acoustic guitar', 'electric guitar', 'hair slide', 'maraca', 'pick']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'hippopotamus', 'hog', 'hen-of-the-woods', 'mask']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,stretcher,"['stretcher', 'whistle', 'sports car', 'sleeping bag', 'tow truck']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pick', 'violin']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'honeycomb', 'stinkhorn', 'nematode']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'medicine chest', 'cash machine', 'printer', 'Band Aid']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,hartebeest,"['hartebeest', 'hen-of-the-woods', 'sorrel', 'impala', 'Rhodesian ridgeback']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,jackfruit,"['jackfruit', 'honeycomb', 'lemon', 'sea slug', 'hen-of-the-woods']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,platypus,"['platypus', 'ptarmigan', 'black grouse', 'brambling', 'ruffed grouse']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,Windsor tie,"['Windsor tie', 'hair slide', 'bow tie', 'velvet', 'swab']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,knot,"['knot', 'sleeping bag', 'green mamba', 'hair slide', 'studio couch']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'zucchini', 'coral reef']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,triceratops,"['triceratops', 'Eskimo dog', 'Egyptian cat', 'hen-of-the-woods', 'golden retriever']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'earthstar', 'triceratops', 'hog', 'bloodhound']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'hare', 'wood rabbit', 'honeycomb', 'gyromitra']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,crash helmet,"['crash helmet', 'neck brace', 'bathing cap', 'ski mask', 'football helmet']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,muzzle,"['muzzle', 'scabbard', 'knee pad', 'holster', 'whistle']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,Scotch terrier,"['Scotch terrier', 'triceratops', 'grey fox', 'coyote', 'dingo']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,head cabbage,"['head cabbage', 'velvet', 'honeycomb', 'pick', 'shower cap']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,microwave,"['microwave', 'restaurant', 'desk', 'stove', 'refrigerator']"
