,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,tiger,"['tiger', 'hen-of-the-woods', 'sea anemone', 'coral fungus', 'coral reef']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,knot,"['knot', 'wool', 'chain mail', 'dishrag', 'stole']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,kuvasz,"['kuvasz', 'Great Pyrenees', 'komondor', 'Labrador retriever', 'golden retriever']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,honeycomb,"['honeycomb', 'horned viper', 'sidewinder', 'dowitcher', 'brain coral']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,wood rabbit,"['wood rabbit', 'hare', 'Angora', 'comic book', 'hen-of-the-woods']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,king snake,"['king snake', 'hognose snake', 'night snake', 'diamondback', 'chain mail']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,cliff,"['cliff', 'comic book', 'megalith', 'cliff dwelling', 'hen-of-the-woods']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,Granny Smith,"['Granny Smith', 'rubber eraser', 'comic book', 'grocery store', 'orange']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,Persian cat,"['Persian cat', 'Angora', 'Pekinese', 'Shih-Tzu', 'Maltese dog']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,comic book,"['comic book', 'maze', 'chain mail', 'cloak', 'jellyfish']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,eel,"['eel', 'electric ray', 'puffer', 'brain coral', 'chambered nautilus']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,corn,"['corn', 'ear', 'honeycomb', 'maze', 'stone wall']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,head cabbage,"['head cabbage', 'earthstar', 'cauliflower', 'artichoke', 'hen-of-the-woods']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,knot,"['knot', 'coil', 'wool', 'maze', 'doormat']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,tiger,"['tiger', 'comic book', 'tiger cat', 'maze', 'lion']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,tile roof,"['tile roof', 'hammer', 'hatchet', 'nail', 'thatch']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,Sussex spaniel,"['Sussex spaniel', 'clumber', 'Newfoundland', 'orangutan', 'hog']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,stopwatch,"['stopwatch', 'analog clock', 'digital watch', 'wall clock', 'magnetic compass']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,acoustic guitar,"['acoustic guitar', 'electric guitar', 'cello', 'banjo', 'pick']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,pineapple,"['pineapple', 'artichoke', 'cardoon', 'banana', 'velvet']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,honeycomb,"['honeycomb', 'admiral', 'hen-of-the-woods', 'ringlet', 'coral fungus']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,cabbage butterfly,"['cabbage butterfly', 'sulphur butterfly', 'electric ray', 'stingray', 'hamster']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,pretzel,"['pretzel', 'banana', 'sea cucumber', 'nematode', 'bagel']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,broccoli,"['broccoli', 'hen-of-the-woods', 'coral fungus', 'cauliflower', 'honeycomb']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,hammer,"['hammer', 'nail', ""carpenter's kit"", 'screwdriver', 'corkscrew']"
25,LinFil_snail_ILSVRC2012_val_00023958_lf.jpg,chain mail,"['chain mail', 'honeycomb', 'cuirass', 'tile roof', 'shield']"
26,LinFil_chair_ILSVRC2012_val_00041720_lf.jpg,typewriter keyboard,"['typewriter keyboard', 'space bar', 'barber chair', 'folding chair', 'rocking chair']"
27,LinFil_corn_ILSVRC2012_val_00030375_lf.jpg,corn,"['corn', 'ear', 'maze', 'doormat', 'hay']"
28,LinFil_fish_ILSVRC2012_val_00021994_lf.jpg,anemone fish,"['anemone fish', 'rock beauty', 'honeycomb', 'coral reef', 'sea slug']"
29,LinFil_spider_ILSVRC2012_val_00039661_lf.jpg,ant,"['ant', 'isopod', 'honeycomb', 'chain mail', 'harvestman']"
30,LinFil_squirrel_ILSVRC2012_val_00048792_lf.jpg,fox squirrel,"['fox squirrel', 'mink', 'weasel', 'mongoose', 'wood rabbit']"
31,LinFil_strawberry_ILSVRC2012_val_00035170_lf.jpg,gong,"['gong', 'tick', 'shield', 'nematode', 'knot']"
32,LinFil_swine_ILSVRC2012_val_00031491_lf.jpg,honeycomb,"['honeycomb', 'knot', 'cliff', 'conch', 'maze']"
33,LinFil_lemon_ILSVRC2012_val_00038325_lf.jpg,hen-of-the-woods,"['hen-of-the-woods', 'cauliflower', 'head cabbage', 'hog', 'nematode']"
34,LinFil_swine_ILSVRC2012_val_00016806_lf.jpg,hog,"['hog', 'wild boar', 'warthog', 'hen', 'butcher shop']"
35,LinFil_crocodilian_ILSVRC2012_val_00010826_lf.jpg,doormat,"['doormat', 'thatch', 'sidewinder', 'horned viper', 'tile roof']"
36,LinFil_bird_ILSVRC2012_val_00007153_lf.jpg,red-backed sandpiper,"['red-backed sandpiper', 'dowitcher', 'ruddy turnstone', 'water ouzel', 'partridge']"
37,LinFil_swine_ILSVRC2012_val_00014171_lf.jpg,hog,"['hog', 'wild boar', 'ram', 'butcher shop', 'maze']"
38,LinFil_fish_ILSVRC2012_val_00021343_lf.jpg,barracouta,"['barracouta', 'gar', 'honeycomb', 'coho', 'chain mail']"
39,LinFil_monkey_ILSVRC2012_val_00025615_lf.jpg,knot,"['knot', 'coil', 'chain', 'chain mail', 'ant']"
