,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'grey fox', 'meat loaf']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,coral reef,"['coral reef', 'brain coral', 'sea slug', 'sea anemone', 'coral fungus']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,hand blower,"['hand blower', 'power drill', 'holster', 'assault rifle', 'revolver']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,tailed frog,"['tailed frog', 'banded gecko', 'African chameleon', 'triceratops', 'electric ray']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,hog,"['hog', 'wild boar', 'Siamese cat', 'Cardigan', 'Saint Bernard']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,airliner,"['airliner', 'warplane', 'wing', 'projectile', 'space shuttle']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,dalmatian,"['dalmatian', 'whippet', 'Italian greyhound', 'Great Dane', 'Mexican hairless']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,Scottish deerhound,"['Scottish deerhound', 'Dandie Dinmont', 'Sealyham terrier', 'Bedlington terrier', 'Bouvier des Flandres']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'wolf spider', 'black and gold garden spider']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,albatross,"['albatross', 'black grouse', 'oystercatcher', 'ptarmigan', 'American coot']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'pick', 'candle', 'tray', 'ice cream']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'tree frog', 'bullfrog', 'common newt', 'African chameleon']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'gyromitra', 'earthstar', 'chiton']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,electric ray,"['electric ray', 'sturgeon', 'bow', 'hair slide', 'barracouta']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,patas,"['patas', 'proboscis monkey', 'titi', 'guenon', 'langur']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'water snake', 'vine snake', 'night snake', 'nematode']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'cello', 'banjo', 'pick']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'hippopotamus', 'hog', 'wild boar', 'warthog']"
