,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,mud turtle,"['mud turtle', 'terrapin', 'airship', 'platypus', 'chiton']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,nematode,"['nematode', 'mouse', 'loupe', 'cleaver', 'joystick']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'breastplate', 'pick', 'bell pepper', 'bulletproof vest']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,partridge,"['partridge', 'black grouse', 'ruffed grouse', 'prairie chicken', 'American coot']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,quill,"['quill', 'nematode', 'groenendael', 'curly-coated retriever', 'cloak']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,affenpinscher,"['affenpinscher', 'curly-coated retriever', 'Brabancon griffon', 'American black bear', 'sloth bear']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,Scotch terrier,"['Scotch terrier', 'curly-coated retriever', 'Mexican hairless', 'hog', 'Sussex spaniel']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,coffee mug,"['coffee mug', 'cup', 'measuring cup', 'water jug', 'pitcher']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,sorrel,"['sorrel', 'muzzle', 'groenendael', 'horse cart', 'curly-coated retriever']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,muzzle,"['muzzle', 'platypus', 'weasel', 'mousetrap', 'nematode']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'black widow', 'black and gold garden spider', 'tick', 'garden spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,gong,"['gong', 'loupe', 'puck', 'spotlight', 'pick']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,snail,"['snail', 'slug', 'electric ray', 'buckeye', 'acorn']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,tailed frog,"['tailed frog', 'bullfrog', 'tree frog', 'common newt', 'banded gecko']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,indri,"['indri', 'mink', 'titi', 'beaver', 'weasel']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,black grouse,"['black grouse', 'tailed frog', 'kite', 'bullfrog', 'quill']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,fig,"['fig', 'electric ray', 'buckeye', 'lemon', 'custard apple']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,assault rifle,"['assault rifle', 'rifle', 'cleaver', 'spatula', 'hatchet']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,platypus,"['platypus', 'eel', 'dugong', 'electric ray', 'sturgeon']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'black and gold garden spider', 'black widow']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,hippopotamus,"['hippopotamus', 'platypus', 'wombat', 'dugong', 'sloth bear']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,daisy,"['daisy', 'hen-of-the-woods', 'pot', 'earthstar', 'vase']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,quill,"['quill', 'skunk', 'black grouse', 'affenpinscher', 'cock']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hammer,"['hammer', 'nail', 'hatchet', ""carpenter's kit"", 'shovel']"
