,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'matchstick', 'digital clock', 'analog clock']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hammer,"['hammer', 'whistle', 'strainer', 'nail', 'window screen']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,Irish water spaniel,"['Irish water spaniel', 'Kerry blue terrier', 'chain mail', 'knot', 'window screen']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,nail,"['nail', 'strainer', 'window screen', 'matchstick', 'honeycomb']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,nail,"['nail', 'matchstick', 'hammer', 'strainer', 'screw']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,nail,"['nail', 'hook', 'safety pin', 'matchstick', 'analog clock']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'honeycomb', 'analog clock', 'window screen']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,hook,"['hook', 'knot', 'oboe', 'microphone', 'sax']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,hook,"['hook', 'nematode', 'necklace', 'chain', 'nail']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'honeycomb', 'analog clock', 'rule']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,analog clock,"['analog clock', 'jigsaw puzzle', 'crossword puzzle', 'nail', 'maze']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,Kerry blue terrier,"['Kerry blue terrier', 'curly-coated retriever', 'Irish water spaniel', 'analog clock', 'Indian elephant']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,honeycomb,"['honeycomb', 'cup', 'window screen', 'strainer', 'chain mail']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,cheetah,"['cheetah', 'Kerry blue terrier', 'Irish water spaniel', 'snow leopard', 'curly-coated retriever']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,strainer,"['strainer', 'window screen', 'fire screen', 'cleaver', 'nail']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Arabian camel,"['Arabian camel', 'llama', 'muzzle', 'abaya', 'window screen']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nematode,"['nematode', 'hammer', 'matchstick', 'strainer', 'rule']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,hook,"['hook', 'analog clock', 'sunglass', 'nematode', 'loupe']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bedlington terrier', 'standard poodle', 'giant schnauzer', 'curly-coated retriever']"
