,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'honeycomb', 'Maltese dog', 'sulphur-crested cockatoo']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'crossword puzzle', 'hen-of-the-woods', 'can opener']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,chain mail,"['chain mail', 'bulletproof vest', 'poncho', 'honeycomb', 'doormat']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'brambling', 'hen-of-the-woods', 'ruddy turnstone', 'honeycomb']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'stage', 'pick', 'stole']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'honeycomb', 'hen-of-the-woods', 'coral fungus']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,honeycomb,"['honeycomb', 'tile roof', 'lumbermill', 'hen-of-the-woods', 'chain']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'jigsaw puzzle', 'hen-of-the-woods', 'honeycomb', 'cucumber']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,chain,"['chain', 'honeycomb', 'chime', 'lampshade', 'buckle']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,chain mail,"['chain mail', 'honeycomb', 'poncho', 'hen-of-the-woods', 'rock beauty']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'coral fungus', 'honeycomb', 'brain coral']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'apiary', 'maze', 'hen-of-the-woods']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'vase', 'hen-of-the-woods', 'pot', 'coral fungus']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'honeycomb', 'stinkhorn', 'gyromitra']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'head cabbage', 'cauliflower', 'meat loaf', 'zucchini']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'cuirass', 'breastplate', 'jigsaw puzzle']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'indri', 'titi', 'howler monkey', 'proboscis monkey']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'water ouzel', 'African grey', 'partridge', 'hen-of-the-woods']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'hen-of-the-woods', 'broccoli', 'coral fungus']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,coral fungus,"['coral fungus', 'hen-of-the-woods', 'honeycomb', 'jackfruit', 'head cabbage']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'coral fungus', 'barracouta', 'honeycomb']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,revolver,"['revolver', 'chime', 'organ', 'plane', 'screwdriver']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'brain coral', 'velvet', 'honeycomb']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coil', 'honeycomb', 'brain coral', 'maze']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'brain coral', 'stone wall', 'coral reef']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'aircraft carrier', 'tank', 'assault rifle']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,airliner,"['airliner', 'warplane', 'aircraft carrier', 'wing', 'shoe shop']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,proboscis monkey,"['proboscis monkey', 'langur', 'gibbon', 'titi', 'patas']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,Afghan hound,"['Afghan hound', 'komondor', 'otterhound', 'cocker spaniel', 'Tibetan terrier']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'pineapple', 'jackfruit', 'brain coral']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,maze,"['maze', 'pill bottle', 'Band Aid', 'jigsaw puzzle', 'switch']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'Labrador retriever', 'Great Pyrenees', 'kuvasz']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'honeycomb', 'doormat', 'stole']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'tiger cat', 'shower curtain', 'velvet', 'jaguar']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,matchstick,"['matchstick', 'maze', 'doormat', 'thatch', 'panpipe']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,earthstar,"['earthstar', 'hen-of-the-woods', 'barracouta', 'head cabbage', 'limpkin']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,fur coat,"['fur coat', 'hen-of-the-woods', 'coral fungus', 'Old English sheepdog', 'keeshond']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'honeycomb', 'coral fungus', 'gyromitra']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,bell pepper,"['bell pepper', 'hen-of-the-woods', 'artichoke', 'broccoli', 'pretzel']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'doormat', 'stole', 'gyromitra']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'rocking chair', 'folding chair', 'hamper']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,photocopier,"['photocopier', 'carton', 'switch', 'printer', 'shower curtain']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'hen-of-the-woods', 'coral reef', 'plate']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,photocopier,"['photocopier', 'carton', 'syringe', 'packet', 'medicine chest']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,maze,"['maze', 'jigsaw puzzle', 'prayer rug', 'cliff dwelling', 'Arabian camel']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'mushroom', 'cliff', 'coral fungus']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'stinkhorn', 'apiary', 'coral fungus']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,custard apple,"['custard apple', 'Granny Smith', 'honeycomb', 'buckeye', 'fig']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,custard apple,"['custard apple', 'Granny Smith', 'honeycomb', 'head cabbage', 'artichoke']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'earthstar', 'coral fungus', 'rapeseed']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tabby', 'honeycomb', 'wool', 'Egyptian cat']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'apiary', 'gyromitra', 'jigsaw puzzle']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,maze,"['maze', 'jigsaw puzzle', ""carpenter's kit"", 'buckle', 'can opener']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'window screen', 'hammerhead', 'honeycomb', 'coho']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,partridge,"['partridge', 'ruffed grouse', 'European gallinule', 'quail', 'hen-of-the-woods']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,gyromitra,"['gyromitra', 'hen-of-the-woods', 'coral fungus', 'redbone', 'ox']"
56,Tex_shoe_ILSVRC2012_val_00019717_t.jpg,wallet,"['wallet', 'tile roof', 'doormat', 'window screen', 'velvet']"
57,Tex_camel_ILSVRC2012_val_00003409_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'gyromitra', 'honeycomb', 'brain coral']"
58,Tex_apple_ILSVRC2012_val_00012232_t.jpg,custard apple,"['custard apple', 'buckeye', 'acorn', 'jackfruit', 'honeycomb']"
59,Tex_car_ILSVRC2012_val_00010455_t.jpg,grille,"['grille', 'sports car', 'honeycomb', 'chain mail', 'motor scooter']"
60,Tex_snail_ILSVRC2012_val_00018951_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'brain coral', 'flatworm', 'puffer', 'coral reef']"
61,Tex_hammer_ILSVRC2012_val_00015583_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'assault rifle', 'revolver', 'maze', 'rifle']"
62,Tex_crocodilian_ILSVRC2012_val_00018666_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'brain coral', 'coral reef', 'African crocodile']"
63,Tex_turtle_ILSVRC2012_val_00047941_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'honeycomb', 'Pembroke', 'poncho']"
64,Tex_mushroom_ILSVRC2012_val_00038421_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'mushroom', 'earthstar', 'gyromitra']"
65,Tex_elephant_ILSVRC2012_val_00040375_t.jpg,Indian elephant,"['Indian elephant', 'hen-of-the-woods', 'honeycomb', 'tusker', 'goose']"
