,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,nematode,"['nematode', 'clumber', 'English springer', 'window screen', 'tray']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,window screen,"['window screen', 'English springer', 'nematode', 'clumber', 'Christmas stocking']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,stole,"['stole', 'window screen', 'chain mail', 'English springer', 'wool']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,window screen,"['window screen', 'chain mail', 'stole', 'wool', 'English springer']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,window screen,"['window screen', 'English springer', 'pillow', 'chain mail', 'Sealyham terrier']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,window screen,"['window screen', 'English springer', 'clumber', 'nematode', 'pillow']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,window screen,"['window screen', 'chain mail', 'English springer', 'pillow', 'stole']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,window screen,"['window screen', 'Christmas stocking', 'stole', 'English springer', 'chain mail']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,window screen,"['window screen', 'nematode', 'puck', 'megalith', 'Christmas stocking']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,window screen,"['window screen', 'stole', 'chain mail', 'wool', 'prayer rug']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,English springer,"['English springer', 'clumber', 'Irish water spaniel', 'flat-coated retriever', 'Sussex spaniel']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,chain mail,"['chain mail', 'Irish water spaniel', 'English springer', 'window screen', 'pillow']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,stole,"['stole', 'window screen', 'chain mail', 'wool', 'prayer rug']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,English springer,"['English springer', 'Irish water spaniel', 'clumber', 'nematode', 'Sussex spaniel']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,window screen,"['window screen', 'nematode', 'puck', 'stole', 'megalith']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,window screen,"['window screen', 'chain mail', 'English springer', 'pillow', 'wool']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nematode,"['nematode', 'window screen', 'hair slide', 'bikini', 'puck']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,nematode,"['nematode', 'envelope', 'chain mail', 'window screen', 'Irish water spaniel']"
