,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'sea anemone', 'coral fungus', 'Angora', 'coral reef']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'brain coral', 'chain', 'lotion']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,shower cap,"['shower cap', 'overskirt', 'wig', 'chambered nautilus', 'screw']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'otter', 'seashore', 'jigsaw puzzle', 'oystercatcher']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,cockroach,"['cockroach', 'Windsor tie', 'shoe shop', 'wine bottle', 'bearskin']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,maze,"['maze', 'oil filter', 'mobile home', 'prison', 'oscilloscope']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,tobacco shop,"['tobacco shop', 'shoe shop', 'restaurant', 'beer bottle', 'hamper']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,candle,"['candle', ""jack-o'-lantern"", 'bell pepper', 'pot', 'tray']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,oil filter,"['oil filter', 'coil', 'bookcase', 'safe', 'entertainment center']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'trifle', 'bee', 'confectionery', 'tobacco shop']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jackfruit', 'earthstar', 'pineapple', 'spaghetti squash']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,butternut squash,"['butternut squash', 'corkscrew', 'tobacco shop', 'confectionery', 'drake']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'Maltese dog', 'Japanese spaniel', 'shower cap', 'Pekinese']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stinkhorn', 'honeycomb', 'fiddler crab', 'isopod']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'head cabbage', 'Dutch oven', 'artichoke', 'coral reef']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goldfish,"['goldfish', 'crash helmet', 'umbrella', 'traffic light', 'pencil sharpener']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,tailed frog,"['tailed frog', 'mushroom', 'bullfrog', 'vine snake', 'stinkhorn']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,plastic bag,"['plastic bag', 'conch', 'hen-of-the-woods', 'fiddler crab', 'chainlink fence']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'artichoke', 'custard apple', 'cardoon']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,mashed potato,"['mashed potato', 'Granny Smith', 'hen-of-the-woods', 'pineapple', 'candle']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,king crab,"['king crab', 'green mamba', 'Dungeness crab', 'meat loaf', 'pizza']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,solar dish,"['solar dish', 'aircraft carrier', 'revolver', 'shoe shop', 'reel']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,bow tie,"['bow tie', 'Windsor tie', 'accordion', 'velvet', 'strawberry']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,Norfolk terrier,"['Norfolk terrier', 'coral fungus', 'water ouzel', 'hen-of-the-woods', 'partridge']"
