,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,vase,"['vase', 'lampshade', 'gown', 'pedestal', 'overskirt']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,parachute,"['parachute', 'plastic bag', 'sleeping bag', 'flagpole', 'shower cap']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,ski,"['ski', 'radio telescope', 'solar dish', 'airship', 'flagpole']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'scorpion', 'wolf spider', 'king crab']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,bib,"['bib', 'shield', 'matchstick', 'drum', 'chain mail']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,American alligator,"['American alligator', 'alp', 'volcano', 'snowmobile', 'parachute']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,ski mask,"['ski mask', 'knee pad', 'wool', 'parachute', 'neck brace']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,triceratops,"['triceratops', 'pedestal', 'book jacket', 'comic book', 'Great Dane']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'microphone', 'spotlight', 'power drill', 'whistle']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,American alligator,"['American alligator', 'African crocodile', 'sea cucumber', 'curly-coated retriever', 'slug']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,comic book,"['comic book', 'plastic bag', 'ski mask', 'book jacket', 'parachute']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'pitcher', 'whiskey jug', 'bucket']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,parachute,"['parachute', 'sleeping bag', 'plastic bag', 'stretcher', 'letter opener']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'brassiere', 'mud turtle', 'box turtle', 'parachute']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,radio telescope,"['radio telescope', 'golf ball', 'water tower', 'chain saw', 'solar dish']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hook,"['hook', 'bow', 'hatchet', 'assault rifle', 'rifle']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,hook,"['hook', 'bolo tie', 'hatchet', 'nail', 'hair slide']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,ski mask,"['ski mask', 'bathing cap', 'electric ray', 'hen-of-the-woods', 'head cabbage']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,hair slide,"['hair slide', 'bolo tie', 'hook', 'wall clock', 'swab']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,hard disc,"['hard disc', 'cassette', 'tape player', 'cassette player', 'modem']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,parachute,"['parachute', 'ski', 'alp', 'vulture', 'plastic bag']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,binder,"['binder', 'hard disc', 'book jacket', 'cassette', 'modem']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,park bench,"['park bench', 'rocking chair', 'throne', 'folding chair', 'barber chair']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,pick,"['pick', 'shield', 'radio telescope', 'solar dish', 'ski mask']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'scorpion', 'ski', 'crayfish', 'bow']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Labrador retriever,"['Labrador retriever', 'flat-coated retriever', 'golden retriever', 'dalmatian', 'clumber']"
