,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'mushroom', 'coral reef', 'brain coral']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hammer', 'shovel', 'screw', 'chain']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'thatch', 'coral reef', 'pot', 'swab']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jay,"['jay', 'jigsaw puzzle', 'indigo bunting', 'coho', 'junco']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,beer bottle,"['beer bottle', 'shoe shop', 'cowboy boot', 'cockroach', 'tobacco shop']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,airship,"['airship', 'breakwater', 'monitor', 'castle', 'traffic light']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,beer bottle,"['beer bottle', 'beer glass', 'wine bottle', 'espresso', 'sunglasses']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,coral fungus,"['coral fungus', 'coral reef', 'gyromitra', ""jack-o'-lantern"", 'sea slug']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,maze,"['maze', 'library', 'monitor', 'computer keyboard', 'pay-phone']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'apiary', 'hen-of-the-woods', 'pineapple']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,jackfruit,"['jackfruit', 'hen-of-the-woods', 'pineapple', 'spaghetti squash', 'honeycomb']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,butternut squash,"['butternut squash', 'chain mail', 'honeycomb', 'acoustic guitar', 'orange']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'apiary', 'honeycomb', 'vase', 'bee']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'sea urchin', 'ear', 'corn', 'shoe shop']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'head cabbage', 'guacamole', 'custard apple', 'coral reef']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,shoe shop,"['shoe shop', 'sea slug', 'piggy bank', 'coral reef', 'beer bottle']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'indri', 'proboscis monkey', 'tailed frog', 'gyromitra']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,plastic bag,"['plastic bag', 'conch', 'hen-of-the-woods', 'feather boa', 'hip']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'broccoli', 'pot', 'wok']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,pineapple,"['pineapple', 'custard apple', 'ear', 'corn', 'cucumber']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Dungeness crab', 'pizza', 'king crab', 'rock crab']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,revolver,"['revolver', 'plane', 'dumbbell', 'rifle', 'hammer']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,trifle,"['trifle', 'pomegranate', 'butcher shop', 'coral reef', 'sea anemone']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,stone wall,"['stone wall', 'cliff dwelling', 'cliff', 'ram', 'bighorn']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stone wall', 'redshank', 'cliff', 'red-backed sandpiper']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,bulletproof vest,"['bulletproof vest', 'tank', 'computer keyboard', 'jigsaw puzzle', 'maze']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,coho,"['coho', 'projectile', 'warplane', 'missile', 'umbrella']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'sea anemone', 'brain coral', 'coral fungus']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'honeycomb', 'coral reef', 'brain coral']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,honeycomb,"['honeycomb', 'pizza', 'hen-of-the-woods', 'pineapple', 'jackfruit']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,church,"['church', 'lifeboat', 'tile roof', 'monastery', 'dome']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'plastic bag', 'conch', 'kuvasz', 'dough']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'fur coat', 'tiger', 'velvet', 'wool']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'red-backed sandpiper', 'tiger cat', 'brambling', 'hen-of-the-woods']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,panpipe,"['panpipe', 'nail', 'hammer', 'maze', 'coil']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,pot,"['pot', 'greenhouse', 'colobus', 'hen-of-the-woods', 'apiary']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'coral fungus', 'coral reef', 'sea slug']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stole', 'stone wall', 'doormat', 'jigsaw puzzle']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,custard apple,"['custard apple', 'acorn', 'jackfruit', 'pineapple', 'strawberry']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,stole,"['stole', 'wool', 'chain mail', 'velvet', 'hen-of-the-woods']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'sunglasses', 'shield', 'teapot']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,refrigerator,"['refrigerator', 'menu', 'binder', 'screw', 'envelope']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,broccoli,"['broccoli', 'coral reef', 'head cabbage', 'pot', 'acorn']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,recreational vehicle,"['recreational vehicle', 'cash machine', 'photocopier', 'library', 'screen']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,plane,"['plane', 'lumbermill', 'hammer', 'nail', 'maze']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,bulletproof vest,"['bulletproof vest', 'military uniform', 'rifle', 'mailbag', 'jigsaw puzzle']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'ant', 'apiary', 'bee', 'fiddler crab']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,custard apple,"['custard apple', 'Granny Smith', 'acorn', 'pineapple', 'buckeye']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,acorn,"['acorn', 'custard apple', 'bullfrog', 'tailed frog', 'artichoke']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'Dungeness crab', 'butternut squash', 'bee']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'puffer', 'pineapple', 'red-backed sandpiper']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'honeycomb', 'jigsaw puzzle', 'stole']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'cinema', 'shoe shop', 'football helmet']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,goose,"['goose', 'drake', 'jigsaw puzzle', 'warplane', 'coho']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'conch', 'coral reef', 'bee']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,gyromitra,"['gyromitra', 'hen-of-the-woods', 'swimming trunks', 'coral fungus', 'coral reef']"
56,Tex_shoe_ILSVRC2012_val_00019717_t.jpg,tile roof,"['tile roof', 'maze', 'manhole cover', 'chain', 'doormat']"
57,Tex_camel_ILSVRC2012_val_00003409_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'puffer', 'honeycomb', 'coral fungus', 'gyromitra']"
58,Tex_apple_ILSVRC2012_val_00012232_t.jpg,custard apple,"['custard apple', 'acorn', 'strawberry', 'pineapple', 'jackfruit']"
59,Tex_car_ILSVRC2012_val_00010455_t.jpg,shoe shop,"['shoe shop', 'jigsaw puzzle', 'coho', 'red-backed sandpiper', 'drake']"
60,Tex_snail_ILSVRC2012_val_00018951_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'Indian cobra', 'Gila monster', 'hognose snake']"
61,Tex_hammer_ILSVRC2012_val_00015583_t.jpg,shoe shop,"['shoe shop', 'coho', 'padlock', 'maze', 'jigsaw puzzle']"
62,Tex_crocodilian_ILSVRC2012_val_00018666_t.jpg,sea lion,"['sea lion', 'oystercatcher', 'coho', 'breakwater', 'red-backed sandpiper']"
63,Tex_turtle_ILSVRC2012_val_00047941_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'stole', 'dishrag', 'pineapple']"
64,Tex_mushroom_ILSVRC2012_val_00038421_t.jpg,mushroom,"['mushroom', 'hen-of-the-woods', 'coral fungus', 'dough', 'bolete']"
65,Tex_elephant_ILSVRC2012_val_00040375_t.jpg,breakwater,"['breakwater', 'stone wall', 'conch', 'megalith', 'goose']"
66,Tex_banana_ILSVRC2012_val_00003412_t.jpg,conch,"['conch', 'cauliflower', 'hen-of-the-woods', 'coral reef', 'coral fungus']"
67,Tex_spider_ILSVRC2012_val_00029156_t.jpg,cliff,"['cliff', 'stone wall', 'bighorn', 'cliff dwelling', 'ibex']"
68,Tex_banana_ILSVRC2012_val_00046575_t.jpg,cucumber,"['cucumber', 'Granny Smith', 'jackfruit', 'head cabbage', 'pineapple']"
69,Tex_frog_ILSVRC2012_val_00033769_t.jpg,coral reef,"['coral reef', 'chiton', 'flatworm', 'rock beauty', 'hen-of-the-woods']"
70,Tex_cabbage_ILSVRC2012_val_00007752_t.jpg,head cabbage,"['head cabbage', 'pot', 'cauliflower', 'vase', 'cardoon']"
71,Tex_airplane_ILSVRC2012_val_00030531_t.jpg,lifeboat,"['lifeboat', 'flamingo', 'goldfish', 'conch', 'torch']"
72,Tex_rabbit_ILSVRC2012_val_00021667_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'Airedale', 'wool', 'sidewinder']"
73,Tex_microwave_ILSVRC2012_val_00027917_t.jpg,shoe shop,"['shoe shop', 'triceratops', 'clog', 'plane', 'assault rifle']"
74,Tex_car_ILSVRC2012_val_00034824_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'seashore', 'conch', 'starfish', 'shoe shop']"
75,Tex_pineapple_ILSVRC2012_val_00029522_t.jpg,pot,"['pot', 'bee', 'greenhouse', 'koala', 'jigsaw puzzle']"
76,Tex_camel_ILSVRC2012_val_00013553_t.jpg,puffer,"['puffer', 'brain coral', 'hen-of-the-woods', 'sea cucumber', 'conch']"
77,Tex_snake_ILSVRC2012_val_00027631_t.jpg,chain mail,"['chain mail', 'honeycomb', 'chain', 'apiary', 'porcupine']"
78,Tex_dryer_ILSVRC2012_val_00027635_t.jpg,cockroach,"['cockroach', 'dung beetle', 'crayfish', 'scorpion', 'beer bottle']"
79,Tex_squirrel_ILSVRC2012_val_00035501_t.jpg,trilobite,"['trilobite', 'quail', 'sea cucumber', 'brain coral', 'stole']"
80,Tex_elephant_ILSVRC2012_val_00011247_t.jpg,sea lion,"['sea lion', 'oystercatcher', 'breakwater', 'black swan', 'hen-of-the-woods']"
81,Tex_mushroom_ILSVRC2012_val_00009394_t.jpg,agaric,"['agaric', 'coral fungus', 'coral reef', 'toyshop', 'sea anemone']"
82,Tex_butterfly_ILSVRC2012_val_00013795_t.jpg,sulphur butterfly,"['sulphur butterfly', 'jackfruit', 'jigsaw puzzle', 'goldfinch', 'honeycomb']"
83,Tex_flower_ILSVRC2012_val_00048934_t.jpg,rapeseed,"['rapeseed', 'golf ball', 'broom', 'swimming trunks', 'hen-of-the-woods']"
84,Tex_cabbage_ILSVRC2012_val_00019287_t.jpg,cardoon,"['cardoon', 'indigo bunting', 'quail', 'custard apple', 'bee eater']"
85,Tex_shoe_ILSVRC2012_val_00020303_t.jpg,tile roof,"['tile roof', 'rifle', 'assault rifle', 'missile', 'cannon']"
86,Tex_bird_ILSVRC2012_val_00030545_t.jpg,ruddy turnstone,"['ruddy turnstone', 'red-backed sandpiper', 'ptarmigan', 'hen-of-the-woods', 'redshank']"
87,Tex_mug_ILSVRC2012_val_00020276_t.jpg,tile roof,"['tile roof', 'radiator', 'shower curtain', 'jigsaw puzzle', 'conch']"
88,Tex_crab_ILSVRC2012_val_00004462_t.jpg,ant,"['ant', 'honeycomb', 'ruddy turnstone', 'hen-of-the-woods', 'bee']"
89,Tex_bear_ILSVRC2012_val_00041813_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'coral reef', 'coral fungus', 'gyromitra']"
90,Tex_strawberry_ILSVRC2012_val_00031440_t.jpg,strawberry,"['strawberry', 'stole', 'wool', 'trifle', 'stinkhorn']"
91,Tex_flower_ILSVRC2012_val_00019320_t.jpg,trifle,"['trifle', 'paper towel', 'plastic bag', 'daisy', 'corn']"
