,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'stole', 'dishrag', 'poncho', 'sea urchin']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'safety pin', 'wool']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,chain mail,"['chain mail', 'stole', 'chain', 'sea urchin', 'poncho']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'safety pin', 'sea urchin', 'stole', 'strainer']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,chain,"['chain', 'necklace', 'sea snake', 'nematode', 'king snake']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,chain mail,"['chain mail', 'sea urchin', 'stole', 'dishrag', 'parachute']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'stole', 'safety pin', 'poncho', 'wool']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,chain mail,"['chain mail', 'stole', 'chain', 'wool', 'poncho']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,chain mail,"['chain mail', 'stole', 'safety pin', 'window screen', 'shower curtain']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,chain,"['chain', 'chain mail', 'safety pin', 'screw', 'stole']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'wool', 'dishrag']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,snowmobile,"['snowmobile', 'warplane', 'lakeside', 'chain', 'dogsled']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,spider web,"['spider web', 'warplane', 'lakeside', 'chain', 'necklace']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,snowmobile,"['snowmobile', 'dogsled', 'ski', 'black grouse', 'lakeside']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'wool', 'safety pin']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,lakeside,"['lakeside', 'snowmobile', 'airship', 'dogsled', 'boathouse']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,parachute,"['parachute', 'hair slide', 'matchstick', 'chain', 'screw']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,warplane,"['warplane', 'corkscrew', 'aircraft carrier', 'American alligator', 'chain']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'sea urchin', 'nail', 'chain mail', 'stole']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,snowmobile,"['snowmobile', 'lakeside', 'airship', 'parachute', 'dogsled']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'flute', 'chain', 'oboe', 'crane']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,snowmobile,"['snowmobile', 'lakeside', 'dogsled', 'American egret', 'breakwater']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'safety pin', 'snowmobile']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'snowmobile', 'safety pin']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,chain mail,"['chain mail', 'stole', 'Kerry blue terrier', 'sea cucumber', 'chain']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,chain mail,"['chain mail', 'safety pin', 'snowmobile', 'chain', 'lakeside']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,chain mail,"['chain mail', 'sea urchin', 'stole', 'parachute', 'chain']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,snowmobile,"['snowmobile', 'dogsled', 'ski', 'lakeside', 'chain']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,chain mail,"['chain mail', 'stole', 'chain', 'safety pin', 'poncho']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,airship,"['airship', 'lakeside', 'parachute', 'snowmobile', 'pole']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,chain mail,"['chain mail', 'parachute', 'poncho', 'stole', 'wool']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,chain,"['chain', 'chain mail', 'parachute', 'spider web', 'black grouse']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,chain,"['chain', 'necklace', 'chain mail', 'sea urchin', 'binder']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,chain mail,"['chain mail', 'safety pin', 'parachute', 'snowmobile', 'chain']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,chain mail,"['chain mail', 'Kerry blue terrier', 'sea urchin', 'stole', 'chain']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,pole,"['pole', 'chain', 'parachute', 'totem pole', 'oboe']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'dishrag', 'wool']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,chain mail,"['chain mail', 'chain', 'nematode', 'coil', 'necklace']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,chain mail,"['chain mail', 'stole', 'parachute', 'poncho', 'sea urchin']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,chain mail,"['chain mail', 'screw', 'binder', 'chain', 'stole']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,chain,"['chain', 'sea snake', 'nematode', 'coil', 'necklace']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,chain mail,"['chain mail', 'stole', 'parachute', 'poncho', 'sea urchin']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,snowmobile,"['snowmobile', 'dogsled', 'parachute', 'speedboat', 'lakeside']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,chain mail,"['chain mail', 'stole', 'sea urchin', 'chain', 'dishrag']"
44,Cro_v07_dog_ILSVRC2012_val_00030058_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'safety pin', 'chain']"
45,Cro_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'sea urchin', 'dishrag']"
46,Cro_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,parachute,"['parachute', 'chain', 'safety pin', 'umbrella', 'chain mail']"
47,Cro_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'parachute', 'safety pin']"
48,Cro_v07_horse_ILSVRC2012_val_00011600_cd.jpg,warplane,"['warplane', 'binder', 'screw', 'parachute', 'chain']"
49,Cro_v07_frog_ILSVRC2012_val_00010287_cd.jpg,chain mail,"['chain mail', 'airship', 'parachute', 'snowmobile', 'stole']"
50,Cro_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,chain mail,"['chain mail', 'sea urchin', 'stole', 'dishrag', 'poncho']"
51,Cro_v07_banana_ILSVRC2012_val_00049606_cd.jpg,necklace,"['necklace', 'chain', 'chain mail', 'nematode', 'sea cucumber']"
52,Cro_v07_mug_ILSVRC2012_val_00027194_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'wool', 'shower curtain']"
53,Cro_v07_flower_ILSVRC2012_val_00013936_cd.jpg,chain mail,"['chain mail', 'stole', 'safety pin', 'necklace', 'poncho']"
54,Cro_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,chain,"['chain', 'warplane', 'chain mail', 'parachute', 'screw']"
55,Cro_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,parachute,"['parachute', 'warplane', 'snowmobile', 'black grouse', 'binder']"
56,Cro_v07_crab_ILSVRC2012_val_00008705_cd.jpg,chain,"['chain', 'crane bird', 'dowitcher', 'American egret', 'lakeside']"
57,Cro_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,chain mail,"['chain mail', 'stole', 'Kerry blue terrier', 'poncho', 'chain']"
58,Cro_v07_chair_ILSVRC2012_val_00001953_cd.jpg,warplane,"['warplane', 'airship', 'parachute', 'white stork', 'snowmobile']"
59,Cro_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,snowmobile,"['snowmobile', 'lakeside', 'American alligator', 'American egret', 'parachute']"
60,Cro_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,parachute,"['parachute', 'chain mail', 'stole', 'hair slide', 'chain']"
61,Cro_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,snowmobile,"['snowmobile', 'warplane', 'lakeside', 'crane bird', 'chain']"
62,Cro_v07_camel_ILSVRC2012_val_00013553_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'wool', 'dishrag']"
63,Cro_v07_lobster_ILSVRC2012_val_00002502_cd.jpg,necklace,"['necklace', 'chain', 'parachute', 'lakeside', 'chain mail']"
64,Cro_v07_gun_ILSVRC2012_val_00016796_cd.jpg,chain,"['chain', 'snowmobile', 'chain mail', 'safety pin', 'lakeside']"
65,Cro_v07_snail_ILSVRC2012_val_00046248_cd.jpg,snowmobile,"['snowmobile', 'chain', 'hip', 'warplane', 'lakeside']"
66,Cro_v07_flower_ILSVRC2012_val_00019320_cd.jpg,snowmobile,"['snowmobile', 'lakeside', 'dogsled', 'airship', 'window screen']"
67,Cro_v07_pineapple_ILSVRC2012_val_00012582_cd.jpg,snowmobile,"['snowmobile', 'parachute', 'airship', 'chain mail', 'dogsled']"
68,Cro_v07_gun_ILSVRC2012_val_00012180_cd.jpg,chain mail,"['chain mail', 'chain', 'necklace', 'envelope', 'safety pin']"
69,Cro_v07_crocodilian_ILSVRC2012_val_00038647_cd.jpg,snowmobile,"['snowmobile', 'chain mail', 'stole', 'chain', 'safety pin']"
70,Cro_v07_bird_ILSVRC2012_val_00007153_cd.jpg,parachute,"['parachute', 'sea urchin', 'balloon', 'chain mail', 'chain']"
71,Cro_v07_broccoli_ILSVRC2012_val_00027637_cd.jpg,chain mail,"['chain mail', 'stole', 'parachute', 'chain', 'poncho']"
72,Cro_v07_crab_ILSVRC2012_val_00034670_cd.jpg,lakeside,"['lakeside', 'goose', 'crane bird', 'warplane', 'redshank']"
73,Cro_v07_mug_ILSVRC2012_val_00025548_cd.jpg,chain mail,"['chain mail', 'stole', 'sea urchin', 'bib', 'dishrag']"
74,Cro_v07_butterfly_ILSVRC2012_val_00015608_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'safety pin', 'parachute']"
75,Cro_v07_cat_ILSVRC2012_val_00000796_cd.jpg,chain mail,"['chain mail', 'stole', 'snowmobile', 'poncho', 'window screen']"
76,Cro_v07_cat_ILSVRC2012_val_00001341_cd.jpg,parachute,"['parachute', 'chain mail', 'stole', 'safety pin', 'airship']"
77,Cro_v07_fish_ILSVRC2012_val_00021994_cd.jpg,chain mail,"['chain mail', 'parachute', 'chain', 'snowmobile', 'stole']"
78,Cro_v07_shoe_ILSVRC2012_val_00048970_cd.jpg,flatworm,"['flatworm', 'chain mail', 'sea cucumber', 'hair slide', 'stole']"
79,Cro_v07_snail_ILSVRC2012_val_00045031_cd.jpg,chain,"['chain', 'chain mail', 'American alligator', 'necklace', 'strainer']"
80,Cro_v07_lobster_ILSVRC2012_val_00028657_cd.jpg,chain mail,"['chain mail', 'parachute', 'stole', 'jigsaw puzzle', 'sea urchin']"
