,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,hoopskirt,"['hoopskirt', 'pedestal', 'plastic bag', 'vase', 'stole']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'brassiere', 'parachute', 'head cabbage', 'plastic bag']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,ski,"['ski', 'sunglass', 'solar dish', 'sunglasses', 'chain saw']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'tick', 'king crab', 'Dungeness crab']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,drum,"['drum', 'gong', 'shield', 'bolo tie', 'pick']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,volcano,"['volcano', 'ski', 'alp', 'mountain tent', 'snowmobile']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,balloon,"['balloon', 'sombrero', 'airship', 'ski mask', 'rugby ball']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,groenendael,"['groenendael', 'curly-coated retriever', 'flat-coated retriever', 'whippet', 'tick']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'muzzle', 'whistle', 'spotlight', 'microphone']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,American alligator,"['American alligator', 'volcano', 'sea cucumber', 'African crocodile', 'curly-coated retriever']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,plastic bag,"['plastic bag', 'pedestal', 'obelisk', 'volcano', 'book jacket']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'whiskey jug', 'pitcher', 'bucket']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'flatworm', 'parachute', 'pick', 'nematode']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,leatherback turtle,"['leatherback turtle', 'terrapin', 'brassiere', 'head cabbage', 'mud turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,drum,"['drum', 'gong', 'chime', 'puck', 'radio telescope']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,pedestal,"['pedestal', 'hook', 'hammer', 'hand blower', 'hatchet']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,nail,"['nail', 'mushroom', 'hook', 'hatchet', 'hen-of-the-woods']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,nematode,"['nematode', 'Arabian camel', 'head cabbage', 'electric ray', 'gyromitra']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,hair slide,"['hair slide', 'cup', 'bolo tie', 'electric fan', 'vase']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,hard disc,"['hard disc', 'cassette', 'binder', 'modem', 'space heater']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,volcano,"['volcano', 'sleeping bag', 'Arabian camel', 'parachute', 'tusker']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,binder,"['binder', 'fire screen', 'cassette', 'book jacket', 'safe']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,iron,"['iron', 'rocking chair', 'folding chair', 'throne', 'stove']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,radio telescope,"['radio telescope', 'sundial', 'shield', 'buckle', 'drum']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,scorpion,"['scorpion', 'American lobster', 'spiny lobster', 'bow', 'muzzle']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Labrador retriever,"['Labrador retriever', 'dalmatian', 'golden retriever', 'flat-coated retriever', 'kuvasz']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,gong,"['gong', 'chime', 'drum', 'shield', 'loupe']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,letter opener,"['letter opener', 'electric ray', 'kite', 'quill', 'scabbard']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,knot,"['knot', 'bolo tie', 'hook', 'Indian cobra', 'nematode']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,bonnet,"['bonnet', 'wool', 'mailbag', 'sleeping bag', 'shower cap']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,bloodhound,"['bloodhound', 'book jacket', 'mailbag', 'envelope', 'volcano']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,pick,"['pick', 'bonnet', 'shower cap', 'head cabbage', 'loupe']"
32,Lin_crocodilian_ILSVRC2012_val_00010826_l.jpg,leatherback turtle,"['leatherback turtle', 'American alligator', 'letter opener', 'knot', 'hair slide']"
33,Lin_gun_ILSVRC2012_val_00002840_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'violin']"
34,Lin_helmet_ILSVRC2012_val_00013302_l.jpg,pick,"['pick', 'ski mask', 'drum', 'mailbag', 'loupe']"
35,Lin_gun_ILSVRC2012_val_00018910_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'bow']"
36,Lin_corn_ILSVRC2012_val_00010495_l.jpg,ear,"['ear', 'corn', 'American alligator', 'parachute', 'sea cucumber']"
37,Lin_mug_ILSVRC2012_val_00027194_l.jpg,mailbag,"['mailbag', 'coffee mug', 'binder', 'water jug', 'lighter']"
38,Lin_banana_ILSVRC2012_val_00038819_l.jpg,shield,"['shield', 'gong', 'nematode', 'drum', 'loupe']"
39,Lin_mushroom_ILSVRC2012_val_00009394_l.jpg,drum,"['drum', 'steel drum', 'strainer', 'bottlecap', 'maraca']"
40,Lin_rabbit_ILSVRC2012_val_00044412_l.jpg,hare,"['hare', 'pedestal', 'hoopskirt', 'cocker spaniel', 'hen']"
41,Lin_snail_ILSVRC2012_val_00001959_l.jpg,snail,"['snail', 'limpkin', 'ladle', 'slug', 'dowitcher']"
42,Lin_banana_ILSVRC2012_val_00021860_l.jpg,muzzle,"['muzzle', 'chain saw', 'corkscrew', 'cleaver', 'scabbard']"
43,Lin_frog_ILSVRC2012_val_00010287_l.jpg,triceratops,"['triceratops', 'plastic bag', 'tailed frog', 'parachute', 'cloak']"
44,Lin_monkey_ILSVRC2012_val_00030191_l.jpg,curly-coated retriever,"['curly-coated retriever', 'triceratops', 'ibex', 'flat-coated retriever', 'Newfoundland']"
45,Lin_hippopotamus_ILSVRC2012_val_00032449_l.jpg,triceratops,"['triceratops', 'bloodhound', 'black-and-tan coonhound', 'Great Dane', 'abaya']"
46,Lin_turtle_ILSVRC2012_val_00024666_l.jpg,terrapin,"['terrapin', 'triceratops', 'leatherback turtle', 'bonnet', 'mud turtle']"
47,Lin_swine_ILSVRC2012_val_00011892_l.jpg,book jacket,"['book jacket', 'volcano', 'pedestal', 'flagpole', 'obelisk']"
48,Lin_acorn_ILSVRC2012_val_00013791_l.jpg,drum,"['drum', 'bonnet', 'shield', 'gong', 'lycaenid']"
49,Lin_airplane_ILSVRC2012_val_00011168_l.jpg,stretcher,"['stretcher', 'warplane', 'airliner', 'airship', 'chain saw']"
50,Lin_crab_ILSVRC2012_val_00004462_l.jpg,scorpion,"['scorpion', 'tick', 'barn spider', 'rock crab', 'wolf spider']"
51,Lin_lemon_ILSVRC2012_val_00034286_l.jpg,electric ray,"['electric ray', 'sleeping bag', 'brassiere', 'sunglass', 'loupe']"
52,Lin_car_ILSVRC2012_val_00034824_l.jpg,stretcher,"['stretcher', 'half track', 'muzzle', 'buckle', 'cannon']"
53,Lin_snake_ILSVRC2012_val_00027631_l.jpg,sea snake,"['sea snake', 'king snake', 'night snake', 'Indian cobra', 'diamondback']"
54,Lin_squirrel_ILSVRC2012_val_00048792_l.jpg,Egyptian cat,"['Egyptian cat', 'book jacket', 'snow leopard', 'leopard', 'ibex']"
55,Lin_crab_ILSVRC2012_val_00008705_l.jpg,tick,"['tick', 'rock crab', 'barn spider', 'king crab', 'garden spider']"
56,Lin_bear_ILSVRC2012_val_00041813_l.jpg,pedestal,"['pedestal', 'tiger', 'cougar', 'book jacket', 'ice bear']"
57,Lin_fish_ILSVRC2012_val_00014195_l.jpg,mailbag,"['mailbag', 'plastic bag', 'chambered nautilus', 'trilobite', 'velvet']"
58,Lin_turtle_ILSVRC2012_val_00049782_l.jpg,sleeping bag,"['sleeping bag', 'hoopskirt', 'umbrella', 'head cabbage', 'bonnet']"
59,Lin_crocodilian_ILSVRC2012_val_00038287_l.jpg,American alligator,"['American alligator', 'scorpion', 'banded gecko', 'leatherback turtle', 'albatross']"
60,Lin_bellpepper_ILSVRC2012_val_00003536_l.jpg,sleeping bag,"['sleeping bag', 'mailbag', 'electric ray', 'bonnet', 'pick']"
61,Lin_clock_ILSVRC2012_val_00035461_l.jpg,sundial,"['sundial', 'manhole cover', 'maze', 'nail', 'wall clock']"
62,Lin_gun_ILSVRC2012_val_00012180_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'violin']"
63,Lin_bird_ILSVRC2012_val_00030545_l.jpg,ruffed grouse,"['ruffed grouse', 'partridge', 'quail', 'prairie chicken', 'dowitcher']"
64,Lin_dog_ILSVRC2012_val_00030058_l.jpg,ibex,"['ibex', 'kuvasz', 'jersey', 'clumber', 'Sussex spaniel']"
65,Lin_dryer_ILSVRC2012_val_00046673_l.jpg,chain saw,"['chain saw', 'hoopskirt', 'hatchet', 'jersey', 'assault rifle']"
