,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'pot', 'cauliflower', 'artichoke', 'head cabbage']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,ice cream,"['ice cream', 'bee', 'parachute', 'weevil', 'leaf beetle']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,hand blower,"['hand blower', 'power drill', 'warplane', 'ocarina', 'spotlight']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,kite,"['kite', 'black grouse', 'bald eagle', 'Appenzeller', 'goose']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,ptarmigan,"['ptarmigan', 'albatross', 'whippet', 'goose', 'drake']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'wing', 'airliner', 'projectile', 'missile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Italian greyhound,"['Italian greyhound', 'whippet', 'Madagascar cat', 'indri', 'Border collie']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,flat-coated retriever,"['flat-coated retriever', 'Labrador retriever', 'Staffordshire bullterrier', 'Great Dane', 'German short-haired pointer']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'spider web', 'black and gold garden spider', 'wolf spider']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,ruddy turnstone,"['ruddy turnstone', 'black grouse', 'magpie', 'cock', 'American coot']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'bell pepper', 'pomegranate', 'pretzel', 'meat loaf']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'bullfrog', 'African chameleon', 'artichoke', 'tree frog']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,puffer,"['puffer', 'conch', 'Norfolk terrier', 'soft-coated wheaten terrier', 'potpie']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,warplane,"['warplane', 'hummingbird', 'ptarmigan', 'coho', 'kite']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,langur,"['langur', 'guenon', 'boxer', 'spider monkey', 'patas']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'nematode', 'water snake', 'night snake', 'king snake']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,acoustic guitar,"['acoustic guitar', 'violin', 'buckle', 'holster', 'electric guitar']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'triceratops', 'warthog', 'Weimaraner', 'Mexican hairless']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,warplane,"['warplane', 'racer', 'terrapin', 'parachute', 'bobsled']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pedestal', 'violin']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,French loaf,"['French loaf', 'stole', 'leafhopper', 'mitten', 'ear']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'printer', 'tape player', 'cassette player', 'sewing machine']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,dingo,"['dingo', 'dhole', 'coyote', 'Rhodesian ridgeback', 'red wolf']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,bell pepper,"['bell pepper', 'corn', 'lemon', 'consomme', 'Granny Smith']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ruddy turnstone,"['ruddy turnstone', 'dowitcher', 'ptarmigan', 'red-backed sandpiper', 'ruffed grouse']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,flagpole,"['flagpole', 'whistle', 'bow tie', 'knot', 'hair slide']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,banana,"['banana', 'cucumber', 'Granny Smith', 'artichoke', 'zucchini']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'head cabbage', 'cauliflower', 'mortar', 'cucumber']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,Norwegian elkhound,"['Norwegian elkhound', 'whippet', 'Irish wolfhound', 'pug', 'dogsled']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,ptarmigan,"['ptarmigan', 'chocolate sauce', 'pug', 'conch', 'cauliflower']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,wood rabbit,"['wood rabbit', 'hare', 'African chameleon', 'three-toed sloth', 'horned viper']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,oxygen mask,"['oxygen mask', 'bib', 'water jug', 'piggy bank', 'diaper']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,holster,"['holster', 'tripod', 'binoculars', 'knee pad', 'microphone']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,fox squirrel,"['fox squirrel', 'conch', 'Scotch terrier', 'purse', 'plastic bag']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,lemon,"['lemon', 'orange', 'jackfruit', 'eggnog', 'shower cap']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,medicine chest,"['medicine chest', ""carpenter's kit"", 'perfume', 'hard disc', 'wallet']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,sarong,"['sarong', 'strawberry', 'plastic bag', 'velvet', 'shower cap']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,Weimaraner,"['Weimaraner', 'Siamese cat', 'Labrador retriever', 'golden retriever', 'Irish wolfhound']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,Arabian camel,"['Arabian camel', 'muzzle', 'Rhodesian ridgeback', 'triceratops', 'boxer']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,fox squirrel,"['fox squirrel', 'tabby', 'timber wolf', 'Egyptian cat', 'Norwich terrier']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,warplane,"['warplane', 'American alligator', 'platypus', 'African crocodile', 'red-breasted merganser']"
41,SilTex_turtle_ILSVRC2012_val_00024666_st.jpg,hair slide,"['hair slide', 'conch', 'tailed frog', 'weevil', 'box turtle']"
42,SilTex_cabbage_ILSVRC2012_val_00007752_st.jpg,head cabbage,"['head cabbage', 'cauliflower', 'broccoli', 'artichoke', 'custard apple']"
43,SilTex_elephant_ILSVRC2012_val_00011247_st.jpg,black grouse,"['black grouse', 'warplane', 'triceratops', 'kite', 'whippet']"
