,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,American alligator,"['American alligator', 'snowmobile', 'dogsled', 'envelope', 'screw']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,screw,"['screw', 'handkerchief', 'envelope', 'jersey', 'American alligator']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,megalith,"['megalith', 'great grey owl', 'snowmobile', 'chain mail', 'shovel']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,screw,"['screw', 'hair slide', 'nail', 'pick', 'chain mail']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,envelope,"['envelope', 'handkerchief', 'hair slide', 'jersey', 'screw']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,envelope,"['envelope', 'handkerchief', 'banded gecko', 'leatherback turtle', 'airship']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,handkerchief,"['handkerchief', 'screw', 'hair slide', 'safety pin', 'necklace']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'jersey', 'bib', 'screw']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'hook', 'chain', 'parachute', 'sea snake']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,envelope,"['envelope', 'chain mail', 'screw', 'handkerchief', 'jersey']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'tray', 'screw', 'hair slide']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,cheetah,"['cheetah', 'hyena', 'snow leopard', 'leopard', 'dalmatian']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'screw', 'hair slide', 'handkerchief', 'jersey']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,cheetah,"['cheetah', 'envelope', 'jersey', 'hyena', 'handkerchief']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,American alligator,"['American alligator', 'handkerchief', 'redshank', 'chain mail', 'African crocodile']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,cheetah,"['cheetah', 'handkerchief', 'envelope', 'jersey', 'tray']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'American alligator', 'screw', 'whistle', 'leatherback turtle']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,corkscrew,"['corkscrew', 'screw', 'chain', 'envelope', 'necklace']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,cheetah,"['cheetah', 'dalmatian', 'snow leopard', 'leopard', 'envelope']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,American alligator,"['American alligator', 'handkerchief', 'envelope', 'leatherback turtle', 'jersey']"
