,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'wool', 'stole', 'doormat', 'Petri dish']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'stole', 'nematode', 'wool', 'screw']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,screw,"['screw', 'hair slide', 'stole', 'abaya', 'envelope']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'doormat', 'safety pin', 'hair slide', 'wool']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,black stork,"['black stork', 'black grouse', 'bald eagle', 'nematode', 'kite']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,jersey,"['jersey', 'leatherback turtle', 'hair slide', 'envelope', 'doormat']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,Petri dish,"['Petri dish', 'chiton', 'sea urchin', 'stole', 'screw']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,leatherback turtle,"['leatherback turtle', 'airship', 'hair slide', 'stole', 'chiton']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'stole', 'window screen', 'doormat']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,skunk,"['skunk', 'banded gecko', 'binder', 'jersey', 'chain']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'doormat', 'window screen', 'honeycomb', 'wool']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,banded gecko,"['banded gecko', 'binder', 'envelope', 'jersey', 'letter opener']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'banded gecko', 'fire screen', 'envelope', 'binder']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,hair slide,"['hair slide', 'binder', 'envelope', 'jersey', 'fire screen']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'binder', 'fire screen', 'doormat', 'honeycomb']"
