,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,chainlink fence,"['chainlink fence', 'maze', 'plastic bag', 'bubble', 'envelope']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,plastic bag,"['plastic bag', 'chainlink fence', 'obelisk', 'bubble', 'pole']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,bubble,"['bubble', 'envelope', 'three-toed sloth', 'comic book', 'indri']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,head cabbage,"['head cabbage', 'quilt', 'artichoke', 'maze', 'paintbrush']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,buckeye,"['buckeye', 'acorn', 'three-toed sloth', 'teddy', 'fig']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,brain coral,"['brain coral', 'chain', 'honeycomb', 'maze', 'coral reef']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,bald eagle,"['bald eagle', 'vulture', 'magpie', 'indri', 'proboscis monkey']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'binder', 'comic book', 'jersey', 'book jacket']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,indri,"['indri', 'proboscis monkey', 'three-toed sloth', 'howler monkey', 'langur']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,envelope,"['envelope', 'comic book', 'maze', 'book jacket', 'obelisk']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,maze,"['maze', 'bubble', 'head cabbage', 'coral reef', 'book jacket']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,stone wall,"['stone wall', 'chainlink fence', 'honeycomb', 'jigsaw puzzle', 'window screen']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,maze,"['maze', 'chain', 'maypole', 'obelisk', 'nematode']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,book jacket,"['book jacket', 'bubble', 'comic book', 'maze', 'prayer rug']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,maze,"['maze', 'comic book', 'book jacket', 'envelope', 'church']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,maze,"['maze', 'chainlink fence', 'pole', 'stone wall', 'chain']"
