,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,envelope,"['envelope', 'binder', 'jersey', 'web site', 'dishwasher']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'fire screen', 'web site']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,chain mail,"['chain mail', 'binder', 'jersey', 'prayer rug', 'wool']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,binder,"['binder', 'chain mail', 'Petri dish', 'envelope', 'nematode']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'envelope', 'letter opener', 'leopard', 'screw']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'fire screen', 'doormat']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,binder,"['binder', 'envelope', 'fire screen', 'ant', 'tray']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'web site', 'menu']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'hair slide', 'abaya', 'envelope', 'chain']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,envelope,"['envelope', 'binder', 'chain mail', 'prayer rug', 'window screen']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'menu', 'book jacket']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,envelope,"['envelope', 'binder', 'jersey', 'handkerchief', 'lighter']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'honeycomb', 'lighter', 'stole', 'wool']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'web site', 'book jacket']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,hair slide,"['hair slide', 'starfish', 'screw', 'nematode', 'envelope']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'menu', 'book jacket']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,envelope,"['envelope', 'binder', 'jersey', 'dishwasher', 'letter opener']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'binder', 'hair slide', 'screw', 'tray']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,envelope,"['envelope', 'binder', 'jersey', 'web site', 'fire screen']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,envelope,"['envelope', 'binder', 'web site', 'fire screen', 'parachute']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,envelope,"['envelope', 'binder', 'tray', 'web site', 'menu']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,binder,"['binder', 'envelope', 'doormat', 'prayer rug', 'fire screen']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'web site', 'fire screen']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,envelope,"['envelope', 'binder', 'nematode', 'jersey', 'hair slide']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,hair slide,"['hair slide', 'envelope', 'banded gecko', 'nematode', 'abaya']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,binder,"['binder', 'envelope', 'fire screen', 'nematode', 'jersey']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'binder', 'dishwasher', 'letter opener', 'jersey']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,envelope,"['envelope', 'binder', 'jersey', 'handkerchief', 'hair slide']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,envelope,"['envelope', 'binder', 'jersey', 'web site', 'fire screen']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'fire screen', 'web site']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,sea urchin,"['sea urchin', 'chain mail', 'binder', 'microphone', 'Petri dish']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,envelope,"['envelope', 'binder', 'black stork', 'web site', 'black grouse']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'menu', 'nematode']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,honeycomb,"['honeycomb', 'chain mail', 'binder', 'envelope', 'lighter']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'handkerchief', 'fire screen']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,sea urchin,"['sea urchin', 'binder', 'envelope', 'Petri dish', 'honeycomb']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'fire screen', 'web site']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,envelope,"['envelope', 'binder', 'hair slide', 'Petri dish', 'nematode']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,screw,"['screw', 'oboe', 'binder', 'envelope', 'corkscrew']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'book jacket', 'menu']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,envelope,"['envelope', 'binder', 'nematode', 'handkerchief', 'fire screen']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,envelope,"['envelope', 'screw', 'hair slide', 'binder', 'letter opener']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,envelope,"['envelope', 'binder', 'jersey', 'dishwasher', 'letter opener']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,binder,"['binder', 'envelope', 'fire screen', 'handkerchief', 'jersey']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,nematode,"['nematode', 'envelope', 'binder', 'hair slide', 'jersey']"
45,Cro5dva_v05_chair_ILSVRC2012_val_00044181_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'book jacket', 'oboe']"
46,Cro5dva_v05_horse_ILSVRC2012_val_00032126_cs.jpg,binder,"['binder', 'envelope', 'jersey', 'fire screen', 'chain mail']"
47,Cro5dva_v05_car_ILSVRC2012_val_00037492_cs.jpg,envelope,"['envelope', 'binder', 'hair slide', 'screw', 'jersey']"
48,Cro5dva_v05_bee_ILSVRC2012_val_00042015_cs.jpg,envelope,"['envelope', 'binder', 'jersey', 'dishwasher', 'web site']"
49,Cro5dva_v05_horse_ILSVRC2012_val_00008317_cs.jpg,envelope,"['envelope', 'binder', 'hair slide', 'jersey', 'cheetah']"
50,Cro5dva_v05_swine_ILSVRC2012_val_00031491_cs.jpg,envelope,"['envelope', 'binder', 'dishwasher', 'jersey', 'web site']"
