,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,chiton,"['chiton', 'mitten', 'balloon', 'airship', 'sea slug']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,mitten,"['mitten', 'chiton', 'megalith', 'sock', 'flatworm']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,megalith,"['megalith', 'mitten', 'sock', 'upright', 'hip']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,quail,"['quail', 'partridge', 'titi', 'hen', 'ptarmigan']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,megalith,"['megalith', 'cliff', 'promontory', 'projectile', 'obelisk']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,teddy,"['teddy', 'brown bear', 'baboon', 'ice bear', 'American black bear']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,electric ray,"['electric ray', 'stingray', 'flatworm', 'sea slug', 'platypus']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,coffee mug,"['coffee mug', 'cup', 'coffeepot', 'measuring cup', 'pitcher']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,kelpie,"['kelpie', 'groenendael', 'Pembroke', 'racer', 'alp']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,tusker,"['tusker', 'flatworm', 'platypus', 'electric ray', 'hog']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,black widow,"['black widow', 'tick', 'barn spider', 'wolf spider', 'tarantula']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'puck', 'balloon', 'shield', 'lens cap']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,hip,"['hip', 'electric ray', 'mouse', 'pick', 'banjo']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,tailed frog,"['tailed frog', 'amphibian', 'tree frog', 'bullfrog', 'hare']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,titi,"['titi', 'flatworm', 'Pembroke', 'hatchet', 'cleaver']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,black grouse,"['black grouse', 'vulture', 'hare', 'Brabancon griffon', 'hen']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,lens cap,"['lens cap', 'Petri dish', 'dung beetle', 'puck', 'stopwatch']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,digital watch,"['digital watch', 'hatchet', 'cleaver', 'screen', 'bow tie']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,platypus,"['platypus', 'barracouta', 'gar', 'water ouzel', 'cleaver']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,tick,"['tick', 'barn spider', 'black widow', 'wolf spider', 'tarantula']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,hog,"['hog', 'wombat', 'wild boar', 'warthog', 'hippopotamus']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,buckeye,"['buckeye', 'daisy', 'Pembroke', 'mushroom', 'lycaenid']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,pineapple,"['pineapple', 'cardoon', 'cock', 'porcupine', 'artichoke']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hammer,"['hammer', 'hatchet', 'shovel', 'plunger', 'cleaver']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Sussex spaniel,"['Sussex spaniel', 'flat-coated retriever', 'Chesapeake Bay retriever', 'Newfoundland', 'Gordon setter']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,Granny Smith,"['Granny Smith', 'acorn squash', 'orange', 'acorn', 'pomegranate']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,thunder snake,"['thunder snake', 'night snake', 'sidewinder', 'ringneck snake', 'sea snake']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,balance beam,"['balance beam', 'racer', 'whistle', 'platypus', 'snorkel']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Komodo dragon,"['Komodo dragon', 'platypus', 'sidewinder', 'triceratops', 'Bedlington terrier']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,mortar,"['mortar', 'whistle', 'hand blower', 'rifle', 'torch']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,hog,"['hog', 'armadillo', 'partridge', 'black grouse', 'platypus']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,plane,"['plane', 'warplane', 'airliner', 'missile', 'parachute']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,mouse,"['mouse', 'fox squirrel', 'skunk', 'flatworm', 'mitten']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,tailed frog,"['tailed frog', 'amphibian', 'common newt', 'axolotl', 'spotted salamander']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,groenendael,"['groenendael', 'gorilla', 'Newfoundland', 'standard poodle', 'baboon']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,pickup,"['pickup', 'convertible', 'sports car', 'jeep', 'cab']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,convertible,"['convertible', 'sports car', 'pickup', 'passenger car', 'jeep']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,snowmobile,"['snowmobile', 'plane', 'speedboat', 'Loafer', 'bobsled']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,puck,"['puck', 'gong', 'Petri dish', 'bubble', 'balloon']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,tick,"['tick', 'black widow', 'barn spider', 'tarantula', 'wolf spider']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,mitten,"['mitten', 'bonnet', 'titi', 'bathing cap', 'buckeye']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,eel,"['eel', 'thunder snake', 'sidewinder', 'sea snake', 'night snake']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,mitten,"['mitten', 'screen', 'cleaver', 'cliff', 'projectile']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,scorpion,"['scorpion', 'tailed frog', 'long-horned beetle', 'fiddler crab', 'amphibian']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,ringlet,"['ringlet', 'lycaenid', 'cabbage butterfly', 'buckeye', 'fly']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,cougar,"['cougar', 'lynx', 'leopard', 'tiger cat', 'tiger']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,mitten,"['mitten', 'cleaver', 'shield', 'ashcan', 'barrow']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,Granny Smith,"['Granny Smith', 'buckeye', 'acorn', 'fig', 'acorn squash']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,trilobite,"['trilobite', 'cardoon', 'jinrikisha', 'pineapple', 'porcupine']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,ringlet,"['ringlet', 'cabbage butterfly', 'pick', 'wing', 'lycaenid']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,lens cap,"['lens cap', 'Petri dish', 'puck', 'screen', 'bottlecap']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,bonnet,"['bonnet', 'bathing cap', 'dome', 'crash helmet', 'mitten']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,plane,"['plane', 'airliner', 'warplane', 'airship', 'space shuttle']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,platypus,"['platypus', 'American alligator', 'barracouta', 'African crocodile', 'submarine']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,mitten,"['mitten', 'clog', 'sandal', 'sock', 'iron']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,badger,"['badger', 'wombat', 'bonnet', 'mitten', 'cougar']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,lemon,"['lemon', 'titi', 'bonnet', 'nipple', 'fig']"
57,Sil_chair_ILSVRC2012_val_00041720_s.jpg,throne,"['throne', 'folding chair', 'upright', 'rocking chair', 'barber chair']"
58,Sil_acorn_ILSVRC2012_val_00012754_s.jpg,stingray,"['stingray', 'terrapin', 'armadillo', 'platypus', 'chiton']"
59,Sil_broccoli_ILSVRC2012_val_00013519_s.jpg,rifle,"['rifle', 'revolver', 'assault rifle', 'warthog', 'hammerhead']"
60,Sil_pineapple_ILSVRC2012_val_00024461_s.jpg,pineapple,"['pineapple', 'strawberry', 'artichoke', 'mitten', 'cock']"
61,Sil_hammer_ILSVRC2012_val_00032002_s.jpg,hammer,"['hammer', 'hatchet', 'shovel', 'cleaver', 'ladle']"
62,Sil_shoe_ILSVRC2012_val_00034558_s.jpg,sandal,"['sandal', 'clog', 'Loafer', 'running shoe', 'iron']"
63,Sil_helmet_ILSVRC2012_val_00047186_s.jpg,crash helmet,"['crash helmet', 'football helmet', 'ski mask', 'racer', 'bonnet']"
64,Sil_strawberry_ILSVRC2012_val_00031440_s.jpg,pick,"['pick', 'mitten', 'cleaver', 'shield', 'promontory']"
65,Sil_dog_ILSVRC2012_val_00010378_s.jpg,Kerry blue terrier,"['Kerry blue terrier', 'affenpinscher', 'Bouvier des Flandres', 'Dandie Dinmont', 'toy poodle']"
66,Sil_bellpepper_ILSVRC2012_val_00003536_s.jpg,rock beauty,"['rock beauty', 'pick', 'promontory', 'megalith', 'mitten']"
67,Sil_snail_ILSVRC2012_val_00018951_s.jpg,trilobite,"['trilobite', 'mouse', 'mitten', 'chiton', 'ringlet']"
68,Sil_airplane_ILSVRC2012_val_00033920_s.jpg,plane,"['plane', 'airliner', 'warplane', 'airship', 'space shuttle']"
69,Sil_tiger_ILSVRC2012_val_00015897_s.jpg,cougar,"['cougar', 'tiger cat', 'leopard', 'Egyptian cat', 'mouse']"
70,Sil_mushroom_ILSVRC2012_val_00021713_s.jpg,mushroom,"['mushroom', 'agaric', 'bolete', 'acorn', 'plunger']"
71,Sil_chair_ILSVRC2012_val_00001953_s.jpg,rocking chair,"['rocking chair', 'cradle', 'throne', 'folding chair', 'upright']"
72,Sil_cabbage_ILSVRC2012_val_00027632_s.jpg,buckeye,"['buckeye', 'mitten', 'wool', 'jinrikisha', 'volcano']"
73,Sil_cat_ILSVRC2012_val_00001341_s.jpg,tabby,"['tabby', 'Persian cat', 'Egyptian cat', 'Madagascar cat', 'Pembroke']"
74,Sil_camel_ILSVRC2012_val_00011354_s.jpg,platypus,"['platypus', 'triceratops', 'Komodo dragon', 'terrapin', 'stingray']"
75,Sil_elephant_ILSVRC2012_val_00011247_s.jpg,tusker,"['tusker', 'African elephant', 'Indian elephant', 'triceratops', 'warthog']"
76,Sil_cat_ILSVRC2012_val_00013550_s.jpg,platypus,"['platypus', 'badger', 'tusker', 'hog', 'bison']"
77,Sil_mushroom_ILSVRC2012_val_00040625_s.jpg,plunger,"['plunger', 'agaric', 'spindle', 'mushroom', 'beacon']"
78,Sil_guitar_ILSVRC2012_val_00019484_s.jpg,acoustic guitar,"['acoustic guitar', 'pick', 'electric guitar', 'banjo', 'cello']"
79,Sil_snake_ILSVRC2012_val_00027631_s.jpg,thunder snake,"['thunder snake', 'night snake', 'sea snake', 'nematode', 'eel']"
80,Sil_lobster_ILSVRC2012_val_00028657_s.jpg,bee,"['bee', 'ant', 'fly', 'cricket', 'lycaenid']"
81,Sil_flower_ILSVRC2012_val_00019320_s.jpg,daisy,"['daisy', 'pinwheel', 'lycaenid', 'Pembroke', 'buckeye']"
82,Sil_guitar_ILSVRC2012_val_00036762_s.jpg,electric guitar,"['electric guitar', 'pick', 'banjo', 'acoustic guitar', 'drumstick']"
83,Sil_camel_ILSVRC2012_val_00015872_s.jpg,Arabian camel,"['Arabian camel', 'ostrich', 'llama', 'drake', 'clumber']"
84,Sil_car_ILSVRC2012_val_00010455_s.jpg,pickup,"['pickup', 'convertible', 'sports car', 'jeep', 'minivan']"
