,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'head cabbage', 'cauliflower', 'fig', 'upright']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,sea cucumber,"['sea cucumber', 'chiton', 'spotted salamander', 'slug', 'buckeye']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,hair slide,"['hair slide', 'hammer', 'hand blower', 'iron', 'upright']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,hammerhead,"['hammerhead', 'muzzle', 'kelpie', 'Boston bull', 'sidewinder']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,bearskin,"['bearskin', 'chiton', 'wool', 'megalith', 'ocarina']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,plane,"['plane', 'warplane', 'airliner', 'trimaran', 'space shuttle']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,whippet,"['whippet', 'Ibizan hound', 'dalmatian', 'Italian greyhound', 'borzoi']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'Kerry blue terrier', 'giant schnauzer', 'curly-coated retriever', 'komondor']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'wolf spider', 'garden spider', 'black and gold garden spider', 'tarantula']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,American coot,"['American coot', 'black swan', 'water ouzel', 'albatross', 'crane bird']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,redbone,"['redbone', 'strawberry', 'gyromitra', 'stinkhorn', 'sea cucumber']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'bullfrog', 'chiton', 'ocarina', 'frilled lizard']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,chiton,"['chiton', 'redbone', 'sea cucumber', 'conch', 'rock beauty']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,gar,"['gar', 'coho', 'sturgeon', 'stole', 'barracouta']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,borzoi,"['borzoi', 'Afghan hound', 'baboon', 'Saluki', 'colobus']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,thunder snake,"['thunder snake', 'sea snake', 'eel', 'water snake', 'vine snake']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,acoustic guitar,"['acoustic guitar', 'electric guitar', 'banjo', 'cello', 'violin']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'axolotl', 'hog', 'hammerhead', 'dugong']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,sports car,"['sports car', 'sidewinder', 'go-kart', 'racer', 'snowmobile']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'upright', 'rifle', 'racket']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,corn,"['corn', 'stole', 'gar', 'upright', 'chiton']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,carton,"['carton', 'file', 'packet', 'television', 'screen']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,kelpie,"['kelpie', 'racer', 'velvet', 'carousel', 'redbone']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,chiton,"['chiton', 'brain coral', 'coral fungus', 'upright', 'carbonara']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,quail,"['quail', 'ptarmigan', 'albatross', 'ruddy turnstone', 'red-backed sandpiper']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,redbone,"['redbone', 'hair slide', 'muzzle', 'iron', 'chiton']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,corn,"['corn', 'cardoon', 'sorrel', 'jackfruit', 'stole']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'chiton', 'cauliflower', 'sea cucumber', 'upright']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,kuvasz,"['kuvasz', 'Great Pyrenees', 'borzoi', 'Angora', 'Bedlington terrier']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'bearskin', 'Brabancon griffon', 'patas', 'head cabbage']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,wood rabbit,"['wood rabbit', 'hare', 'Angora', 'patas', 'hen-of-the-woods']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,bonnet,"['bonnet', 'mask', 'bathing cap', 'breastplate', 'cup']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,scabbard,"['scabbard', 'holster', 'hand blower', 'muzzle', 'chain saw']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,Egyptian cat,"['Egyptian cat', 'tabby', 'lynx', 'Madagascar cat', 'Norwich terrier']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,carbonara,"['carbonara', 'dough', 'Petri dish', 'nematode', 'plate']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,carton,"['carton', 'lampshade', 'stole', 'maze', 'file']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,redbone,"['redbone', 'strawberry', 'fig', 'pomegranate', 'file']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,hog,"['hog', 'wild boar', 'muzzle', 'Mexican hairless', 'stole']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,Arabian camel,"['Arabian camel', 'ostrich', 'tusker', 'ibex', 'Leonberg']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,Norwich terrier,"['Norwich terrier', 'kit fox', 'silky terrier', 'Airedale', 'lynx']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,rock beauty,"['rock beauty', 'megalith', 'cairn', 'mortar', 'stole']"
41,SilTex_turtle_ILSVRC2012_val_00024666_st.jpg,box turtle,"['box turtle', 'bonnet', 'terrapin', 'shower cap', 'mud turtle']"
42,SilTex_cabbage_ILSVRC2012_val_00007752_st.jpg,head cabbage,"['head cabbage', 'broccoli', 'sorrel', 'upright', 'guacamole']"
43,SilTex_elephant_ILSVRC2012_val_00011247_st.jpg,tusker,"['tusker', 'Indian elephant', 'African elephant', 'triceratops', 'bearskin']"
44,SilTex_rabbit_ILSVRC2012_val_00006108_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'ruffed grouse', 'wood rabbit', 'chiton', 'quail']"
45,SilTex_squirrel_ILSVRC2012_val_00035501_st.jpg,sea cucumber,"['sea cucumber', 'chiton', 'stinkhorn', 'sea slug', 'gyromitra']"
46,SilTex_shoe_ILSVRC2012_val_00020303_st.jpg,Loafer,"['Loafer', 'sandal', 'clog', 'half track', 'sidewinder']"
47,SilTex_lobster_ILSVRC2012_val_00002502_st.jpg,spiny lobster,"['spiny lobster', 'crayfish', 'isopod', 'American lobster', 'scorpion']"
48,SilTex_frog_ILSVRC2012_val_00022660_st.jpg,stinkhorn,"['stinkhorn', 'gyromitra', 'hammerhead', 'tailed frog', 'hen-of-the-woods']"
49,SilTex_flower_ILSVRC2012_val_00019320_st.jpg,daisy,"['daisy', 'handkerchief', 'upright', 'jinrikisha', 'stole']"
50,SilTex_swine_ILSVRC2012_val_00016806_st.jpg,sea cucumber,"['sea cucumber', 'bearskin', 'patas', 'chiton', 'axolotl']"
51,SilTex_spider_ILSVRC2012_val_00008805_st.jpg,black and gold garden spider,"['black and gold garden spider', 'wolf spider', 'barn spider', 'garden spider', 'harvestman']"
52,SilTex_fish_ILSVRC2012_val_00032417_st.jpg,wing,"['wing', 'cliff', 'megalith', 'geyser', 'upright']"
53,SilTex_chair_ILSVRC2012_val_00041720_st.jpg,rocking chair,"['rocking chair', 'throne', 'folding chair', 'studio couch', 'barrow']"
54,SilTex_cabbage_ILSVRC2012_val_00005749_st.jpg,head cabbage,"['head cabbage', 'chiton', 'artichoke', 'stole', 'broccoli']"
