,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'strainer', 'face powder', 'porcupine', 'nail']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,hair slide,"['hair slide', 'window screen', 'envelope', 'Kerry blue terrier', 'strainer']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,strainer,"['strainer', 'envelope', 'nematode', 'nail', 'airship']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,strainer,"['strainer', 'chain mail', 'cup', 'chain', 'whistle']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'lipstick', 'sea snake', 'paintbrush', 'whistle']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,jersey,"['jersey', 'pick', 'envelope', 'hair slide', 'doormat']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,strainer,"['strainer', 'digital clock', 'nail', 'hair slide', 'window screen']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'hair slide', 'airship', 'strainer']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,chain mail,"['chain mail', 'Irish water spaniel', 'Kerry blue terrier', 'coral fungus', 'stole']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'ant', 'envelope', 'doormat', 'jersey']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'coral fungus', 'strainer', 'Irish water spaniel', 'hen-of-the-woods']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,envelope,"['envelope', 'airship', 'nematode', 'screw', 'ant']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'envelope', 'handkerchief', 'pick']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,envelope,"['envelope', 'pick', 'lipstick', 'nematode', 'jersey']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,ant,"['ant', 'hair slide', 'airship', 'coral fungus', 'nail']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,ant,"['ant', 'pick', 'envelope', 'airship', 'nematode']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,nematode,"['nematode', 'oboe', 'nail', 'strainer', 'bassoon']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'envelope', 'wolf spider', 'handkerchief', 'nematode']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,strainer,"['strainer', 'nail', 'oboe', 'hatchet', 'screw']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,ant,"['ant', 'airship', 'balloon', 'bell cote', 'ping-pong ball']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,nail,"['nail', 'hatchet', 'oboe', 'screw', 'hammer']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,airship,"['airship', 'nematode', 'envelope', 'oboe', 'digital clock']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,ant,"['ant', 'airship', 'hair slide', 'ping-pong ball', 'nail']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,envelope,"['envelope', 'doormat', 'airship', 'ant', 'pick']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Kerry blue terrier', 'doormat', 'hair slide', 'bib']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'affenpinscher', 'envelope', 'Kerry blue terrier', 'Bouvier des Flandres']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,jersey,"['jersey', 'envelope', 'bib', 'pick', 'doormat']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,assault rifle,"['assault rifle', 'aircraft carrier', 'envelope', 'airship', 'nematode']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,nematode,"['nematode', 'starfish', 'strainer', 'screw', 'airship']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,envelope,"['envelope', 'nematode', 'jersey', 'pick', 'ping-pong ball']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,ant,"['ant', 'balloon', 'pick', 'lycaenid', 'electric ray']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,weevil,"['weevil', 'ant', 'assault rifle', 'tick', 'nematode']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,pick,"['pick', 'jersey', 'envelope', 'handkerchief', 'barn spider']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,weevil,"['weevil', 'airship', 'American alligator', 'hair slide', 'strainer']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,doormat,"['doormat', 'envelope', 'pick', 'jersey', 'handkerchief']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,aircraft carrier,"['aircraft carrier', 'airship', 'table lamp', 'envelope', 'oboe']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,chain mail,"['chain mail', 'strainer', 'pick', 'honeycomb', 'coral fungus']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,nematode,"['nematode', 'lipstick', 'nail', 'whistle', 'sidewinder']"
38,Cro5dva_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,strainer,"['strainer', 'nail', 'lipstick', 'face powder', 'airship']"
39,Cro5dva_v07_chair_ILSVRC2012_val_00041720_cd.jpg,jersey,"['jersey', 'doormat', 'pick', 'envelope', 'bib']"
40,Cro5dva_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nematode,"['nematode', 'lipstick', 'paintbrush', 'crossword puzzle', 'rubber eraser']"
41,Cro5dva_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,jersey,"['jersey', 'envelope', 'pick', 'face powder', 'hair slide']"
42,Cro5dva_v07_camel_ILSVRC2012_val_00006200_cd.jpg,envelope,"['envelope', 'airship', 'lipstick', 'nematode', 'digital clock']"
43,Cro5dva_v07_camel_ILSVRC2012_val_00003409_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'triceratops', 'mink', 'Kerry blue terrier', 'Newfoundland']"
44,Cro5dva_v07_dog_ILSVRC2012_val_00030058_cd.jpg,chain mail,"['chain mail', 'Newfoundland', 'Irish water spaniel', 'abaya', 'cloak']"
45,Cro5dva_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,strainer,"['strainer', 'hair slide', 'whistle', 'chain mail', 'pick']"
46,Cro5dva_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,pick,"['pick', 'ant', 'jersey', 'paper towel', 'envelope']"
47,Cro5dva_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,strainer,"['strainer', 'face powder', 'airship', 'doormat', 'hair slide']"
48,Cro5dva_v07_horse_ILSVRC2012_val_00011600_cd.jpg,envelope,"['envelope', 'airship', 'crossword puzzle', 'tripod', 'jersey']"
49,Cro5dva_v07_frog_ILSVRC2012_val_00010287_cd.jpg,envelope,"['envelope', 'pick', 'paper towel', 'jersey', 'window screen']"
50,Cro5dva_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,strainer,"['strainer', 'chain mail', 'microphone', 'face powder', 'nail']"
51,Cro5dva_v07_banana_ILSVRC2012_val_00049606_cd.jpg,nematode,"['nematode', 'starfish', 'sea cucumber', 'envelope', 'chain mail']"
52,Cro5dva_v07_mug_ILSVRC2012_val_00027194_cd.jpg,chain mail,"['chain mail', 'strainer', 'Band Aid', 'doormat', 'window screen']"
53,Cro5dva_v07_flower_ILSVRC2012_val_00013936_cd.jpg,face powder,"['face powder', 'ping-pong ball', 'ant', 'hair slide', 'strainer']"
54,Cro5dva_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,wreck,"['wreck', 'airship', 'oboe', 'envelope', 'aircraft carrier']"
55,Cro5dva_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,nematode,"['nematode', 'envelope', 'paintbrush', 'paper towel', 'parachute']"
56,Cro5dva_v07_crab_ILSVRC2012_val_00008705_cd.jpg,envelope,"['envelope', 'ant', 'pick', 'nematode', 'airship']"
57,Cro5dva_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'airship', 'Newfoundland', 'Scotch terrier']"
58,Cro5dva_v07_chair_ILSVRC2012_val_00001953_cd.jpg,envelope,"['envelope', 'jersey', 'handkerchief', 'pick', 'nematode']"
59,Cro5dva_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,nematode,"['nematode', 'airship', 'hair slide', 'envelope', 'screw']"
60,Cro5dva_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,strainer,"['strainer', 'nail', 'digital clock', 'airship', 'window screen']"
61,Cro5dva_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,envelope,"['envelope', 'aircraft carrier', 'warplane', 'nematode', 'airship']"
62,Cro5dva_v07_camel_ILSVRC2012_val_00013553_cd.jpg,strainer,"['strainer', 'chain mail', 'doormat', 'jersey', 'nail']"
63,Cro5dva_v07_lobster_ILSVRC2012_val_00002502_cd.jpg,nematode,"['nematode', 'airship', 'aircraft carrier', 'oboe', 'hair slide']"
64,Cro5dva_v07_gun_ILSVRC2012_val_00016796_cd.jpg,jersey,"['jersey', 'envelope', 'pick', 'handkerchief', 'paper towel']"
65,Cro5dva_v07_snail_ILSVRC2012_val_00046248_cd.jpg,envelope,"['envelope', 'strainer', 'jersey', 'hair slide', 'airship']"
66,Cro5dva_v07_flower_ILSVRC2012_val_00019320_cd.jpg,ant,"['ant', 'airship', 'bell cote', 'balloon', 'pick']"
67,Cro5dva_v07_pineapple_ILSVRC2012_val_00012582_cd.jpg,airship,"['airship', 'nail', 'Irish water spaniel', 'nematode', 'strainer']"
68,Cro5dva_v07_gun_ILSVRC2012_val_00012180_cd.jpg,envelope,"['envelope', 'assault rifle', 'jersey', 'revolver', 'pick']"
69,Cro5dva_v07_crocodilian_ILSVRC2012_val_00038647_cd.jpg,starfish,"['starfish', 'nematode', 'screw', 'hair slide', 'strainer']"
70,Cro5dva_v07_bird_ILSVRC2012_val_00007153_cd.jpg,jersey,"['jersey', 'envelope', 'paper towel', 'pillow', 'bib']"
71,Cro5dva_v07_broccoli_ILSVRC2012_val_00027637_cd.jpg,strainer,"['strainer', 'jersey', 'hair slide', 'digital clock', 'pick']"
72,Cro5dva_v07_crab_ILSVRC2012_val_00034670_cd.jpg,envelope,"['envelope', 'ant', 'pick', 'airship', 'nematode']"
73,Cro5dva_v07_mug_ILSVRC2012_val_00025548_cd.jpg,strainer,"['strainer', 'chain mail', 'pick', 'chain', 'hair slide']"
74,Cro5dva_v07_butterfly_ILSVRC2012_val_00015608_cd.jpg,ant,"['ant', 'pick', 'envelope', 'airship', 'hair slide']"
75,Cro5dva_v07_cat_ILSVRC2012_val_00000796_cd.jpg,hair slide,"['hair slide', 'doormat', 'chain mail', 'poncho', 'nail']"
76,Cro5dva_v07_cat_ILSVRC2012_val_00001341_cd.jpg,strainer,"['strainer', 'hair slide', 'window screen', 'digital clock', 'airship']"
77,Cro5dva_v07_fish_ILSVRC2012_val_00021994_cd.jpg,pick,"['pick', 'strainer', 'airship', 'envelope', 'nematode']"
78,Cro5dva_v07_shoe_ILSVRC2012_val_00048970_cd.jpg,nematode,"['nematode', 'sea cucumber', 'hair slide', 'envelope', 'strainer']"
79,Cro5dva_v07_snail_ILSVRC2012_val_00045031_cd.jpg,strainer,"['strainer', 'envelope', 'assault rifle', 'paper towel', 'jersey']"
80,Cro5dva_v07_lobster_ILSVRC2012_val_00028657_cd.jpg,envelope,"['envelope', 'pick', 'jersey', 'assault rifle', 'Irish water spaniel']"
81,Cro5dva_v07_pineapple_ILSVRC2012_val_00009015_cd.jpg,envelope,"['envelope', 'jersey', 'ant', 'window screen', 'crossword puzzle']"
82,Cro5dva_v07_car_ILSVRC2012_val_00037492_cd.jpg,strainer,"['strainer', 'airship', 'nail', 'window screen', 'Irish water spaniel']"
83,Cro5dva_v07_spider_ILSVRC2012_val_00029756_cd.jpg,barn spider,"['barn spider', 'tick', 'tripod', 'ant', 'envelope']"
84,Cro5dva_v07_helmet_ILSVRC2012_val_00032342_cd.jpg,strainer,"['strainer', 'face powder', 'chain mail', 'microphone', 'jersey']"
85,Cro5dva_v07_guitar_ILSVRC2012_val_00019484_cd.jpg,strainer,"['strainer', 'pick', 'power drill', 'envelope', 'assault rifle']"
86,Cro5dva_v07_monkey_ILSVRC2012_val_00030191_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Newfoundland', 'chain mail', 'mink', 'doormat']"
87,Cro5dva_v07_elephant_ILSVRC2012_val_00018263_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Bouvier des Flandres', 'Kerry blue terrier', 'chain mail', 'doormat']"
88,Cro5dva_v07_bee_ILSVRC2012_val_00014008_cd.jpg,ant,"['ant', 'hair slide', 'nematode', 'pick', 'handkerchief']"
89,Cro5dva_v07_dryer_ILSVRC2012_val_00044460_cd.jpg,strainer,"['strainer', 'nematode', 'nail', 'jersey', 'lipstick']"
90,Cro5dva_v07_bird_ILSVRC2012_val_00004344_cd.jpg,envelope,"['envelope', 'paper towel', 'strainer', 'airship', 'nematode']"
91,Cro5dva_v07_pineapple_ILSVRC2012_val_00023804_cd.jpg,envelope,"['envelope', 'bell cote', 'airship', 'aircraft carrier', 'oboe']"
