,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'isopod', 'hoopskirt', 'Irish water spaniel', 'ground beetle']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'scorpion', 'Sussex spaniel', 'triceratops', 'Irish water spaniel']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,nematode,"['nematode', 'scabbard', 'chambered nautilus', 'abaya', 'sleeping bag']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'king crab', 'Dungeness crab', 'barn spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,chain saw,"['chain saw', 'pick', 'chiton', 'bib', 'drum']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,American alligator,"['American alligator', 'African crocodile', 'knot', 'Gila monster', 'sleeping bag']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'conch', 'isopod', 'joystick', 'ski mask']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,bloodhound,"['bloodhound', 'black-and-tan coonhound', 'Newfoundland', 'ibex', 'Irish water spaniel']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'assault rifle', 'power drill', 'spotlight', 'microphone']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,African crocodile,"['African crocodile', 'platypus', 'sea cucumber', 'American alligator', 'curly-coated retriever']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,fox squirrel,"['fox squirrel', 'Newfoundland', 'beaver', 'hare', 'mink']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'soup bowl', 'caldron', 'pitcher']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,American lobster,"['American lobster', 'sea cucumber', 'crayfish', 'scorpion', 'isopod']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'loggerhead', 'leatherback turtle', 'mud turtle', 'box turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,puck,"['puck', 'golf ball', 'gong', 'ping-pong ball', 'baseball']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,crutch,"['crutch', 'assault rifle', 'hand blower', 'rifle', 'hammer']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,mushroom,"['mushroom', 'bolete', 'hatchet', 'assault rifle', 'agaric']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,chambered nautilus,"['chambered nautilus', 'gyromitra', 'bloodhound', 'custard apple', 'head cabbage']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'hair slide', 'pot', 'dishrag', 'strawberry']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,wallet,"['wallet', 'doormat', 'cleaver', 'hard disc', 'chain saw']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,Persian cat,"['Persian cat', 'affenpinscher', 'Sussex spaniel', 'bloodhound', 'Newfoundland']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,microwave,"['microwave', 'binder', 'wallet', 'desktop computer', 'turnstile']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,folding chair,"['folding chair', 'rocking chair', 'fire screen', 'throne', 'buckle']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,chiton,"['chiton', 'lemon', 'shield', 'pick', 'bloodhound']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'crayfish', 'scorpion', 'spiny lobster', 'isopod']"
