,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,coil,"['coil', 'promontory', 'radio', 'worm fence', 'harvester']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hand blower', 'hammer', 'cowboy boot', 'hatchet']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,affenpinscher,"['affenpinscher', 'briard', 'Irish water spaniel', 'komondor', 'Kerry blue terrier']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,tape player,"['tape player', 'gong', 'shower cap', 'hen-of-the-woods', 'manhole cover']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,promontory,"['promontory', 'hen-of-the-woods', 'beacon', 'school bus', 'yawl']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,promontory,"['promontory', 'great white shark', 'barracouta', 'triceratops', 'bison']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hair slide', 'hen-of-the-woods', 'bloodhound', 'tape player']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,electric guitar,"['electric guitar', 'triceratops', 'robin', 'warplane', 'kite']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,necklace,"['necklace', 'nematode', 'harp', 'hook', 'chain']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'lighter', 'rubber eraser', 'switch', 'mask']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,Kerry blue terrier,"['Kerry blue terrier', 'briard', 'Irish water spaniel', 'Bouvier des Flandres', 'komondor']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,sloth bear,"['sloth bear', 'American black bear', 'Bouvier des Flandres', 'Kerry blue terrier', 'Irish water spaniel']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,water jug,"['water jug', 'cup', 'pitcher', 'switch', 'combination lock']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,komondor,"['komondor', 'briard', 'American black bear', 'Irish water spaniel', 'jigsaw puzzle']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,canoe,"['canoe', 'airship', 'rifle', 'lacewing', 'great white shark']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Arabian camel,"['Arabian camel', 'briard', 'standard poodle', 'Irish water spaniel', 'teapot']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,airship,"['airship', 'canoe', 'nematode', 'projectile', 'pedestal']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,sundial,"['sundial', 'radio', 'suspension bridge', 'wall clock', 'magnetic compass']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'Kerry blue terrier', 'Irish water spaniel', 'komondor', 'briard']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,toy poodle,"['toy poodle', 'triceratops', 'radio', 'teapot', 'dung beetle']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,aircraft carrier,"['aircraft carrier', 'radio', 'digital clock', 'chain', 'school bus']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,electric guitar,"['electric guitar', 'jigsaw puzzle', 'bulletproof vest', 'honeycomb', 'breastplate']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,komondor,"['komondor', 'Kerry blue terrier', 'hen-of-the-woods', 'Newfoundland', 'Irish water spaniel']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,cowboy boot,"['cowboy boot', 'flatworm', 'clog', 'running shoe', 'hen-of-the-woods']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,rubber eraser,"['rubber eraser', 'night snake', 'ocarina', 'crane', 'hook']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,wood rabbit,"['wood rabbit', 'hare', 'crate', 'Angora', 'paper towel']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,necklace,"['necklace', 'chain', 'radio', 'hair slide', 'worm fence']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,wood rabbit,"['wood rabbit', 'hare', 'crate', 'Angora', 'skunk']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'head cabbage', 'mortar', 'solar dish']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,Irish water spaniel,"['Irish water spaniel', 'crate', 'Kerry blue terrier', 'komondor', 'briard']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,Petri dish,"['Petri dish', 'solar dish', 'shower cap', 'rock crab', 'gong']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,warplane,"['warplane', 'hair slide', 'spotlight', 'gown', 'lighter']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,lighter,"['lighter', 'cliff', 'iron', 'water jug', 'table lamp']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,pick,"['pick', 'custard apple', 'shield', 'drum', 'window screen']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'bloodhound', 'head cabbage', 'terrapin']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,shower cap,"['shower cap', 'honeycomb', 'hen-of-the-woods', 'solar dish', 'rock crab']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,American black bear,"['American black bear', 'triceratops', 'komondor', 'Bouvier des Flandres', 'Irish water spaniel']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,hen-of-the-woods,"['hen-of-the-woods', 'hamper', 'shower cap', 'tile roof', 'honeycomb']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,nail,"['nail', 'aircraft carrier', 'worm fence', 'hook', 'wall clock']"
