,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,loupe,"['loupe', 'quill', 'frying pan', 'hair slide', 'balloon']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,ibex,"['ibex', 'Arabian camel', 'balloon', 'hook', 'bubble']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'hook', 'shovel', 'breastplate', 'ski mask']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,black grouse,"['black grouse', 'vulture', 'prairie chicken', 'balloon', 'ibex']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,quill,"['quill', 'abaya', 'hook', 'letter opener', 'cleaver']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,curly-coated retriever,"['curly-coated retriever', 'Kerry blue terrier', 'Arabian camel', 'brown bear', 'ibex']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,black stork,"['black stork', 'ibex', 'gazelle', 'whistle', 'vulture']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,water jug,"['water jug', 'whiskey jug', 'coffee mug', 'coffeepot', 'mailbag']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Scottish deerhound,"['Scottish deerhound', 'Arabian camel', 'curly-coated retriever', 'giant schnauzer', 'Great Dane']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,Arabian camel,"['Arabian camel', 'loupe', 'electric ray', 'muzzle', 'shovel']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'black and gold garden spider', 'garden spider', 'black widow', 'wolf spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'hook', 'puck', 'necklace', 'mask']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,loupe,"['loupe', 'vulture', 'frying pan', 'muzzle', 'ostrich']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,banded gecko,"['banded gecko', 'assault rifle', 'African chameleon', 'ibex', 'rifle']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,black stork,"['black stork', 'quill', 'hatchet', 'albatross', 'kite']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,ibex,"['ibex', 'three-toed sloth', 'Arabian camel', 'bighorn', 'kite']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,loupe,"['loupe', 'gong', 'face powder', 'frying pan', 'toilet seat']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,binder,"['binder', 'cleaver', 'envelope', 'letter opener', 'hook']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,hatchet,"['hatchet', 'whistle', 'cleaver', 'electric ray', 'letter opener']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'black and gold garden spider', 'wolf spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,ibex,"['ibex', 'albatross', 'hook', 'quill', 'Arabian camel']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,ibex,"['ibex', 'black grouse', 'bighorn', 'three-toed sloth', 'vulture']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,quill,"['quill', 'ibex', 'bell cote', 'envelope', 'vulture']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hammer,"['hammer', 'hatchet', 'nail', 'hook', 'pedestal']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,ibex,"['ibex', 'Arabian camel', 'vulture', 'kite', 'black grouse']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,toilet seat,"['toilet seat', 'loupe', 'pick', 'hook', 'puck']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,safety pin,"['safety pin', 'whistle', 'loupe', 'hair slide', 'pick']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,whistle,"['whistle', 'hatchet', 'hammer', 'corkscrew', 'can opener']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'mink', 'curly-coated retriever', 'weasel', 'ibex']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,chain saw,"['chain saw', 'can opener', 'whistle', 'corkscrew', 'hook']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,vulture,"['vulture', 'ibex', 'black grouse', 'curly-coated retriever', 'kite']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,airliner,"['airliner', 'kite', 'warplane', 'albatross', 'letter opener']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,ibex,"['ibex', 'vulture', 'Arabian camel', 'bighorn', 'three-toed sloth']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,black grouse,"['black grouse', 'vulture', 'banded gecko', 'parachute', 'kite']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,ibex,"['ibex', 'Arabian camel', 'curly-coated retriever', 'abaya', 'quill']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,loupe,"['loupe', 'shovel', 'sunglass', 'hook', 'hair slide']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,Arabian camel,"['Arabian camel', 'electric ray', 'whistle', 'curly-coated retriever', 'muzzle']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,radio telescope,"['radio telescope', 'letter opener', 'paddle', 'ski', 'chain saw']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,loupe,"['loupe', 'toilet seat', 'face powder', 'puck', 'pick']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,tick,"['tick', 'scorpion', 'barn spider', 'whistle', 'chain']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,loupe,"['loupe', 'shovel', 'ski mask', 'face powder', 'spatula']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,hatchet,"['hatchet', 'letter opener', 'muzzle', 'hook', 'nematode']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,hook,"['hook', 'cleaver', 'balloon', 'fire screen', 'loupe']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,scorpion,"['scorpion', 'ibex', 'kite', 'tick', 'leatherback turtle']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,lycaenid,"['lycaenid', 'ground beetle', 'rhinoceros beetle', 'ibex', 'tick']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,Scottish deerhound,"['Scottish deerhound', 'giant schnauzer', 'curly-coated retriever', 'Irish wolfhound', 'Great Dane']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,shovel,"['shovel', 'chain mail', 'cleaver', 'hatchet', 'hook']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,hook,"['hook', 'gong', 'puck', 'toilet seat', 'chime']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,pedestal,"['pedestal', 'corkscrew', 'bell cote', 'triumphal arch', 'binder']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,lycaenid,"['lycaenid', 'hook', 'quill', 'corkscrew', 'pick']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,puck,"['puck', 'face powder', 'gong', 'loupe', 'toilet seat']"
