,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,strawberry,"['strawberry', 'honeycomb', 'mushroom', 'hen-of-the-woods', 'chain mail']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,Gila monster,"['Gila monster', 'honeycomb', 'banded gecko', 'African chameleon', 'common newt']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'Gila monster', 'sea cucumber', 'flatworm']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,honeycomb,"['honeycomb', 'safety pin', 'chain mail', 'chain', 'mailbag']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,sea snake,"['sea snake', 'king snake', 'water snake', 'hognose snake', 'night snake']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,horned viper,"['horned viper', 'hognose snake', 'sidewinder', 'diamondback', 'flatworm']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'flatworm', 'honeycomb', 'hair slide', 'sea cucumber']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,flatworm,"['flatworm', 'hair slide', 'honeycomb', 'chain mail', 'sea cucumber']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'stole', 'swimming trunks', 'sarong']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,cheetah,"['cheetah', 'leopard', 'jaguar', 'snow leopard', 'banded gecko']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'hen-of-the-woods', 'flatworm', 'honeycomb', 'broccoli']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,banded gecko,"['banded gecko', 'European fire salamander', 'common newt', 'spotted salamander', 'Gila monster']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,garden spider,"['garden spider', 'barn spider', 'scorpion', 'tick', 'black and gold garden spider']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,banded gecko,"['banded gecko', 'Gila monster', 'European fire salamander', 'leopard', 'African chameleon']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'chain mail', 'corn', 'hair slide']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,scorpion,"['scorpion', 'banded gecko', 'ant', 'honeycomb', 'screw']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,honeycomb,"['honeycomb', 'cheetah', 'hair slide', 'banded gecko', 'Gila monster']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'wolf spider', 'garden spider', 'long-horned beetle', 'weevil']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,honeycomb,"['honeycomb', 'nail', 'agaric', 'mushroom', 'fountain']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'chain mail', 'hair slide', 'corn']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'nail', 'rubber eraser', 'hair slide', 'centipede']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,hair slide,"['hair slide', 'African chameleon', 'honeycomb', 'common newt', 'sea cucumber']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'corn', 'ear', 'matchstick']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'chain', 'flatworm', 'hair slide']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,banded gecko,"['banded gecko', 'European fire salamander', 'common newt', 'spotted salamander', 'Gila monster']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,leopard,"['leopard', 'jaguar', 'cheetah', 'snow leopard', 'Gila monster']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,pineapple,"['pineapple', 'strawberry', 'cheetah', 'leopard', 'honeycomb']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,spotted salamander,"['spotted salamander', 'European fire salamander', 'banded gecko', 'Gila monster', 'hair slide']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'stole', 'hair slide', 'pencil box']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,honeycomb,"['honeycomb', 'leopard', 'cheetah', 'broccoli', 'jaguar']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,honeycomb,"['honeycomb', 'lycaenid', 'hip', 'bonnet', 'strawberry']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,banded gecko,"['banded gecko', 'common newt', 'Gila monster', 'African chameleon', 'spotted salamander']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,handkerchief,"['handkerchief', 'chain', 'safety pin', 'parachute', 'honeycomb']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,Gila monster,"['Gila monster', 'slug', 'honeycomb', 'common newt', 'weevil']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'banded gecko', 'Gila monster', 'rapeseed']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,scorpion,"['scorpion', 'honeycomb', 'screw', 'parachute', 'candle']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,strawberry,"['strawberry', 'honeycomb', 'nail', 'mitten', 'safety pin']"
