,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,jellyfish,"['jellyfish', 'wool', 'bathing cap', 'electric ray', 'brain coral']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,parachute,"['parachute', 'hair slide', 'spaghetti squash', 'ladybug', 'brain coral']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,hair slide,"['hair slide', 'buckle', 'pineapple', 'honeycomb', 'electric ray']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain,"['chain', 'knot', 'tick', 'honeycomb', 'chain mail']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,centipede,"['centipede', 'nematode', 'chain', 'rock python', 'knot']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,chain mail,"['chain mail', 'clog', 'honeycomb', 'chain', 'pretzel']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,wool,"['wool', 'buckle', 'tick', 'speedboat', 'mailbag']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,hair slide,"['hair slide', 'parachute', 'buckle', 'shield', 'muzzle']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,chain mail,"['chain mail', 'maillot', 'poncho', 'wool', 'apron']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,barn spider,"['barn spider', 'centipede', 'chain', 'agama', 'knot']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,tick,"['tick', 'balloon', 'weevil', 'bottlecap', 'parachute']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,tick,"['tick', 'knot', 'centipede', 'hair slide', 'gar']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'chain', 'tick', 'knot', 'magnetic compass']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,parachute,"['parachute', 'weevil', 'ant', 'cardoon', 'honeycomb']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'chain mail', 'honeycomb', 'bottlecap']"
