,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'overskirt', 'hoopskirt', 'bulletproof vest', 'gown']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'meat loaf', 'waffle iron', 'bustard', 'American coot']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,mixing bowl,"['mixing bowl', 'strainer', 'sombrero', 'cowboy hat', 'wok']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'king crab', 'rock crab', 'wolf spider', 'hermit crab']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,drum,"['drum', 'hay', 'tennis ball', 'face powder', 'sea urchin']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,standard poodle,"['standard poodle', 'miniature poodle', 'toy poodle', 'Kerry blue terrier', 'curly-coated retriever']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,ski mask,"['ski mask', 'wool', 'perfume', 'saltshaker', 'water bottle']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,sorrel,"['sorrel', 'Doberman', 'standard poodle', 'Saluki', 'Mexican hairless']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'microphone', 'spotlight', 'power drill', 'space heater']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,black swan,"['black swan', 'sea cucumber', 'slug', 'American alligator', 'mitten']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,sleeping bag,"['sleeping bag', 'ski mask', 'abaya', 'bearskin', 'bassinet']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,pitcher,"['pitcher', 'coffee mug', 'cup', 'coffeepot', 'teapot']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'kite', 'black stork', 'bald eagle', 'vulture']"
