,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,mask,"['mask', 'hoopskirt', 'pineapple', 'overskirt', 'gown']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'triceratops', 'parachute', 'electric ray', 'chiton']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,airship,"['airship', 'solar dish', 'cup', 'grey whale', 'paddle']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'isopod', 'king crab', 'rock crab', 'tick']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,pick,"['pick', 'drum', 'chambered nautilus', 'custard apple', 'loupe']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,American alligator,"['American alligator', 'African crocodile', 'sleeping bag', 'alp', 'volcano']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'sombrero', 'ski mask', 'isopod', 'neck brace']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,Great Dane,"['Great Dane', 'triceratops', 'Afghan hound', 'groenendael', 'bloodhound']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'assault rifle', 'spotlight', 'rifle', 'ocarina']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,American alligator,"['American alligator', 'sea cucumber', 'platypus', 'African crocodile', 'sleeping bag']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,fox squirrel,"['fox squirrel', 'komondor', 'hare', 'wood rabbit', 'Bouvier des Flandres']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'whiskey jug', 'pitcher', 'goblet']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'scorpion', 'American lobster', 'nematode', 'tick']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'mud turtle', 'box turtle', 'leatherback turtle', 'triceratops']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,gong,"['gong', 'drum', 'puck', 'shield', 'chime']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,assault rifle,"['assault rifle', 'hand blower', 'whistle', 'rifle', 'crutch']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,knot,"['knot', 'mushroom', 'hen-of-the-woods', 'gyromitra', 'electric ray']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,head cabbage,"['head cabbage', 'mask', 'chiton', 'artichoke', 'vase']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'hair slide', 'goblet', 'lampshade', 'mask']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,hard disc,"['hard disc', 'wallet', 'radio', 'mousetrap', 'space heater']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,triceratops,"['triceratops', 'sleeping bag', 'chiton', 'bloodhound', 'head cabbage']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,microwave,"['microwave', 'binder', 'rotisserie', 'desktop computer', 'freight car']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,rocking chair,"['rocking chair', 'folding chair', 'throne', 'barber chair', 'park bench']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,shield,"['shield', 'manhole cover', 'chiton', 'chambered nautilus', 'pick']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'scorpion', 'crayfish', 'spiny lobster', 'ski']"
