,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'poncho', 'wool']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'custard apple', 'Granny Smith', 'head cabbage', 'weevil']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'knee pad', 'holster', 'hook', 'bow']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,Boston bull,"['Boston bull', 'beagle', 'Saint Bernard', 'hen-of-the-woods', 'muzzle']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,basset,"['basset', 'clumber', 'Sealyham terrier', 'Siamese cat', 'custard apple']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'ski', 'airliner', 'wing', 'snowmobile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,breastplate,"['breastplate', 'shower cap', 'Chihuahua', 'pedestal', 'paper towel']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,cocker spaniel,"['cocker spaniel', 'triceratops', 'Sussex spaniel', 'Leonberg', 'flat-coated retriever']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,isopod,"['isopod', 'barn spider', 'tick', 'garden spider', 'spider web']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,chimpanzee,"['chimpanzee', 'Scottish deerhound', 'Mexican hairless', 'black grouse', 'siamang']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'candle', 'shower cap', 'bell pepper', 'trifle']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'hen-of-the-woods', 'custard apple', 'broccoli', 'head cabbage']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,chiton,"['chiton', 'hen-of-the-woods', 'conch', 'gyromitra', 'chambered nautilus']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,banded gecko,"['banded gecko', 'hair slide', 'barracouta', 'sturgeon', 'projectile']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Sealyham terrier,"['Sealyham terrier', 'Saint Bernard', 'proboscis monkey', 'wire-haired fox terrier', 'langur']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,nematode,"['nematode', 'sea snake', 'impala', 'sidewinder', 'nail']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,violin,"['violin', 'cello', 'electric guitar', 'acoustic guitar', 'maraca']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'triceratops', 'shower cap', 'mask', 'plastic bag']"
