,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,brain coral,"['brain coral', 'sea urchin', 'hen-of-the-woods', 'coral reef', 'coral fungus']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,porcupine,"['porcupine', 'electric ray', 'Irish water spaniel', 'triceratops', 'Kerry blue terrier']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'ocarina', 'screw', 'panpipe', 'conch']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,cup,"['cup', 'coffee mug', 'pitcher', 'water jug', 'teapot']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'quill', 'matchstick', 'sea snake', 'vine snake']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,nematode,"['nematode', 'brain coral', 'maze', 'horned viper', 'sidewinder']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,maze,"['maze', 'nematode', 'hen-of-the-woods', 'chain mail', 'strainer']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,sea cucumber,"['sea cucumber', 'curly-coated retriever', 'Irish water spaniel', 'slug', 'Kerry blue terrier']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,maze,"['maze', 'window screen', 'crossword puzzle', 'chain mail', 'jigsaw puzzle']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,barn spider,"['barn spider', 'wolf spider', 'Scottish deerhound', 'Bedlington terrier', 'Irish wolfhound']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,tailed frog,"['tailed frog', 'dung beetle', 'tick', 'affenpinscher', 'Kerry blue terrier']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,nematode,"['nematode', 'rubber eraser', 'nail', 'rule', 'screw']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'wolf spider', 'tick', 'garden spider', 'black widow']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,banded gecko,"['banded gecko', 'common newt', 'nematode', 'scorpion', 'spotted salamander']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,maze,"['maze', 'hen-of-the-woods', 'chain mail', 'window screen', 'paper towel']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,fiddler crab,"['fiddler crab', 'scorpion', 'rock crab', 'tick', 'barn spider']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,hammer,"['hammer', 'quill', 'maraca', 'hatchet', 'spatula']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'wolf spider', 'starfish', 'garden spider', 'harvestman']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,mushroom,"['mushroom', 'nail', 'bolete', 'hen-of-the-woods', 'agaric']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,crossword puzzle,"['crossword puzzle', 'maze', 'paper towel', 'window screen', 'strainer']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,hammer,"['hammer', 'nail', 'hatchet', 'screwdriver', 'corkscrew']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,nematode,"['nematode', 'banded gecko', 'hair slide', 'African chameleon', 'rule']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,maze,"['maze', 'crossword puzzle', 'chain mail', 'hen-of-the-woods', 'paper towel']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'jigsaw puzzle', 'mink', 'toy poodle', 'affenpinscher']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Kerry blue terrier', 'Bouvier des Flandres', 'curly-coated retriever', 'affenpinscher']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Bouvier des Flandres', 'affenpinscher', 'briard', 'Kerry blue terrier']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,hare,"['hare', 'wood rabbit', 'Angora', 'crossword puzzle', 'jigsaw puzzle']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,nematode,"['nematode', 'screw', 'rule', 'revolver', 'nail']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,conch,"['conch', 'maze', 'nematode', 'strainer', 'chambered nautilus']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,nematode,"['nematode', 'hook', 'mink', 'nail', 'slug']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,lycaenid,"['lycaenid', 'ringlet', 'lacewing', 'admiral', 'cabbage butterfly']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,snail,"['snail', 'slug', 'electric ray', 'conch', 'chambered nautilus']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,folding chair,"['folding chair', 'rocking chair', 'bassinet', 'tripod', 'shopping basket']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,platypus,"['platypus', 'armadillo', 'mink', 'dugong', 'echidna']"
